Pos,Nation,65/66,66/67,67/68,68/69,69/70,70/71,Coef. 70/71,Coef. 71/72
1st,England,27.562,29,23.625,23.062,27.125,25.556,130.375,128.368
2nd,Germany,20.438,22.786,24.562,20.722,25,25.375,113.508,118.445
3rd,Spain,23,21.438,23.571,18.5,20.857,18.429,107.366,102.795
4th,Italy,19.429,17.143,22,20.857,22.357,20,101.786,102.357
5th,France,16.429,17.643,12.5,22.071,15.143,15.714,83.786,83.071
6th,Portugal,14,10.667,12.583,18.25,12.5,14.25,68,68.25
7th,Czechia,11.9,19.375,12.5,8.9,9.8,6.6,62.475,57.175
8th,Scotland,12.1,11,19.1,10.6,8.75,14.5,61.55,63.95
9th,Netherlands,13.3,11.3,10,13.1,10.5,13.5,58.2,58.4
10th,Austria,10.7,12.3,11.9,11.1,10.7,14,56.7,60
11th,Belgium,11,9.5,9.8,11.4,13.6,10.5,55.3,54.8
12th,Türkiye,12.3,13,8.3,7.3,7.8,9,48.7,45.4
13th,Republic of Ireland,8.125,6.25,8.625,7.75,14.75,6,45.5,43.375
14th,Croatia,10.75,10.1,7.1,8.3,6.5,6.8,42.75,38.8
15th,Bulgaria,10.3,8.5,8.2,5.8,9.9,10.6,42.7,43
16th,Ukraine,3.75,6.7,9.375,5.75,13.875,9.25,39.45,44.95
17th,Serbia,7.75,4,12,7.125,6.3,2.75,37.175,32.175
18th,Greece,9.8,6.7,7.3,8.3,4.5,5.7,36.6,32.5
19th,Denmark,6,8,8.25,7.625,5.75,8.375,35.625,38
20th,Switzerland,7.5,6.625,5.625,4.75,8.375,7.25,32.875,32.625
21st,Israel,9,4.5,3.375,7.25,7.25,5.875,31.375,28.25
22nd,Romania,5.5,6.625,7.25,5.75,4.75,7.5,29.875,31.875
23rd,Liechtenstein,2.5,2.5,1,2.5,21,3,29.5,30
24th,Norway,4.375,8.5,3.125,8.25,3.625,8.125,27.875,31.625
25th,Slovenia,5.75,7.125,3.5,7.25,3.75,4.875,27.375,26.5
26th,Northern Ireland,4.875,3.25,6.125,3.875,7.625,3.625,25.75,24.5
27th,Sweden,2.5,3.125,8.125,7.25,3.875,5.625,24.875,28
28th,Finland,3.625,3.625,6.25,6.625,4.125,4,24.25,24.625
29th,Hungary,2.75,4.75,1.625,5.25,6,4.375,20.375,22
30th,Georgia,5.375,6.25,2.25,3,2.375,3.125,19.25,17
31st,Bosnia and Herzegovina,3,3.25,5,2,5.25,5.625,18.5,21.125
32nd,Cyprus,3.25,3.875,3.5,4.5,3.375,3.75,18.5,19
33rd,Gibraltar,4.5,4.25,4,3,2.75,4.75,18.5,18.75
34th,Poland,2.375,4,4.5,4.375,3.125,6,18.375,22
35th,Belarus,2.375,2,5,3.25,4,1.75,16.625,16
36th,Slovakia,2.5,3.125,2.875,4.375,3.5,3.125,16.375,17
37th,Latvia,5.25,4.25,2.625,1.625,2,1.625,15.75,12.125
38th,Iceland,2.125,3.625,2.125,4.125,3.375,2.125,15.375,15.375
39th,Wales,4.75,1.625,2.75,2.875,3,4.125,15,14.375
40th,Kazakhstan,1.25,2.75,3.125,2.25,3.75,2.25,13.125,14.125
41st,Moldova,1.75,2.5,1.875,2.5,1.25,3.125,9.875,11.25
42nd,North Macedonia,2.25,1.625,1.875,1.375,2.625,1.25,9.75,8.75
43rd,Azerbaijan,1,1.5,2.625,2.5,2.125,1.125,9.75,9.875
44th,Albania,1.375,1.125,2,1.375,3.375,2.125,9.25,10
45th,Faroe Islands,1.75,2.25,0.75,1.625,1.625,1.625,8,7.875
46th,Armenia,1.125,1,1.75,3.125,0.625,1.375,7.625,7.875
47th,Luxembourg,1.625,1.625,1.75,0.625,1.5,1.125,7.125,6.625
48th,Montenegro,1.625,1.375,1.125,1.125,0.75,1,6,5.375
49th,Lithuania,1.25,0.75,0.375,1.5,0.667,1.125,4.542,4.417
50th,Estonia,1,1.5,0.167,0.5,1.125,0.667,4.292,3.958
51st,Kosovo,0.167,1,0.333,0.333,0.333,0,2.167,2
52nd,San Marino,0,0,0,0.667,0,0.833,0.667,1.5
53rd,Malta,0,0,0.167,0,0,0,0.167,0.167
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
