Pos,Nation,61/62,62/63,63/64,64/65,65/66,66/67,Coef. 66/67,Coef. 67/68
1st,England,26.625,30.625,26.5,24.722,27.562,29,136.035,138.41
2nd,Germany,21,23.786,21.25,25.429,20.438,22.786,111.902,113.688
3rd,Spain,20.625,20.857,18.286,22.286,23,21.438,105.054,105.866
4th,Italy,24.714,18.062,22.214,19.812,19.429,17.143,104.232,96.661
5th,France,17.571,15.071,17.786,16.5,16.429,17.643,83.357,83.429
6th,Portugal,13.917,16.167,13.083,13.167,14,10.667,70.333,67.083
7th,Belgium,13.375,10.1,16.3,12.5,11,9.5,63.275,59.4
8th,Netherlands,7.9,9.1,15.1,16,13.3,11.3,61.4,64.8
9th,Scotland,11.5,9.333,10,15.8,12.1,11,58.733,58.233
10th,Austria,12.2,9.8,12.4,7.5,10.7,12.3,52.6,52.7
11th,Croatia,14,6,8.125,11.125,10.75,10.1,50,46.1
12th,Bulgaria,11.3,9.25,8,9.6,10.3,8.5,48.45,45.65
13th,Türkiye,13.4,5.9,8.2,8.4,12.3,13,48.2,47.8
14th,Czechia,7.6,11.8,7.8,4.8,11.9,19.375,43.9,55.675
15th,Greece,7.9,10.9,6.7,6.9,9.8,6.7,42.2,41
16th,Denmark,5.9,10.7,9.2,6.2,6,8,38,40.1
17th,Romania,12.25,5.5,10,4.125,5.5,6.625,37.375,31.75
18th,Ukraine,9.75,9.25,6.375,6.875,3.75,6.7,36,32.95
19th,Israel,6.7,8.9,4.75,5.875,9,4.5,35.225,33.025
20th,Switzerland,5.5,7.75,5.625,8,7.5,6.625,34.375,35.5
21st,Serbia,2.5,7,9.75,6.75,7.75,4,33.75,35.25
22nd,Republic of Ireland,4.625,10.75,2.875,4.75,8.125,6.25,31.125,32.75
23rd,Northern Ireland,4.875,5,6.125,7.75,4.875,3.25,28.625,27
24th,Poland,7.875,4.625,6,5.625,2.375,4,26.5,22.625
25th,Sweden,4,6.375,3.625,8.125,2.5,3.125,24.625,23.75
26th,Norway,3.5,6.75,4.75,3.5,4.375,8.5,22.875,27.875
27th,Slovenia,4.25,1.5,5.5,4,5.75,7.125,21,23.875
28th,Hungary,4.5,4.5,4.125,3.375,2.75,4.75,19.25,19.5
29th,Gibraltar,3.125,4.625,3.625,3,4.5,4.25,18.875,20
30th,Finland,2.75,3.75,2.875,5.875,3.625,3.625,18.875,19.75
31st,Georgia,3,3,5,2.125,5.375,6.25,18.5,21.75
32nd,Slovakia,4.5,4.125,3,3,2.5,3.125,17.125,15.75
33rd,Wales,1.125,3.75,2.375,2.875,4.75,1.625,14.875,15.375
34th,Cyprus,3.625,2.25,1.5,4.25,3.25,3.875,14.875,15.125
35th,Bosnia and Herzegovina,2.125,2.875,1.625,5.25,3,3.25,14.875,16
36th,Azerbaijan,3,3.75,2.625,2.75,1,1.5,13.125,11.625
37th,Kazakhstan,3.375,4,2.875,1.5,1.25,2.75,13,12.375
38th,Moldova,3,1.375,3,3.75,1.75,2.5,12.875,12.375
39th,Latvia,1.375,1.5,1.625,3,5.25,4.25,12.75,15.625
40th,Iceland,3.125,1.5,1.75,2.75,2.125,3.625,11.25,11.75
41st,Albania,2.75,1.75,1.25,3.25,1.375,1.125,10.375,8.75
42nd,Belarus,2.625,1.25,1.25,2.125,2.375,2,9.625,9
43rd,North Macedonia,1.5,1.25,2.75,1.875,2.25,1.625,9.625,9.75
44th,Liechtenstein,0,2.5,2,2.5,2.5,2.5,9.5,12
45th,Armenia,1.125,2.25,2.75,1.25,1.125,1,8.5,8.375
46th,Luxembourg,1.875,1.5,1.875,1.5,1.625,1.625,8.375,8.125
47th,Faroe Islands,0.875,1.75,1.75,0.75,1.75,2.25,6.875,8.25
48th,Montenegro,1.125,0.625,1.25,0.75,1.625,1.375,5.375,5.625
49th,Lithuania,0.875,2,0.5,0.75,1.25,0.75,5.375,5.25
50th,Estonia,0.5,0.167,0.167,1.167,1,1.5,3,4
51st,Kosovo,0.167,0.667,0.667,0.333,0.167,1,2,2.833
52nd,Malta,0,0,0,0,0,0,0,0
53rd,Andorra,0,0,0,0,0,0,0,0
54th,San Marino,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
