Pos,Nation,27/28,28/29,29/30,30/31,31/32,32/33,Coef. 32/33,Coef. 33/34
1st,England,25.286,24.611,26.222,25.778,28.625,28.5,130.522,133.736
2nd,Spain,21.778,23.214,22.5,19.75,23.5,20,110.742,108.964
3rd,Italy,22,20.5,21.857,21.857,21.625,22.286,107.839,108.125
4th,Germany,17.5,21.929,19.643,20.786,18.071,21.143,97.929,101.571
5th,France,20.286,15.214,18.5,19.429,15.786,16.643,89.214,85.571
6th,Portugal,12.667,14.833,16.25,14.667,16.25,10.5,74.667,72.5
7th,Netherlands,16.8,16.1,9.1,11.8,14.8,11.4,68.6,63.2
8th,Scotland,14.5,10.1,13.7,9,13.1,11.2,60.4,57.1
9th,Belgium,6.3,7.9,11.2,13.5,13.75,9.6,52.65,55.95
10th,Greece,9.4,13.4,7.9,8.6,12.8,9.6,52.1,52.3
11th,Denmark,11.5,13,11.3,5.9,10.3,7.2,52,47.7
12th,Serbia,9.25,11.125,10.25,8.8,7.2,10.2,46.625,47.575
13th,Türkiye,11.5,9.9,4.7,11,6.9,13.2,44,45.7
14th,Austria,6.6,9,10.625,10.7,6.9,5.9,43.825,43.125
15th,Switzerland,8.8,6.25,8.25,8.5,9.5,11.125,41.3,43.625
16th,Czechia,9,5.7,8.1,13.8,4.3,3,40.9,34.9
17th,Ukraine,7,6.6,8.1,8.375,10.75,6.625,40.825,40.45
18th,Norway,4.875,6.875,10.875,7,5.625,7.5,35.25,37.875
19th,Croatia,7.5,10.5,6.6,5.5,4.9,16.375,35,43.875
20th,Romania,11.75,4.75,5.875,7.25,5,6.5,34.625,29.375
21st,Israel,6.25,6.75,5.25,6,7.125,5.125,31.375,30.25
22nd,Bulgaria,8.25,8.375,4.625,3.875,5.75,10.25,30.875,32.875
23rd,Poland,3,4.375,9.25,4.375,8.25,5,29.25,31.25
24th,Republic of Ireland,4.875,3.5,5.125,5.25,7.75,6.125,26.5,27.75
25th,Sweden,3.25,7.625,3,4.875,4.875,10.625,23.625,31
26th,Hungary,3.625,4.375,5,4.75,5.5,4.25,23.25,23.875
27th,Slovakia,3.5,4.875,4.125,6.625,4.125,2.5,23.25,22.25
28th,Slovenia,5,3.75,3.5,4.75,4.375,6.125,21.375,22.5
29th,Finland,2.5,3.125,4.5,4.125,5.125,2.625,19.375,19.5
30th,Azerbaijan,5.5,3.125,3,4.75,2.625,2.25,19,15.75
31st,Kazakhstan,4.75,4.25,3.25,2.75,2.75,3.5,17.75,16.5
32nd,Bosnia and Herzegovina,4.125,2,2.75,5.125,3.625,4.375,17.625,17.875
33rd,Cyprus,3.75,3.5,3.125,4.25,1.75,4.375,16.375,17
34th,Belarus,2,3.375,2.125,5.125,2.625,2.125,15.25,15.375
35th,Georgia,2.375,4.5,3.25,1.75,3.25,2.625,15.125,15.375
36th,Iceland,1.625,3.625,4.25,1.875,3.125,3.75,14.5,16.625
37th,Latvia,1.75,1.125,5.75,2.625,2.25,4.625,13.5,16.375
38th,Wales,2.5,2.25,1.5,3.25,3.25,2,12.75,12.25
39th,Northern Ireland,2.875,1.5,2.25,3,1.875,3,11.5,11.625
40th,Moldova,2.375,2.125,1.75,1.5,2.875,2.875,10.625,11.125
41st,North Macedonia,1.5,2.375,2.625,1.75,2.375,2.125,10.625,11.25
42nd,Albania,3.375,2.5,0.75,1.375,2.25,0.75,10.25,7.625
43rd,Armenia,3,1,0.875,1.5,2.125,1.375,8.5,6.875
44th,Faroe Islands,2.625,1.875,1,1.125,1.75,4,8.375,9.75
45th,Lithuania,2,1.25,1.375,0.5,2.375,0.75,7.5,6.25
46th,Luxembourg,1.25,0.75,2.5,1.25,1.125,2,6.875,7.625
47th,Gibraltar,1.667,1.125,1,1.125,1.5,1.5,6.417,6.25
48th,Montenegro,1,0.333,1.833,0.5,1.5,1.5,5.167,5.667
49th,Kosovo,0,1.167,0.667,1.667,0.5,0.5,4,4.5
50th,Estonia,0.625,1.333,0.875,0.75,0.25,0.167,3.833,3.375
51st,Liechtenstein,0,0,1.5,0,2,0,3.5,3.5
52nd,Malta,0,1,0,0.333,0,0,1.333,1.333
53rd,Andorra,0,0.167,0.333,0,0,0,0.5,0.5
54th,San Marino,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
