Pos,Nation,52/53,53/54,54/55,55/56,56/57,57/58,Coef. 57/58,Coef. 58/59
1st,England,26.571,29.125,24.125,27.125,24.188,26.75,131.134,131.312
2nd,Italy,25.857,20.375,21.571,19.5,22.5,22.286,109.804,106.232
3rd,Germany,23.438,23.143,19.312,17.571,21.929,24.786,105.393,106.741
4th,Spain,19.222,18.214,20.857,22.429,23,21.375,103.722,105.875
5th,France,15.714,15.214,14.286,22.786,18.286,13.786,86.286,84.357
6th,Portugal,15.667,16.75,13.5,17.25,16.333,15.5,79.5,79.333
7th,Netherlands,10.5,12.9,15.8,14.7,10.5,10.9,64.4,64.8
8th,Greece,15.5,12.8,13.3,7.9,9.7,5.8,59.2,49.5
9th,Israel,11.25,10.5,7.875,13.125,12.375,5.9,55.125,49.775
10th,Croatia,9.5,12.375,15.25,8.7,8.5,10.4,54.325,55.225
11th,Türkiye,6.7,10.6,18.2,8.1,9.3,11,52.9,57.2
12th,Scotland,10.1,13,7.2,13.6,9,9.1,52.9,51.9
13th,Austria,8.9,10.3,11.3,7.7,11.9,5.9,50.1,47.1
14th,Belgium,9.8,10.3,9.5,7.8,10.1,7.3,47.5,45
15th,Denmark,7.4,11.8,8.1,9.8,7.6,9.3,44.7,46.6
16th,Bulgaria,6.4,8.9,4.8,7.6,11.5,8.625,39.2,41.425
17th,Republic of Ireland,7.75,5.75,9.5,6.625,7.625,12.125,37.25,41.625
18th,Czechia,8,3.625,4.125,11.625,7.875,8.75,35.25,36
19th,Ukraine,5.875,10.5,3.625,6.625,8.125,8.125,34.75,37
20th,Sweden,3.25,7.625,9.875,6.75,6.625,6.875,34.125,37.75
21st,Norway,11.5,5.375,7.375,4.875,4.5,6,33.625,28.125
22nd,Serbia,6.4,5.6,7.6,6.25,4.375,8.875,30.225,32.7
23rd,Romania,5.375,3.125,6,6.75,7.125,4.625,28.375,27.625
24th,Switzerland,8.375,3.75,5.625,5.5,4.75,10.75,28,30.375
25th,Hungary,4.5,3.75,4.5,4.25,8.375,7.5,25.375,28.375
26th,Northern Ireland,4.75,3.375,9.125,3.375,3.125,3.75,23.75,22.75
27th,Poland,3.5,5.125,5.375,3.25,4.625,3,21.875,21.375
28th,Slovenia,3.5,6,3.375,3.625,4.75,5.25,21.25,23
29th,Slovakia,3.5,4.625,5.625,2.875,3.75,2.5,20.375,19.375
30th,Gibraltar,2.25,2.75,5.25,4.625,4.875,3.125,19.75,20.625
31st,Georgia,4.5,3.875,3.125,4,2.875,1.875,18.375,15.75
32nd,Bosnia and Herzegovina,2.5,3.375,2.625,4.375,4,2.5,16.875,16.875
33rd,Kazakhstan,3.375,3.625,2.5,3.75,2.875,3.625,16.125,16.375
34th,Finland,3.375,2,4.75,3.125,2.875,4.25,16.125,17
35th,Wales,3.375,1.875,3.375,2.75,4.375,1.875,15.75,14.25
36th,Cyprus,2.625,1.875,3.375,1.75,3.625,3.25,13.25,13.875
37th,Belarus,1.75,2.75,1.375,4.25,3.125,4.625,13.25,16.125
38th,Azerbaijan,2.625,2.875,2.375,3.125,1.875,5.125,12.875,15.375
39th,Iceland,3.375,2.75,3.25,1,1.375,4.25,11.75,12.625
40th,Armenia,1.625,2.25,2.5,1.5,2.5,2.25,10.375,11
41st,Moldova,1.625,0.875,3.375,2.375,2,1.25,10.25,9.875
42nd,Latvia,3,1.75,1.75,2.25,1.5,1.125,10.25,8.375
43rd,North Macedonia,1.875,1.625,1.375,1.5,1.625,2.875,8,9
44th,Luxembourg,1.75,0.875,1.5,1,2.125,1.625,7.25,7.125
45th,Albania,1,1.75,0.875,1.75,1.875,1.125,7.25,7.375
46th,Montenegro,1.75,1,1.125,1,1.75,2.375,6.625,7.25
47th,Faroe Islands,1.375,0.75,1.875,1.125,0.875,1.125,6,5.75
48th,Lithuania,0.833,1.375,0.375,2,0.875,1.125,5.458,5.75
49th,Estonia,0.75,0.5,0.667,1,0,0.167,2.917,2.333
50th,Liechtenstein,0,0.5,1,0,0.5,1,2,3
51st,Malta,0.167,0.5,0,0.833,0.167,0,1.667,1.5
52nd,Kosovo,0.167,0.167,0.167,0,0.333,0.667,0.833,1.333
53rd,San Marino,0,0.167,0,0,0,0.667,0.167,0.833
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
