Pos,Nation,29/30,30/31,31/32,32/33,33/34,34/35,Coef. 34/35,Coef. 35/36
1st,England,26.222,25.778,28.625,28.5,24.5,27.125,133.625,134.528
2nd,Italy,21.857,21.857,21.625,22.286,19.812,21.5,107.438,107.08
3rd,Spain,22.5,19.75,23.5,20,21.143,21.286,106.893,105.679
4th,Germany,19.643,20.786,18.071,21.143,18.5,22.571,98.143,101.071
5th,France,18.5,19.429,15.786,16.643,21.286,18.857,91.643,92
6th,Portugal,16.25,14.667,16.25,10.5,12.5,16.167,70.167,70.083
7th,Belgium,11.2,13.5,13.75,9.6,15.8,12.2,63.85,64.85
8th,Netherlands,9.1,11.8,14.8,11.4,16.1,10.3,63.2,64.4
9th,Scotland,13.7,9,13.1,11.2,14.9,8.3,61.9,56.5
10th,Greece,7.9,8.6,12.8,9.6,11,11.3,49.9,53.3
11th,Denmark,11.3,5.9,10.3,7.2,12.5,8,47.2,43.9
12th,Türkiye,4.7,11,6.9,13.2,9.7,11,45.5,51.8
13th,Croatia,6.6,5.5,4.9,16.375,10.5,8,43.875,45.275
14th,Switzerland,8.25,8.5,9.5,11.125,5.6,5.7,42.975,40.425
15th,Austria,10.625,10.7,6.9,5.9,7.3,12.875,41.425,43.675
16th,Serbia,10.25,8.8,7.2,10.2,4.8,5.9,41.25,36.9
17th,Ukraine,8.1,8.375,10.75,6.625,3.625,6.75,37.475,36.125
18th,Poland,9.25,4.375,8.25,5,8.75,6.375,35.625,32.75
19th,Israel,5.25,6,7.125,5.125,11,6.375,34.5,35.625
20th,Bulgaria,4.625,3.875,5.75,10.25,9.875,9.125,34.375,38.875
21st,Norway,10.875,7,5.625,7.5,3.125,5,34.125,28.25
22nd,Czechia,8.1,13.8,4.3,3,3.5,5.875,32.7,30.475
23rd,Romania,5.875,7.25,5,6.5,3.75,7,28.375,29.5
24th,Republic of Ireland,5.125,5.25,7.75,6.125,3.125,5,27.375,27.25
25th,Sweden,3,4.875,4.875,10.625,3.875,2.375,27.25,26.625
26th,Slovenia,3.5,4.75,4.375,6.125,4,4.875,22.75,24.125
27th,Hungary,5,4.75,5.5,4.25,2.875,3.875,22.375,21.25
28th,Slovakia,4.125,6.625,4.125,2.5,4.875,6.875,22.25,25
29th,Finland,4.5,4.125,5.125,2.625,3.375,3,19.75,18.25
30th,Bosnia and Herzegovina,2.75,5.125,3.625,4.375,3.5,2.25,19.375,18.875
31st,Latvia,5.75,2.625,2.25,4.625,2.25,4.875,17.5,16.625
32nd,Cyprus,3.125,4.25,1.75,4.375,3.75,6.125,17.25,20.25
33rd,Iceland,4.25,1.875,3.125,3.75,4,2.5,17,15.25
34th,Belarus,2.125,5.125,2.625,2.125,4,4.375,16,18.25
35th,Azerbaijan,3,4.75,2.625,2.25,3.125,5.125,15.75,17.875
36th,Kazakhstan,3.25,2.75,2.75,3.5,3.25,5.125,15.5,17.375
37th,Georgia,3.25,1.75,3.25,2.625,4,2.5,14.875,14.125
38th,Northern Ireland,2.25,3,1.875,3,4.25,2.75,14.375,14.875
39th,Moldova,1.75,1.5,2.875,2.875,4.125,2.25,13.125,13.625
40th,Wales,1.5,3.25,3.25,2,2,3.25,12,13.75
41st,North Macedonia,2.625,1.75,2.375,2.125,2,1.125,10.875,9.375
42nd,Faroe Islands,1,1.125,1.75,4,2.125,2,10,11
43rd,Luxembourg,2.5,1.25,1.125,2,2.25,1.5,9.125,8.125
44th,Gibraltar,1,1.125,1.5,1.5,2,1.5,7.125,7.625
45th,Armenia,0.875,1.5,2.125,1.375,1,2.5,6.875,8.5
46th,Albania,0.75,1.375,2.25,0.75,1.375,1.125,6.5,6.875
47th,Montenegro,1.833,0.5,1.5,1.5,1,2.125,6.333,6.625
48th,Liechtenstein,1.5,0,2,0,2.5,0.5,6,5
49th,Lithuania,1.375,0.5,2.375,0.75,1,0.625,6,5.25
50th,Kosovo,0.667,1.667,0.5,0.5,0.333,0.5,3.667,3.5
51st,Estonia,0.875,0.75,0.25,0.167,0.667,1.167,2.708,3
52nd,Malta,0,0.333,0,0,0.167,0.167,0.5,0.667
53rd,Andorra,0.333,0,0,0,0,0,0.333,0
54th,San Marino,0,0,0,0,0,0.333,0,0.333
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
