Pos,Nation,57/58,58/59,59/60,60/61,61/62,62/63,Coef. 62/63,Coef. 63/64
1st,England,27.5,24.312,26.75,27.625,26.625,30.125,132.812,135.438
2nd,Germany,24.786,24.25,22.438,20.125,21,23.786,112.598,111.598
3rd,Italy,22.429,22.5,18.071,20.857,24.714,18.062,108.571,104.205
4th,Spain,21.375,21.786,22,21.286,20.625,20.857,107.071,106.554
5th,France,13.786,19.214,16.929,17.5,17.571,15.071,85,86.286
6th,Portugal,15.5,9.5,18.167,17.333,13.917,16.167,74.417,75.083
7th,Türkiye,11,12.7,10.6,12,13.4,5.9,59.7,54.6
8th,Netherlands,11.1,12.3,12.9,12.9,7.9,9.1,57.1,55.1
9th,Czechia,8.75,15.625,14.625,8,7.6,11.8,54.6,57.65
10th,Austria,5.9,10.9,14.6,9.6,12.2,9.8,53.2,57.1
11th,Scotland,9.1,8.9,10.9,10.3,11.5,9.333,50.7,50.933
12th,Belgium,7.3,6.6,10,13,13.375,10.1,50.275,53.075
13th,Denmark,9.3,9,11,9.6,5.9,10.7,44.8,46.2
14th,Bulgaria,8.625,8.125,8.625,6.625,11.3,9.25,43.3,43.925
15th,Greece,5.8,8.3,11.6,9.7,7.9,10.9,43.3,48.4
16th,Croatia,10.4,7.2,5,6.6,14,6,43.2,38.8
17th,Ukraine,8.125,7.125,5.375,11,9.75,9.25,41.375,42.5
18th,Israel,5.9,8.5,8.2,9,6.7,8.9,38.3,41.3
19th,Switzerland,10.75,9.375,5.625,4,5.5,7.75,35.25,32.25
20th,Romania,4.625,8.375,4.125,3.625,12.25,5.5,33,33.875
21st,Republic of Ireland,12.125,3.875,4,7.875,4.625,10.75,32.5,31.125
22nd,Serbia,8.875,4.75,6.875,3.875,2.5,7,26.875,25
23rd,Northern Ireland,3.75,6.625,3.625,7,4.875,5,25.875,27.125
24th,Slovenia,5.25,5,5,6.375,4.25,1.5,25.875,22.125
25th,Norway,6,4.375,5.375,5.75,3.5,6.75,25,25.75
26th,Sweden,6.875,5.875,2.875,4.5,4,6.375,24.125,23.625
27th,Poland,3,5.625,2.375,5,7.875,4.625,23.875,25.5
28th,Finland,4.25,5.125,3.625,6.75,2.75,3.75,22.5,22
29th,Hungary,7.5,2.625,3.5,4.25,4.5,4.5,22.375,19.375
30th,Cyprus,3.25,2.25,5.625,4.75,3.625,2.25,19.5,18.5
31st,Slovakia,2.5,4.75,3.5,3.875,4.5,4.125,19.125,20.75
32nd,Gibraltar,3.125,3,5.375,3.375,3.125,4.625,18,19.5
33rd,Wales,1.875,7,3.375,4.25,1.125,3.75,17.625,19.5
34th,Latvia,1.125,4,4.375,3.875,1.375,1.5,14.75,15.125
35th,Kazakhstan,3.625,3.375,2.875,1.125,3.375,4,14.375,14.75
36th,Iceland,4.25,0.875,3.875,2.25,3.125,1.5,14.375,11.625
37th,Bosnia and Herzegovina,2.5,3.375,5,1,2.125,2.875,14,14.375
38th,Azerbaijan,5.125,1.5,1.25,2.25,3,3.75,13.125,11.75
39th,Belarus,4.625,2.125,1.25,2.5,2.625,1.25,13.125,9.75
40th,Georgia,1.875,3.125,2.375,1.875,3,3,12.25,13.375
41st,Moldova,1.25,1.875,2.375,2.75,3,1.375,11.25,11.375
42nd,Albania,1.125,2.375,1.75,1.625,2.75,1.75,9.625,10.25
43rd,North Macedonia,2.875,2.25,0.875,2.125,1.5,1.25,9.625,8
44th,Armenia,2.25,1.375,1.625,1.875,1.125,2.25,8.25,8.25
45th,Luxembourg,1.625,1.875,1.625,1,1.875,1.5,8,7.875
46th,Montenegro,2.375,1.5,0.375,0.875,1.125,0.625,6.25,4.5
47th,Faroe Islands,1.125,1.375,1.375,1.375,0.875,1.75,6.125,6.75
48th,Lithuania,1.125,1,0.25,1,0.875,2,4.25,5.125
49th,Liechtenstein,1,0,0,2,0,2.5,3,4.5
50th,Estonia,0.167,0.667,0.167,1,0.5,0.167,2.5,2.5
51st,Kosovo,0.667,0,0.667,0.333,0.167,0.667,1.833,1.833
52nd,Malta,0,0,0.833,0.167,0,0,1,1
53rd,San Marino,0.667,0,0,0,0,0,0.667,0
54th,Andorra,0,0,0.167,0,0,0,0.167,0.167
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
