Pos,Nation,22/23,23/24,24/25,25/26,26/27,27/28,Coef. 27/28,Coef. 28/29
1st,England,23,24.5,26.125,27.5,22.444,25.286,123.569,125.855
2nd,Italy,22.357,17.571,21.625,22.286,22.667,22,106.506,106.149
3rd,Spain,16.571,16.25,25.857,20.778,25.714,21.778,105.17,110.377
4th,Germany,17.125,14.357,19.714,20.286,17.714,17.5,89.196,89.571
5th,France,12.583,17.167,16.786,15.286,17.857,20.286,79.678,87.381
6th,Portugal,12.5,13.833,16.6,17.4,15.2,12.667,75.533,75.7
7th,Netherlands,13.5,10.8,13,13.5,11.417,16.8,62.217,65.517
8th,Türkiye,11.8,14.25,14.2,5.4,14.9,11.5,60.55,60.25
9th,Belgium,14.2,11.9,6.7,7.9,8.3,6.3,49,41.1
10th,Denmark,5.9,5.25,12.75,12.875,11.1,11.5,47.875,53.475
11th,Greece,2.125,8.7,12,13.75,10.4,9.4,46.975,54.25
12th,Scotland,3.5,9.8,9.9,7,11,14.5,41.2,52.2
13th,Czechia,6.75,5.25,7.4,10.75,9,9,39.15,41.4
14th,Ukraine,5.7,8,5.6,8.2,10.625,7,38.125,39.425
15th,Croatia,3.375,3.375,5.625,12.625,12.5,7.5,37.5,41.625
16th,Switzerland,8.5,6.8,9.1,8.3,4.4,8.8,37.1,37.4
17th,Norway,5.75,5.625,7.75,8,8.125,4.875,35.25,34.375
18th,Austria,4.9,3.5,7.8,10.4,8,6.6,34.6,36.3
19th,Israel,6.25,3.75,9.875,8.375,5.1,6.25,33.35,33.35
20th,Serbia,5.375,5.4,5.9,8.6,7.625,9.25,32.9,36.775
21st,Poland,7.75,4.5,2.625,7,8.75,3,30.625,25.875
22nd,Sweden,6.25,4.75,8.625,2.875,6.125,3.25,28.625,25.625
23rd,Hungary,5.875,4.25,6.375,5.5,3.625,3.625,25.625,23.375
24th,Cyprus,5.1,4.375,5.625,5.25,3.5,3.75,23.85,22.5
25th,Romania,6.25,1.75,6.5,5,3.375,11.75,22.875,28.375
26th,Bulgaria,4.5,5.25,4,4.75,4,8.25,22.5,26.25
27th,Slovakia,6,6,1.875,3,5.125,3.5,22,19.5
28th,Azerbaijan,4,3,3.625,4.25,4,5.5,18.875,20.375
29th,Slovenia,2.125,4.375,4.25,5,2.375,5,18.125,21
30th,Bosnia and Herzegovina,2,1.375,4.5,3.75,5.875,4.125,17.5,19.625
31st,Kazakhstan,1.125,4.625,3.75,4.125,3.875,4.75,17.5,21.125
32nd,Georgia,1.125,4.5,4.75,3.625,2.375,2.375,16.375,17.625
33rd,Finland,2.625,2.375,3.375,3.5,3.625,2.5,15.5,15.375
34th,Latvia,2.75,1.5,5.75,2.75,2.375,1.75,15.125,14.125
35th,Moldova,3.75,2.75,2.5,2.5,3.375,2.375,14.875,13.5
36th,Iceland,3,2.667,3.375,2.375,2.625,1.625,14.042,12.667
37th,Republic of Ireland,3.375,4.375,1.375,1.125,1,4.875,11.25,12.75
38th,North Macedonia,1.625,2.5,1.333,2.25,2.875,1.5,10.583,10.458
39th,Faroe Islands,2.25,2.25,2.75,1.5,1.75,2.625,10.5,10.875
40th,Belarus,0.625,2.375,2,2,3,2,10,11.375
41st,Northern Ireland,1.25,1.125,2.75,2.125,2.75,2.875,10,11.625
42nd,Armenia,2.375,1.625,1.25,1.375,3,3,9.625,10.25
43rd,Lithuania,2.375,1.5,1.75,2.25,1.5,2,9.375,9
44th,Albania,0.875,1.125,2.25,3.125,1.25,3.375,8.625,11.125
45th,Liechtenstein,6.5,1,0.5,0,0.5,0,8.5,2
46th,Luxembourg,1.125,1.25,1.5,2.125,1,1.25,7,7.125
47th,Wales,1.166,0.25,1.75,1.5,1,2.5,5.666,7
48th,Gibraltar,0.875,0.5,1.167,0.833,2.167,1.667,5.542,6.333
49th,Malta,2.625,1.125,0.875,0.75,0,0,5.375,2.75
50th,Estonia,1.166,0.5,1,1.5,0.75,0.625,4.916,4.375
51st,Kosovo,2.875,0,0.5,0,0.875,0,4.25,1.375
52nd,Montenegro,1,1.5,0,1,0.667,1,4.167,4.167
53rd,San Marino,0.833,0,0.5,0,0,0,1.333,0.5
54th,Andorra,0.666,0.167,0.333,0,0,0,1.166,0.5
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
