Pos,Nation,36/37,37/38,38/39,39/40,40/41,41/42,Coef. 41/42,Coef. 42/43
1st,England,25.25,27.5,25.444,24.111,25.444,23.556,127.75,126.056
2nd,Germany,24.5,20.944,21.714,24.429,19.5,18.857,111.087,105.444
3rd,Italy,20.438,21.571,21.889,21.25,24.429,18.375,109.576,107.514
4th,Spain,21.714,17.714,19.714,18,18.214,21.571,95.357,95.214
5th,France,19.429,17.714,19,17.857,21,18.286,95,93.857
6th,Portugal,15.083,13.667,12.917,11.583,17,14.583,70.25,69.75
7th,Belgium,10.5,13.1,14.2,11.4,12.2,7.5,61.4,58.4
8th,Scotland,13.4,10.1,16.7,10.6,9.7,15.9,60.5,63
9th,Türkiye,8.4,12.8,11.7,14.9,6,14.6,53.8,60
10th,Denmark,15.5,6,5.1,11.1,10.7,8.9,48.4,41.8
11th,Austria,7.2,10.9,7.7,12.2,8.8,15.5,46.8,55.1
12th,Greece,8.4,5.9,9.3,8.5,14.4,10,46.5,48.1
13th,Netherlands,9.7,9.2,9,7.4,10.4,14.9,45.7,50.9
14th,Serbia,9.625,9.75,5.5,8.7,8,6.8,41.575,38.75
15th,Czechia,7.5,11.125,6.875,9.625,4.625,7.4,39.75,39.65
16th,Switzerland,7.2,6.5,8,10.25,6.75,6.375,38.7,37.875
17th,Romania,7.375,12.25,5,8.125,5.6,2.25,38.35,33.225
18th,Croatia,4.6,6.8,5.8,10.125,10.75,6.625,38.075,40.1
19th,Bulgaria,4.875,6.6,7,5.7,13.5,7.25,37.675,40.05
20th,Norway,6,7.5,10,7.25,5.5,5.125,36.25,35.375
21st,Ukraine,7.375,7.25,6.75,7.25,5.5,9.625,34.125,36.375
22nd,Israel,8.75,4.875,7.5,4.875,4.5,8.25,30.5,30
23rd,Sweden,6.625,5,7.25,4.75,3.25,4.875,26.875,25.125
24th,Poland,3.5,4.875,6.375,7.875,4,5.875,26.625,29
25th,Cyprus,9.625,2.25,4.75,3.5,4.875,3.125,25,18.5
26th,Hungary,4.375,7.625,5,3.25,4.25,7,24.5,27.125
27th,Slovenia,3.5,3.125,4.75,8.75,3.75,5.125,23.875,25.5
28th,Azerbaijan,5.25,4.5,3,3.625,4.125,5.25,20.5,20.5
29th,Kazakhstan,4,3.375,5.875,2.375,4.25,3.75,19.875,19.625
30th,Republic of Ireland,4.25,3,4.875,2.625,4.25,3.875,19,18.625
31st,Slovakia,2.625,6.25,4.375,3.625,2,3.875,18.875,20.125
32nd,Northern Ireland,4.5,4,1.875,3.875,4,2.25,18.25,16
33rd,Bosnia and Herzegovina,3.875,4.5,2.375,4,3.25,4.375,18,18.5
34th,Finland,1.875,4,2.875,4.125,4,4.375,16.875,19.375
35th,Iceland,3.75,3.625,3.125,2.125,3.625,2.75,16.25,15.25
36th,Wales,1.25,3.25,4.125,3.5,3.375,3.875,15.5,18.125
37th,Georgia,2.875,3,3.25,1.375,3,2.875,13.5,13.5
38th,Gibraltar,2.75,1.125,2.375,3.125,3.625,1.75,13,12
39th,Belarus,2.625,2.375,1.875,1.875,3.75,2.75,12.5,12.625
40th,Latvia,2.25,2.625,1.25,2.75,1.75,1.5,10.625,9.875
41st,Moldova,2.25,1.875,2.5,2.125,1.25,2.25,10,10
42nd,Faroe Islands,1.875,2,1.375,1.625,2.25,1.25,9.125,8.5
43rd,Albania,1.75,0.75,1.75,1.75,2.5,1.375,8.5,8.125
44th,North Macedonia,2.125,1.375,1.875,1.625,1.25,2.5,8.25,8.625
45th,Luxembourg,1.25,1.125,0.75,2.25,1.75,1.125,7.125,7
46th,Armenia,1.125,1.875,1.25,1.875,0.875,0.75,7,6.625
47th,Montenegro,2,1.625,1.125,0.375,0.875,0.875,6,4.875
48th,Estonia,0.833,0.667,0.667,0.5,1.833,0.667,4.5,4.333
49th,Lithuania,0.5,0.75,0.625,1.375,1.25,2.5,4.5,6.5
50th,Liechtenstein,1,1,1.5,0.5,0.5,0,4.5,3.5
51st,Kosovo,0.167,1.5,0.167,0,0.833,0.5,2.667,3
52nd,Malta,0,0,0.667,0.167,0,0,0.833,0.833
53rd,San Marino,0.167,0,0.667,0,0,0,0.833,0.667
54th,Andorra,0,0,0,0,0.333,0,0.333,0.333
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
