Pos,Nation,30/31,31/32,32/33,33/34,34/35,35/36,Coef. 35/36,Coef. 36/37
1st,England,25.778,28.625,28.5,24.5,27.125,27.5,134.528,136.25
2nd,Italy,21.857,21.625,22.286,19.812,21.5,21.643,107.08,106.866
3rd,Spain,19.75,23.5,20,21.143,21.429,16.571,105.821,102.643
4th,Germany,20.786,18.071,21.143,18.5,22.571,21.375,101.071,101.661
5th,France,19.429,15.786,16.643,21.286,19.286,18.929,92.429,91.929
6th,Portugal,14.667,16.25,10.5,12.5,16.167,12.667,70.083,68.083
7th,Belgium,13.5,13.75,9.6,15.8,12.2,11.5,64.85,62.85
8th,Netherlands,11.8,14.8,11.4,16.1,10.3,11.5,64.4,64.1
9th,Scotland,9,13.1,11.2,14.9,8.3,12.3,56.5,59.8
10th,Greece,8.6,12.8,9.6,11,11.3,13.5,53.3,58.2
11th,Türkiye,11,6.9,13.2,9.7,11,12.1,51.8,52.9
12th,Croatia,5.5,4.9,16.375,10.5,8,6.5,45.275,46.275
13th,Denmark,5.9,10.3,7.2,12.5,8,13.3,43.9,51.3
14th,Austria,10.7,6.9,5.9,7.3,12.875,11.2,43.675,44.175
15th,Switzerland,8.5,9.5,11.125,5.6,5.7,5.3,40.425,37.225
16th,Bulgaria,3.875,5.75,10.25,9.875,9.125,7.625,38.875,42.625
17th,Serbia,8.8,7.2,10.2,4.8,5.9,10.25,36.9,38.35
18th,Ukraine,8.375,10.75,6.625,3.625,6.75,5.5,36.125,33.25
19th,Israel,6,7.125,5.125,11,6.375,6.875,35.625,36.5
20th,Poland,4.375,8.25,5,8.75,6.375,5,32.75,33.375
21st,Czechia,13.8,4.3,3,3.5,5.875,5.75,30.475,22.425
22nd,Romania,7.25,5,6.5,3.75,7,7.25,29.5,29.5
23rd,Norway,7,5.625,7.5,3.125,5,7.125,28.25,28.375
24th,Republic of Ireland,5.25,7.75,6.125,3.125,5,3,27.25,25
25th,Sweden,4.875,4.875,10.625,3.875,2.375,5.125,26.625,26.875
26th,Slovakia,6.625,4.125,2.5,4.875,6.875,2.875,25,21.25
27th,Slovenia,4.75,4.375,6.125,4,4.875,1.75,24.125,21.125
28th,Hungary,4.75,5.5,4.25,2.875,3.875,5,21.25,21.5
29th,Cyprus,4.25,1.75,4.375,3.75,6.125,5.125,20.25,21.125
30th,Bosnia and Herzegovina,5.125,3.625,4.375,3.5,2.25,2.25,18.875,16
31st,Belarus,5.125,2.625,2.125,4,4.375,5.125,18.25,18.25
32nd,Finland,4.125,5.125,2.625,3.375,3,2.5,18.25,16.625
33rd,Azerbaijan,4.75,2.625,2.25,3.125,5.125,4.375,17.875,17.5
34th,Kazakhstan,2.75,2.75,3.5,3.25,5.125,5.125,17.375,19.75
35th,Latvia,2.625,2.25,4.625,2.25,4.875,2.25,16.625,16.25
36th,Iceland,1.875,3.125,3.75,4,2.5,2.75,15.25,16.125
37th,Northern Ireland,3,1.875,3,4.25,2.75,4.125,14.875,16
38th,Georgia,1.75,3.25,2.625,4,2.5,3.875,14.125,16.25
39th,Wales,3.25,3.25,2,2,3.25,2.25,13.75,12.75
40th,Moldova,1.5,2.875,2.875,4.125,2.25,3.375,13.625,15.5
41st,Faroe Islands,1.125,1.75,4,2.125,2,1,11,10.875
42nd,North Macedonia,1.75,2.375,2.125,2,1.125,2.625,9.375,10.25
43rd,Armenia,1.5,2.125,1.375,1,2.5,2.75,8.5,9.75
44th,Luxembourg,1.25,1.125,2,2.25,1.5,2.125,8.125,9
45th,Gibraltar,1.125,1.5,1.5,2,1.5,2,7.625,8.5
46th,Albania,1.375,2.25,0.75,1.375,1.125,1.875,6.875,7.375
47th,Montenegro,0.5,1.5,1.5,1,2.125,0.625,6.625,6.75
48th,Lithuania,0.5,2.375,0.75,1,0.625,0.875,5.25,5.625
49th,Liechtenstein,0,2,0,2.5,0.5,0,5,5
50th,Kosovo,1.667,0.5,0.5,0.333,0.5,0.333,3.5,2.167
51st,Estonia,0.75,0.25,0.167,0.667,1.167,0,3,2.25
52nd,Malta,0.333,0,0,0.167,0.167,0.167,0.667,0.5
53rd,San Marino,0,0,0,0,0.333,0,0.333,0.333
54th,Andorra,0,0,0,0,0,0.333,0,0.333
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
