Pos,Nation,64/65,65/66,66/67,67/68,68/69,69/70,Coef. 69/70,Coef. 70/71
1st,England,24.722,27.562,29,23.625,23.062,27,127.972,130.25
2nd,Germany,25.429,20.438,22.786,24.562,20.722,24.571,113.937,113.079
3rd,Spain,22.286,23,21.438,23.571,18.5,20.857,108.795,107.366
4th,Italy,19.812,19.429,17.143,22,20.857,22.357,99.241,101.786
5th,France,16.5,16.429,17.643,12.5,22.071,15.143,85.143,83.786
6th,Portugal,13.167,14,10.667,12.583,18.25,12.5,68.667,68
7th,Scotland,15.8,12.1,11,19.1,10.6,8.75,68.6,61.55
8th,Netherlands,16,13.3,11.3,10,13.1,10.5,63.7,58.2
9th,Czechia,4.8,11.9,19.375,12.5,8.9,9.8,57.475,62.475
10th,Belgium,12.5,11,9.5,9.8,11.4,13.6,54.2,55.3
11th,Austria,7.5,10.7,12.3,11.9,11.1,10.7,53.5,56.7
12th,Türkiye,8.4,12.3,13,8.3,7.3,7.8,49.3,48.7
13th,Croatia,11.125,10.75,10.1,7.1,8.3,6.5,47.375,42.75
14th,Bulgaria,9.6,10.3,8.5,8.2,5.8,9.9,42.4,42.7
15th,Greece,6.9,9.8,6.7,7.3,8.3,4.5,39,36.6
16th,Serbia,6.75,7.75,4,12,7.125,6.3,37.625,37.175
17th,Denmark,6.2,6,8,8.25,7.625,5.75,36.075,35.625
18th,Republic of Ireland,4.75,8.125,6.25,8.625,7.75,14.75,35.5,45.5
19th,Switzerland,8,7.5,6.625,5.625,4.75,8.375,32.5,32.875
20th,Ukraine,6.875,3.75,6.7,9.375,5.75,13.875,32.45,39.45
21st,Israel,5.875,9,4.5,3.375,7.25,7.25,30,31.375
22nd,Romania,4.125,5.5,6.625,7.25,5.75,4.75,29.25,29.875
23rd,Sweden,8.125,2.5,3.125,8.125,7.25,3.875,29.125,24.875
24th,Norway,3.5,4.375,8.5,3.125,8.25,3.625,27.75,27.875
25th,Slovenia,4,5.75,7.125,3.5,7.25,3.75,27.625,27.375
26th,Finland,5.875,3.625,3.625,6.25,6.625,4.125,26,24.25
27th,Northern Ireland,7.75,4.875,3.25,6.125,3.875,7.625,25.875,25.75
28th,Poland,5.625,2.375,4,4.5,4.375,3.125,20.875,18.375
29th,Cyprus,4.25,3.25,3.875,3.5,4.5,3.375,19.375,18.5
30th,Georgia,2.125,5.375,6.25,2.25,3,2.375,19,19.25
31st,Gibraltar,3,4.5,4.25,4,3,2.75,18.75,18.5
32nd,Bosnia and Herzegovina,5.25,3,3.25,5,2,5.25,18.5,18.5
33rd,Hungary,3.375,2.75,4.75,1.625,5.25,6,17.75,20.375
34th,Latvia,3,5.25,4.25,2.625,1.625,2,16.75,15.75
35th,Slovakia,3,2.5,3.125,2.875,4.375,3.5,15.875,16.375
36th,Wales,2.875,4.75,1.625,2.75,2.875,3,14.875,15
37th,Iceland,2.75,2.125,3.625,2.125,4.125,3.375,14.75,15.375
38th,Belarus,2.125,2.375,2,5,3.25,4,14.75,16.625
39th,Moldova,3.75,1.75,2.5,1.875,2.5,1.25,12.375,9.875
40th,Liechtenstein,2.5,2.5,2.5,1,2.5,21,11,29.5
41st,Kazakhstan,1.5,1.25,2.75,3.125,2.25,3.75,10.875,13.125
42nd,Azerbaijan,2.75,1,1.5,2.625,2.5,2.125,10.375,9.75
43rd,Albania,3.25,1.375,1.125,2,1.375,3.375,9.125,9.25
44th,North Macedonia,1.875,2.25,1.625,1.875,1.375,2.625,9,9.75
45th,Armenia,1.25,1.125,1,1.75,3.125,0.625,8.25,7.625
46th,Faroe Islands,0.75,1.75,2.25,0.75,1.625,1.625,7.125,8
47th,Luxembourg,1.5,1.625,1.625,1.75,0.625,1.5,7.125,7.125
48th,Montenegro,0.75,1.625,1.375,1.125,1.125,0.75,6,6
49th,Lithuania,0.75,1.25,0.75,0.375,1.5,0.667,4.625,4.542
50th,Estonia,1.167,1,1.5,0.167,0.5,1.125,4.333,4.292
51st,Kosovo,0.333,0.167,1,0.333,0.333,0.333,2.167,2.167
52nd,San Marino,0,0,0,0,0.667,0,0.667,0.667
53rd,Malta,0,0,0,0.167,0,0,0.167,0.167
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
