Pos,Nation,31/32,32/33,33/34,34/35,35/36,36/37,Coef. 36/37,Coef. 37/38
1st,England,28.625,28.5,24.5,27.125,27.875,24.75,136.625,132.75
2nd,Italy,21.625,22.286,19.812,21.5,21.643,20.438,106.866,105.679
3rd,Spain,23.5,20,21.143,21.429,16.571,21.714,102.643,100.857
4th,Germany,18.071,21.143,18.5,22.571,21.5,24.5,101.786,108.214
5th,France,15.786,16.643,21.286,19.286,18.929,19.429,91.929,95.571
6th,Portugal,16.25,10.5,12.5,16.167,12.667,15.083,68.083,66.917
7th,Netherlands,14.8,11.4,16.1,10.3,11.5,9.7,64.1,59
8th,Belgium,13.75,9.6,15.8,12.2,11.5,10.5,62.85,59.6
9th,Scotland,13.1,11.2,14.9,8.3,12.3,13.4,59.8,60.1
10th,Greece,12.8,9.6,11,11.3,13.5,8.4,58.2,53.8
11th,Türkiye,6.9,13.2,9.7,11,12.1,8.4,52.9,54.4
12th,Denmark,10.3,7.2,12.5,8,13.3,15.5,51.3,56.5
13th,Croatia,4.9,16.375,10.5,8,6.5,4.6,46.275,45.975
14th,Austria,6.9,5.9,7.3,12.875,11.2,7.2,44.175,44.475
15th,Bulgaria,5.75,10.25,9.875,9.125,7.625,4.875,42.625,41.75
16th,Serbia,7.2,10.2,4.8,5.9,10.25,9.625,38.35,40.775
17th,Switzerland,9.5,11.125,5.6,5.7,5.3,7.2,37.225,34.925
18th,Israel,7.125,5.125,11,6.375,6.875,8.75,36.5,38.125
19th,Poland,8.25,5,8.75,6.375,5,3.5,33.375,28.625
20th,Ukraine,10.75,6.625,3.625,6.75,5.5,7.375,33.25,29.875
21st,Romania,5,6.5,3.75,7,7.25,7.375,29.5,31.875
22nd,Norway,5.625,7.5,3.125,5,7.125,6,28.375,28.75
23rd,Sweden,4.875,10.625,3.875,2.375,5.125,6.625,26.875,28.625
24th,Republic of Ireland,7.75,6.125,3.125,5,3,4.25,25,21.5
25th,Czechia,4.3,3,3.5,5.875,5.75,7.5,22.425,25.625
26th,Hungary,5.5,4.25,2.875,3.875,5,4.375,21.5,20.375
27th,Slovakia,4.125,2.5,4.875,6.875,2.875,2.625,21.25,19.75
28th,Cyprus,1.75,4.375,3.75,6.125,5.125,9.625,21.125,29
29th,Slovenia,4.375,6.125,4,4.875,1.75,3.5,21.125,20.25
30th,Kazakhstan,2.75,3.5,3.25,5.125,5.125,4,19.75,21
31st,Belarus,2.625,2.125,4,4.375,5.125,2.625,18.25,18.25
32nd,Azerbaijan,2.625,2.25,3.125,5.125,4.375,5.25,17.5,20.125
33rd,Finland,5.125,2.625,3.375,3,2.5,1.875,16.625,13.375
34th,Georgia,3.25,2.625,4,2.5,3.875,2.875,16.25,15.875
35th,Latvia,2.25,4.625,2.25,4.875,2.25,2.25,16.25,16.25
36th,Iceland,3.125,3.75,4,2.5,2.75,3.75,16.125,16.75
37th,Northern Ireland,1.875,3,4.25,2.75,4.125,4.5,16,18.625
38th,Bosnia and Herzegovina,3.625,4.375,3.5,2.25,2.25,3.875,16,16.25
39th,Moldova,2.875,2.875,4.125,2.25,3.375,2.25,15.5,14.875
40th,Wales,3.25,2,2,3.25,2.25,1.25,12.75,10.75
41st,Faroe Islands,1.75,4,2.125,2,1,1.875,10.875,11
42nd,North Macedonia,2.375,2.125,2,1.125,2.625,2.125,10.25,10
43rd,Armenia,2.125,1.375,1,2.5,2.75,1.125,9.75,8.75
44th,Luxembourg,1.125,2,2.25,1.5,2.125,1.25,9,9.125
45th,Gibraltar,1.5,1.5,2,1.5,2,2.75,8.5,9.75
46th,Albania,2.25,0.75,1.375,1.125,1.875,1.75,7.375,6.875
47th,Montenegro,1.5,1.5,1,2.125,0.625,2,6.75,7.25
48th,Lithuania,2.375,0.75,1,0.625,0.875,0.5,5.625,3.75
49th,Liechtenstein,2,0,2.5,0.5,0,1,5,4
50th,Estonia,0.25,0.167,0.667,1.167,0,0.833,2.25,2.833
51st,Kosovo,0.5,0.5,0.333,0.5,0.333,0.167,2.167,1.833
52nd,Malta,0,0,0.167,0.167,0.167,0,0.5,0.5
53rd,Andorra,0,0,0,0,0.333,0,0.333,0.333
54th,San Marino,0,0,0,0.333,0,0.167,0.333,0.5
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
