Pos,Nation,58/59,59/60,60/61,61/62,62/63,63/64,Coef. 63/64,Coef. 64/65
1st,England,24.312,26.75,27.625,26.625,30.625,26.4,135.938,138.025
2nd,Germany,24.25,22.438,20.125,21,23.786,20.875,111.598,108.223
3rd,Spain,21.786,22,21.286,20.625,20.857,18.286,106.554,103.054
4th,Italy,22.5,18.071,20.857,24.714,18.062,22.214,104.205,103.92
5th,France,19.214,16.929,17.5,17.571,15.071,17.786,86.286,84.857
6th,Portugal,9.5,18.167,17.333,13.917,16.167,13.083,75.083,78.667
7th,Czechia,15.625,14.625,8,7.6,11.8,7.8,57.65,49.825
8th,Austria,10.9,14.6,9.6,12.2,9.8,12.4,57.1,58.6
9th,Netherlands,12.3,12.9,12.9,7.9,9.1,15.1,55.1,57.9
10th,Türkiye,12.7,10.6,12,13.4,5.9,8.2,54.6,50.1
11th,Belgium,6.6,10,13,13.375,10.1,16.3,53.075,62.775
12th,Scotland,8.9,10.9,10.3,11.5,9.333,10,50.933,52.033
13th,Greece,8.3,11.6,9.7,7.9,10.9,6.7,48.4,46.8
14th,Denmark,9,11,9.6,5.9,10.7,9.2,46.2,46.4
15th,Bulgaria,8.125,8.625,6.625,11.3,9.25,8,43.925,43.8
16th,Ukraine,7.125,5.375,11,9.75,9.25,6.375,42.5,41.75
17th,Israel,8.5,8.2,9,6.7,8.9,4.75,41.3,37.55
18th,Croatia,7.2,5,6.6,14,6,8.125,38.8,39.725
19th,Romania,8.375,4.125,3.625,12.25,5.5,10,33.875,35.5
20th,Switzerland,9.375,5.625,4,5.5,7.75,5.625,32.25,28.5
21st,Republic of Ireland,3.875,4,7.875,4.625,10.75,2.875,31.125,30.125
22nd,Northern Ireland,6.625,3.625,7,4.875,5,6.125,27.125,26.625
23rd,Norway,4.375,5.375,5.75,3.5,6.75,4.75,25.75,26.125
24th,Poland,5.625,2.375,5,7.875,4.625,6,25.5,25.875
25th,Serbia,4.75,6.875,3.875,2.5,7,9.75,25,30
26th,Sweden,5.875,2.875,4.5,4,6.375,3.625,23.625,21.375
27th,Slovenia,5,5,6.375,4.25,1.5,5.5,22.125,22.625
28th,Finland,5.125,3.625,6.75,2.75,3.75,2.875,22,19.75
29th,Slovakia,4.75,3.5,3.875,4.5,4.125,3,20.75,19
30th,Gibraltar,3,5.375,3.375,3.125,4.625,3.625,19.5,20.125
31st,Wales,7,3.375,4.25,1.125,3.75,2.375,19.5,14.875
32nd,Hungary,2.625,3.5,4.25,4.5,4.5,4.125,19.375,20.875
33rd,Cyprus,2.25,5.625,4.75,3.625,2.25,1.5,18.5,17.75
34th,Latvia,4,4.375,3.875,1.375,1.5,1.625,15.125,12.75
35th,Kazakhstan,3.375,2.875,1.125,3.375,4,2.875,14.75,14.25
36th,Bosnia and Herzegovina,3.375,5,1,2.125,2.875,1.625,14.375,12.625
37th,Georgia,3.125,2.375,1.875,3,3,5,13.375,15.25
38th,Azerbaijan,1.5,1.25,2.25,3,3.75,2.625,11.75,12.875
39th,Iceland,0.875,3.875,2.25,3.125,1.5,1.75,11.625,12.5
40th,Moldova,1.875,2.375,2.75,3,1.375,3,11.375,12.5
41st,Albania,2.375,1.75,1.625,2.75,1.75,1.25,10.25,9.125
42nd,Belarus,2.125,1.25,2.5,2.625,1.25,1.25,9.75,8.875
43rd,Armenia,1.375,1.625,1.875,1.125,2.25,2.75,8.25,9.625
44th,North Macedonia,2.25,0.875,2.125,1.5,1.25,2.75,8,8.5
45th,Luxembourg,1.875,1.625,1,1.875,1.5,1.875,7.875,7.875
46th,Faroe Islands,1.375,1.375,1.375,0.875,1.75,1.75,6.75,7.125
47th,Lithuania,1,0.25,1,0.875,2,0.5,5.125,4.625
48th,Liechtenstein,0,0,2,0,2.5,2,4.5,6.5
49th,Montenegro,1.5,0.375,0.875,1.125,0.625,1.25,4.5,4.25
50th,Estonia,0.667,0.167,1,0.5,0.167,0.167,2.5,2
51st,Kosovo,0,0.667,0.333,0.167,0.667,0.667,1.833,2.5
52nd,Malta,0,0.833,0.167,0,0,0,1,1
53rd,Andorra,0,0.167,0,0,0,0,0.167,0.167
54th,San Marino,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
