Pos,Nation,34/35,35/36,36/37,37/38,38/39,39/40,Coef. 39/40,Coef. 40/41
1st,England,27.125,27.875,25.25,27.5,25.444,24.111,133.194,130.181
2nd,Germany,22.571,21.5,24.5,20.944,21.714,24.429,111.23,113.087
3rd,Italy,21.5,21.643,20.438,21.571,21.889,21.25,107.041,106.791
4th,Spain,21.429,16.571,21.714,17.714,19.714,18,97.143,93.714
5th,France,19.286,18.929,19.429,17.714,19,17.857,94.357,92.929
6th,Portugal,16.167,12.667,15.083,13.667,12.917,11.583,70.5,65.917
7th,Belgium,12.2,11.5,10.5,13.1,14.2,11.4,61.5,60.7
8th,Scotland,8.3,12.3,13.4,10.1,16.7,10.6,60.8,63.1
9th,Türkiye,11,12.1,8.4,12.8,11.7,14.9,56,59.9
10th,Austria,12.875,11.2,7.2,10.9,7.7,12.2,49.875,49.2
11th,Netherlands,10.3,11.5,9.7,9.2,9,7.4,49.7,46.8
12th,Greece,11.3,13.5,8.4,5.9,9.3,8.5,48.4,45.6
13th,Denmark,8,13.3,15.5,6,5.1,11.1,47.9,51
14th,Serbia,5.9,10.25,9.625,9.75,5.5,8.7,41.025,43.825
15th,Romania,7,7.25,7.375,12.25,5,8.125,38.875,40
16th,Czechia,5.875,5.75,7.5,11.125,6.875,9.625,37.125,40.875
17th,Norway,5,7.125,6,7.5,10,7.25,35.625,37.875
18th,Bulgaria,9.125,7.625,4.875,6.6,7,5.7,35.225,31.8
19th,Israel,6.375,6.875,8.75,4.875,7.5,4.875,34.375,32.875
20th,Ukraine,6.75,5.5,7.375,7.25,6.75,7.25,33.625,34.125
21st,Switzerland,5.7,5.3,7.2,6.5,8,10.25,32.7,37.25
22nd,Croatia,8,6.5,4.6,6.8,5.8,10.125,31.7,33.825
23rd,Cyprus,6.125,5.125,9.625,2.25,4.75,3.5,27.875,25.25
24th,Sweden,2.375,5.125,6.625,5,7.25,4.75,26.375,28.75
25th,Poland,6.375,5,3.5,4.875,6.375,7.875,26.125,27.625
26th,Hungary,3.875,5,4.375,7.625,5,3.25,25.875,25.25
27th,Kazakhstan,5.125,5.125,4,3.375,5.875,2.375,23.5,20.75
28th,Slovakia,6.875,2.875,2.625,6.25,4.375,3.625,23,19.75
29th,Azerbaijan,5.125,4.375,5.25,4.5,3,3.625,22.25,20.75
30th,Republic of Ireland,5,3,4.25,3,4.875,2.625,20.125,17.75
31st,Slovenia,4.875,1.75,3.5,3.125,4.75,8.75,18,21.875
32nd,Northern Ireland,2.75,4.125,4.5,4,1.875,3.875,17.25,18.375
33rd,Belarus,4.375,5.125,2.625,2.375,1.875,1.875,16.375,13.875
34th,Iceland,2.5,2.75,3.75,3.625,3.125,2.125,15.75,15.375
35th,Georgia,2.5,3.875,2.875,3,3.25,1.375,15.5,14.375
36th,Bosnia and Herzegovina,2.25,2.25,3.875,4.5,2.375,4,15.25,17
37th,Finland,3,2.5,1.875,4,2.875,4.125,14.25,15.375
38th,Wales,3.25,2.25,1.25,3.25,4.125,3.5,14.125,14.375
39th,Latvia,4.875,2.25,2.25,2.625,1.25,2.75,13.25,11.125
40th,Moldova,2.25,3.375,2.25,1.875,2.5,2.125,12.25,12.125
41st,Gibraltar,1.5,2,2.75,1.125,2.375,3.125,9.75,11.375
42nd,Armenia,2.5,2.75,1.125,1.875,1.25,1.875,9.5,8.875
43rd,North Macedonia,1.125,2.625,2.125,1.375,1.875,1.625,9.125,9.625
44th,Faroe Islands,2,1,1.875,2,1.375,1.625,8.25,7.875
45th,Montenegro,2.125,0.625,2,1.625,1.125,0.375,7.5,5.75
46th,Albania,1.125,1.875,1.75,0.75,1.75,1.75,7.25,7.875
47th,Luxembourg,1.5,2.125,1.25,1.125,0.75,2.25,6.75,7.5
48th,Liechtenstein,0.5,0,1,1,1.5,0.5,4,4
49th,Lithuania,0.625,0.875,0.5,0.75,0.625,1.375,3.375,4.125
50th,Estonia,1.167,0,0.833,0.667,0.667,0.5,3.333,2.667
51st,Kosovo,0.5,0.333,0.167,1.5,0.167,0,2.667,2.167
52nd,San Marino,0.333,0,0.167,0,0.667,0,1.167,0.833
53rd,Malta,0.167,0.167,0,0,0.667,0.167,1,1
54th,Andorra,0,0.333,0,0,0,0,0.333,0.333
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
