Pos,Nation,28/29,29/30,30/31,31/32,32/33,33/34,Coef. 33/34,Coef. 34/35
1st,England,24.611,26.222,25.778,28.625,28.5,24.5,133.736,133.625
2nd,Spain,23.214,22.5,19.75,23.5,20,21.143,108.964,106.893
3rd,Italy,20.5,21.857,21.857,21.625,22.286,19.812,108.125,107.438
4th,Germany,21.929,19.643,20.786,18.071,21.143,18.5,101.571,98.143
5th,France,15.214,18.5,19.429,15.786,16.643,21.286,85.571,91.643
6th,Portugal,14.833,16.25,14.667,16.25,10.5,12.5,72.5,70.167
7th,Netherlands,16.1,9.1,11.8,14.8,11.4,16.1,63.2,63.2
8th,Scotland,10.1,13.7,9,13.1,11.2,14.9,57.1,61.9
9th,Belgium,7.9,11.2,13.5,13.75,9.6,15.8,55.95,63.85
10th,Greece,13.4,7.9,8.6,12.8,9.6,11,52.3,49.9
11th,Denmark,13,11.3,5.9,10.3,7.2,12.5,47.7,47.2
12th,Serbia,11.125,10.25,8.8,7.2,10.2,4.8,47.575,41.25
13th,Türkiye,9.9,4.7,11,6.9,13.2,9.7,45.7,45.5
14th,Croatia,10.5,6.6,5.5,4.9,16.375,10.5,43.875,43.875
15th,Switzerland,6.25,8.25,8.5,9.5,11.125,5.6,43.625,42.975
16th,Austria,9,10.625,10.7,6.9,5.9,7.3,43.125,41.425
17th,Ukraine,6.6,8.1,8.375,10.75,6.625,3.625,40.45,37.475
18th,Norway,6.875,10.875,7,5.625,7.5,3.125,37.875,34.125
19th,Czechia,5.7,8.1,13.8,4.3,3,3.5,34.9,32.7
20th,Bulgaria,8.375,4.625,3.875,5.75,10.25,9.875,32.875,34.375
21st,Poland,4.375,9.25,4.375,8.25,5,8.75,31.25,35.625
22nd,Sweden,7.625,3,4.875,4.875,10.625,3.875,31,27.25
23rd,Israel,6.75,5.25,6,7.125,5.125,11,30.25,34.5
24th,Romania,4.75,5.875,7.25,5,6.5,3.75,29.375,28.375
25th,Republic of Ireland,3.5,5.125,5.25,7.75,6.125,3.125,27.75,27.375
26th,Hungary,4.375,5,4.75,5.5,4.25,2.875,23.875,22.375
27th,Slovenia,3.75,3.5,4.75,4.375,6.125,4,22.5,22.75
28th,Slovakia,4.875,4.125,6.625,4.125,2.5,4.875,22.25,22.25
29th,Finland,3.125,4.5,4.125,5.125,2.625,3.375,19.5,19.75
30th,Bosnia and Herzegovina,2,2.75,5.125,3.625,4.375,3.5,17.875,19.375
31st,Cyprus,3.5,3.125,4.25,1.75,4.375,3.75,17,17.25
32nd,Iceland,3.625,4.25,1.875,3.125,3.75,4,16.625,17
33rd,Kazakhstan,4.25,3.25,2.75,2.75,3.5,3.25,16.5,15.5
34th,Latvia,1.125,5.75,2.625,2.25,4.625,2.25,16.375,17.5
35th,Azerbaijan,3.125,3,4.75,2.625,2.25,3.125,15.75,15.75
36th,Georgia,4.5,3.25,1.75,3.25,2.625,4,15.375,14.875
37th,Belarus,3.375,2.125,5.125,2.625,2.125,4,15.375,16
38th,Wales,2.25,1.5,3.25,3.25,2,2,12.25,12
39th,Northern Ireland,1.5,2.25,3,1.875,3,4.25,11.625,14.375
40th,North Macedonia,2.375,2.625,1.75,2.375,2.125,2,11.25,10.875
41st,Moldova,2.125,1.75,1.5,2.875,2.875,4.125,11.125,13.125
42nd,Faroe Islands,1.875,1,1.125,1.75,4,2.125,9.75,10
43rd,Luxembourg,0.75,2.5,1.25,1.125,2,2.25,7.625,9.125
44th,Albania,2.5,0.75,1.375,2.25,0.75,1.375,7.625,6.5
45th,Armenia,1,0.875,1.5,2.125,1.375,1,6.875,6.875
46th,Gibraltar,1.125,1,1.125,1.5,1.5,2,6.25,7.125
47th,Lithuania,1.25,1.375,0.5,2.375,0.75,1,6.25,6
48th,Montenegro,0.333,1.833,0.5,1.5,1.5,1,5.667,6.333
49th,Kosovo,1.167,0.667,1.667,0.5,0.5,0.333,4.5,3.667
50th,Liechtenstein,0,1.5,0,2,0,2.5,3.5,6
51st,Estonia,1.333,0.875,0.75,0.25,0.167,0.667,3.375,2.708
52nd,Malta,1,0,0.333,0,0,0.167,1.333,0.5
53rd,Andorra,0.167,0.333,0,0,0,0,0.5,0.333
54th,San Marino,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
