Pos,Nation,47/48,48/49,49/50,50/51,51/52,52/53,Coef. 52/53,Coef. 53/54
1st,England,25,23.25,22.625,23.062,21.722,26.286,115.66,116.945
2nd,Germany,20,24.143,24.188,22.562,22.429,23.188,113.321,116.509
3rd,Spain,23.857,20.062,20,23.429,23.5,19.222,110.848,106.213
4th,Italy,18.357,22.143,17.214,22.357,16.5,25.857,96.571,104.071
5th,France,18.75,19.571,16.188,19.312,17.357,15.714,91.179,88.143
6th,Portugal,14.75,14.667,18.583,16.167,11.417,15.667,75.583,76.5
7th,Netherlands,14.9,11.4,10.5,12.5,14,10.5,63.3,58.9
8th,Türkiye,15,9.1,9.5,13,12.1,6.7,58.7,50.4
9th,Austria,12.6,13.5,10.7,11.9,9.2,8.9,57.9,54.2
10th,Denmark,10.5,13,11.4,14.5,8.1,7.4,57.5,54.4
11th,Scotland,8.8,15.6,11.917,10.3,8.8,10.1,55.417,56.717
12th,Greece,13.6,10.3,9.7,7.7,11.2,15.5,52.5,54.4
13th,Belgium,10.1,8.5,8.2,6.1,14.6,9.8,47.5,47.2
14th,Serbia,9,10.25,13.25,7.375,6.625,6.4,46.5,43.9
15th,Bulgaria,6.6,9.875,9,11.5,8.9,6.4,45.875,45.675
16th,Czechia,3.25,7.875,8.5,5.875,13.125,8,38.625,43.375
17th,Croatia,10,6.6,9.1,4.7,7.7,9.5,38.1,37.6
18th,Switzerland,7.125,6,5.25,8.25,10.875,8.375,37.5,38.75
19th,Ukraine,6.9,4.7,12,7.5,6.375,5.875,37.475,36.45
20th,Norway,6.5,8.125,8.375,4,6.75,11.5,33.75,38.75
21st,Poland,6.25,6.25,5.625,4.625,9.375,3.5,32.125,29.375
22nd,Republic of Ireland,5,7.125,8,4.5,5.25,7.75,29.875,32.625
23rd,Romania,6.625,6.625,5,3.5,6.625,5.375,28.375,27.125
24th,Sweden,4.625,4.5,4,8,5.625,3.25,26.75,25.375
25th,Slovakia,2.875,3.75,3.875,5.375,5.5,3.5,21.375,22
26th,Israel,3.5,4.625,3.125,6.25,3.625,11.25,21.125,28.875
27th,Finland,2.875,4.625,5,5.25,2.625,3.375,20.375,20.875
28th,Cyprus,3.625,2.75,5.625,3.25,4.625,2.625,19.875,18.875
29th,Slovenia,3.625,3.125,3.625,3.875,5.5,3.5,19.75,19.625
30th,Northern Ireland,5.25,2.75,3.25,4.875,3.25,4.75,19.375,18.875
31st,Hungary,2.375,3.125,3.5,3.875,5.75,4.5,18.625,20.75
32nd,Bosnia and Herzegovina,4.25,2.25,4.375,2.625,3.5,2.5,17,15.25
33rd,Gibraltar,3,3.375,3.5,2.625,4.125,2.25,16.625,15.875
34th,Kazakhstan,4.25,3.125,2.75,3.5,2.625,3.375,16.25,15.375
35th,Georgia,3.5,3.25,2.375,2.875,3,4.5,15,16
36th,Wales,2.625,2.625,2.375,3.75,3.375,3.375,14.75,15.5
37th,Belarus,2.5,2,2.75,3,2.75,1.75,13,12.25
38th,Latvia,3,2.125,1.25,2.25,3.75,3,12.375,12.375
39th,Azerbaijan,1.875,2.75,2.75,2.625,2.375,2.625,12.375,13.125
40th,Iceland,3,2.25,2.875,1.25,1.75,3.375,11.125,11.5
41st,Moldova,2.875,2.125,2.375,2.375,1,1.625,10.75,9.5
42nd,North Macedonia,2.25,2.875,1.625,1.375,2,1.875,10.125,9.75
43rd,Faroe Islands,1.375,2.375,1.5,2.375,1.25,1.375,8.875,8.875
44th,Armenia,1.75,1.75,1.75,1.375,1,1.625,7.625,7.5
45th,Albania,1.5,1.625,1.75,1.125,0.875,1,6.875,6.375
46th,Luxembourg,1,1.25,1.625,0.75,1.25,1.75,5.875,6.625
47th,Montenegro,0.625,0.875,1.25,0.75,2,1.75,5.5,6.625
48th,Lithuania,1.125,0.375,0.75,0.375,1.625,0.833,4.25,3.958
49th,Estonia,0.667,0.5,0.667,0.833,0.5,0.75,3.167,3.25
50th,Kosovo,0.167,0.5,0.667,0.5,1.167,0.167,3,3
51st,Liechtenstein,0,1,0,0.5,1,0,2.5,2.5
52nd,Malta,0.167,1.167,0.167,0,0,0.167,1.5,1.5
53rd,San Marino,0,0,0,0,0,0,0,0
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
