Pos,Nation,41/42,42/43,43/44,44/45,45/46,46/47,Coef. 46/47,Coef. 47/48
1st,England,23.556,25.625,27.812,27.778,23.312,22.286,128.083,126.813
2nd,Germany,18.857,23.714,21.312,21.438,24.5,22.5,109.821,113.464
3rd,Spain,21.571,20.125,20.429,20.643,24.429,22,107.196,107.625
4th,Italy,18.625,22.143,20.429,16.786,23.714,20.429,101.696,103.5
5th,France,18.571,19.357,19.357,18.357,18.214,20.714,93.857,96
6th,Portugal,14.583,13,12,17,14.5,11,71.083,67.5
7th,Netherlands,14.9,12.9,15.7,13,9.3,11.6,65.8,62.5
8th,Türkiye,14.6,7,11.2,13.6,11.4,11.2,57.8,54.4
9th,Scotland,15.9,9.6,10.5,11.9,8.6,11.7,56.5,52.3
10th,Austria,15.5,10.6,9.5,10.8,9.1,12.5,55.5,52.5
11th,Belgium,7.5,12.4,11.7,9.4,12,16.9,53,62.4
12th,Greece,10,8.3,7.8,13.4,11.8,13.9,51.3,55.2
13th,Denmark,8.9,11.1,10.5,11.1,6.8,4.8,48.4,44.3
14th,Ukraine,9.625,6.875,9.75,11.75,6.125,8,44.125,42.5
15th,Bulgaria,7.25,10.75,6.3,4.5,9.3,5.5,38.1,36.35
16th,Switzerland,6.375,10.25,6,7.3,8,4.5,37.925,36.05
17th,Serbia,6.8,10.1,9.25,6.75,3.9,3.375,36.8,33.375
18th,Croatia,6.625,7.625,7.5,4.625,8,11.625,34.375,39.375
19th,Republic of Ireland,3.875,7,8.875,8.625,5.75,7,34.125,37.25
20th,Norway,5.125,4.125,7.25,4.75,10.375,5.5,31.625,32
21st,Israel,8.25,7,4.375,3.125,8.25,6,31,28.75
22nd,Hungary,7,7,5.625,5.5,5,3,30.125,26.125
23rd,Czechia,7.4,5.7,5.75,5.5,5.25,4.75,29.6,26.95
24th,Sweden,4.875,3.375,8.5,8.625,3.375,10.375,28.75,34.25
25th,Poland,5.875,7.625,2.25,3.25,7.625,7.125,26.625,27.875
26th,Azerbaijan,5.25,4.75,3.25,5.375,3.25,4.625,21.875,21.25
27th,Slovakia,3.875,2.375,4,6.625,4.5,7.75,21.375,25.25
28th,Slovenia,5.125,3.875,8,2.25,1.875,3.125,21.125,19.125
29th,Romania,2.25,3.125,4.625,3.375,7.125,3.875,20.5,22.125
30th,Finland,4.375,4.75,2.5,3.625,3.5,3.5,18.75,17.875
31st,Cyprus,3.125,3.25,4.75,4.375,2.25,2,17.75,16.625
32nd,Bosnia and Herzegovina,4.375,2.875,2.75,3.25,3.25,3.375,16.5,15.5
33rd,Northern Ireland,2.25,4.625,3.25,2.125,4,4,16.25,18
34th,Iceland,2.75,4.625,1.875,2,4.375,3.125,15.625,16
35th,Georgia,2.875,2.375,3.75,2.625,3.875,2.5,15.5,15.125
36th,Kazakhstan,3.75,3.5,2.625,3,2.375,2.5,15.25,14
37th,Belarus,2.75,1.875,2.75,2.625,5.125,6.375,15.125,18.75
38th,Wales,3.875,2.875,3.75,2.375,0.875,4.5,13.75,14.375
39th,North Macedonia,2.5,3.25,1.75,2.125,3.125,2,12.75,12.25
40th,Gibraltar,1.75,1.25,4.25,3.25,1.875,2.125,12.375,12.75
41st,Latvia,1.5,3,2.625,2.5,2.375,2.75,12,13.25
42nd,Moldova,2.25,2.625,1.375,2.25,2.625,2.75,11.125,11.625
43rd,Albania,1.375,2.75,1.5,1.125,2,1.75,8.75,9.125
44th,Luxembourg,1.125,1.375,2,1.375,1.875,2.25,7.75,8.875
45th,Lithuania,2.5,0.833,1,1.25,1.5,1,7.083,5.583
46th,Faroe Islands,1.25,1.25,1.625,1.5,0.875,0.25,6.5,5.5
47th,Armenia,0.75,1.625,1.125,0.375,1.75,0.375,5.625,5.25
48th,Montenegro,0.875,0.75,0.25,0.875,1,1.667,3.75,4.542
49th,Kosovo,0.5,0,1.5,0.333,1.167,0.667,3.5,3.667
50th,Estonia,0.667,0.125,0.167,1,0,1,1.958,2.292
51st,San Marino,0,0,0.5,0,0,0,0.5,0.5
52nd,Liechtenstein,0,0.5,0,0,0,1,0.5,1.5
53rd,Malta,0,0,0.333,0,0,0.167,0.333,0.5
54th,Andorra,0,0,0.167,0,0,0,0.167,0.167
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
