Pos,Nation,33/34,34/35,35/36,36/37,37/38,38/39,Coef. 38/39,Coef. 39/40
1st,England,24.5,27.125,27.875,25.25,27.5,25.444,132.25,133.194
2nd,Germany,18.5,22.571,21.5,24.5,20.944,21.714,108.016,111.23
3rd,Italy,19.812,21.5,21.643,20.438,21.571,21.889,104.964,107.041
4th,Spain,21.143,21.429,16.571,21.714,17.714,19.714,98.571,97.143
5th,France,21.286,19.286,18.929,19.429,17.714,19,96.643,94.357
6th,Portugal,12.5,16.167,12.667,15.083,13.667,12.917,70.083,70.5
7th,Belgium,15.8,12.2,11.5,10.5,13.1,14.2,63.1,61.5
8th,Scotland,14.9,8.3,12.3,13.4,10.1,16.7,59,60.8
9th,Netherlands,16.1,10.3,11.5,9.7,9.2,9,56.8,49.7
10th,Denmark,12.5,8,13.3,15.5,6,5.1,55.3,47.9
11th,Türkiye,9.7,11,12.1,8.4,12.8,11.7,54,56
12th,Greece,11,11.3,13.5,8.4,5.9,9.3,50.1,48.4
13th,Austria,7.3,12.875,11.2,7.2,10.9,7.7,49.475,49.875
14th,Serbia,4.8,5.9,10.25,9.625,9.75,5.5,40.325,41.025
15th,Bulgaria,9.875,9.125,7.625,4.875,6.6,7,38.1,35.225
16th,Israel,11,6.375,6.875,8.75,4.875,7.5,37.875,34.375
17th,Romania,3.75,7,7.25,7.375,12.25,5,37.625,38.875
18th,Croatia,10.5,8,6.5,4.6,6.8,5.8,36.4,31.7
19th,Czechia,3.5,5.875,5.75,7.5,11.125,6.875,33.75,37.125
20th,Ukraine,3.625,6.75,5.5,7.375,7.25,6.75,30.5,33.625
21st,Switzerland,5.6,5.7,5.3,7.2,6.5,8,30.3,32.7
22nd,Norway,3.125,5,7.125,6,7.5,10,28.75,35.625
23rd,Poland,8.75,6.375,5,3.5,4.875,6.375,28.5,26.125
24th,Cyprus,3.75,6.125,5.125,9.625,2.25,4.75,26.875,27.875
25th,Hungary,2.875,3.875,5,4.375,7.625,5,23.75,25.875
26th,Slovakia,4.875,6.875,2.875,2.625,6.25,4.375,23.5,23
27th,Sweden,3.875,2.375,5.125,6.625,5,7.25,23,26.375
28th,Azerbaijan,3.125,5.125,4.375,5.25,4.5,3,22.375,22.25
29th,Kazakhstan,3.25,5.125,5.125,4,3.375,5.875,20.875,23.5
30th,Northern Ireland,4.25,2.75,4.125,4.5,4,1.875,19.625,17.25
31st,Belarus,4,4.375,5.125,2.625,2.375,1.875,18.5,16.375
32nd,Republic of Ireland,3.125,5,3,4.25,3,4.875,18.375,20.125
33rd,Slovenia,4,4.875,1.75,3.5,3.125,4.75,17.25,18
34th,Iceland,4,2.5,2.75,3.75,3.625,3.125,16.625,15.75
35th,Bosnia and Herzegovina,3.5,2.25,2.25,3.875,4.5,2.375,16.375,15.25
36th,Georgia,4,2.5,3.875,2.875,3,3.25,16.25,15.5
37th,Finland,3.375,3,2.5,1.875,4,2.875,14.75,14.25
38th,Latvia,2.25,4.875,2.25,2.25,2.625,1.25,14.25,13.25
39th,Moldova,4.125,2.25,3.375,2.25,1.875,2.5,13.875,12.25
40th,Wales,2,3.25,2.25,1.25,3.25,4.125,12,14.125
41st,Gibraltar,2,1.5,2,2.75,1.125,2.375,9.375,9.75
42nd,Armenia,1,2.5,2.75,1.125,1.875,1.25,9.25,9.5
43rd,North Macedonia,2,1.125,2.625,2.125,1.375,1.875,9.25,9.125
44th,Faroe Islands,2.125,2,1,1.875,2,1.375,9,8.25
45th,Luxembourg,2.25,1.5,2.125,1.25,1.125,0.75,8.25,6.75
46th,Montenegro,1,2.125,0.625,2,1.625,1.125,7.375,7.5
47th,Albania,1.375,1.125,1.875,1.75,0.75,1.75,6.875,7.25
48th,Liechtenstein,2.5,0.5,0,1,1,1.5,5,4
49th,Lithuania,1,0.625,0.875,0.5,0.75,0.625,3.75,3.375
50th,Estonia,0.667,1.167,0,0.833,0.667,0.667,3.333,3.333
51st,Kosovo,0.333,0.5,0.333,0.167,1.5,0.167,2.833,2.667
52nd,San Marino,0,0.333,0,0.167,0,0.667,0.5,1.167
53rd,Malta,0.167,0.167,0.167,0,0,0.667,0.5,1
54th,Andorra,0,0,0.333,0,0,0,0.333,0.333
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
