Pos,Nation,56/57,57/58,58/59,59/60,60/61,61/62,Coef. 61/62,Coef. 62/63
1st,England,24.188,27.5,24.312,26.75,27.625,26.625,130.375,132.812
2nd,Germany,21.929,24.786,24.25,22.438,20.125,21,113.527,112.598
3rd,Spain,23,21.375,21.786,22,21.286,20.625,109.446,107.071
4th,Italy,22.5,22.429,22.5,18.071,20.857,24.714,106.357,108.571
5th,France,18.286,13.786,19.214,16.929,17.5,17.571,85.714,85
6th,Portugal,16.333,15.5,9.5,18.167,17.333,13.917,76.833,74.417
7th,Netherlands,10.5,11.1,12.3,12.9,12.9,7.9,59.7,57.1
8th,Türkiye,9.3,11,12.7,10.6,12,13.4,55.6,59.7
9th,Czechia,7.875,8.75,15.625,14.625,8,7.6,54.875,54.6
10th,Austria,11.9,5.9,10.9,14.6,9.6,12.2,52.9,53.2
11th,Scotland,9,9.1,8.9,10.9,10.3,11.5,48.2,50.7
12th,Belgium,10.1,7.3,6.6,10,13,13.375,47,50.275
13th,Denmark,7.6,9.3,9,11,9.6,5.9,46.5,44.8
14th,Greece,9.7,5.8,8.3,11.6,9.7,7.9,45.1,43.3
15th,Israel,12.375,5.9,8.5,8.2,9,6.7,43.975,38.3
16th,Bulgaria,11.5,8.625,8.125,8.625,6.625,11.3,43.5,43.3
17th,Ukraine,8.125,8.125,7.125,5.375,11,9.75,39.75,41.375
18th,Croatia,8.5,10.4,7.2,5,6.6,14,37.7,43.2
19th,Republic of Ireland,7.625,12.125,3.875,4,7.875,4.625,35.5,32.5
20th,Switzerland,4.75,10.75,9.375,5.625,4,5.5,34.5,35.25
21st,Serbia,4.375,8.875,4.75,6.875,3.875,2.5,28.75,26.875
22nd,Romania,7.125,4.625,8.375,4.125,3.625,12.25,27.875,33
23rd,Sweden,6.625,6.875,5.875,2.875,4.5,4,26.75,24.125
24th,Slovenia,4.75,5.25,5,5,6.375,4.25,26.375,25.875
25th,Hungary,8.375,7.5,2.625,3.5,4.25,4.5,26.25,22.375
26th,Norway,4.5,6,4.375,5.375,5.75,3.5,26,25
27th,Northern Ireland,3.125,3.75,6.625,3.625,7,4.875,24.125,25.875
28th,Finland,2.875,4.25,5.125,3.625,6.75,2.75,22.625,22.5
29th,Wales,4.375,1.875,7,3.375,4.25,1.125,20.875,17.625
30th,Poland,4.625,3,5.625,2.375,5,7.875,20.625,23.875
31st,Gibraltar,4.875,3.125,3,5.375,3.375,3.125,19.75,18
32nd,Cyprus,3.625,3.25,2.25,5.625,4.75,3.625,19.5,19.5
33rd,Slovakia,3.75,2.5,4.75,3.5,3.875,4.5,18.375,19.125
34th,Bosnia and Herzegovina,4,2.5,3.375,5,1,2.125,15.875,14
35th,Latvia,1.5,1.125,4,4.375,3.875,1.375,14.875,14.75
36th,Kazakhstan,2.875,3.625,3.375,2.875,1.125,3.375,13.875,14.375
37th,Belarus,3.125,4.625,2.125,1.25,2.5,2.625,13.625,13.125
38th,Iceland,1.375,4.25,0.875,3.875,2.25,3.125,12.625,14.375
39th,Georgia,2.875,1.875,3.125,2.375,1.875,3,12.125,12.25
40th,Azerbaijan,1.875,5.125,1.5,1.25,2.25,3,12,13.125
41st,Moldova,2,1.25,1.875,2.375,2.75,3,10.25,11.25
42nd,North Macedonia,1.625,2.875,2.25,0.875,2.125,1.5,9.75,9.625
43rd,Armenia,2.5,2.25,1.375,1.625,1.875,1.125,9.625,8.25
44th,Albania,1.875,1.125,2.375,1.75,1.625,2.75,8.75,9.625
45th,Luxembourg,2.125,1.625,1.875,1.625,1,1.875,8.25,8
46th,Montenegro,1.75,2.375,1.5,0.375,0.875,1.125,6.875,6.25
47th,Faroe Islands,0.875,1.125,1.375,1.375,1.375,0.875,6.125,6.125
48th,Lithuania,0.875,1.125,1,0.25,1,0.875,4.25,4.25
49th,Liechtenstein,0.5,1,0,0,2,0,3.5,3
50th,Kosovo,0.333,0.667,0,0.667,0.333,0.167,2,1.833
51st,Estonia,0,0.167,0.667,0.167,1,0.5,2,2.5
52nd,Malta,0.167,0,0,0.833,0.167,0,1.167,1
53rd,San Marino,0,0.667,0,0,0,0,0.667,0.667
54th,Andorra,0,0,0,0.167,0,0,0.167,0.167
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
