Pos,Nation,62/63,63/64,64/65,65/66,66/67,67/68,Coef. 67/68,Coef. 68/69
1st,England,30.625,26.5,24.722,27.562,29,23.625,138.41,131.41
2nd,Germany,23.786,21.25,25.429,20.438,22.786,24.562,113.688,114.464
3rd,Spain,20.857,18.286,22.286,23,21.438,23.571,105.866,108.58
4th,Italy,18.062,22.214,19.812,19.429,17.143,22,96.661,100.598
5th,France,15.071,17.786,16.5,16.429,17.643,12.5,83.429,80.857
6th,Portugal,16.167,13.083,13.167,14,10.667,12.583,67.083,63.5
7th,Netherlands,9.1,15.1,16,13.3,11.3,10,64.8,65.7
8th,Belgium,10.1,16.3,12.5,11,9.5,9.8,59.4,59.1
9th,Scotland,9.333,10,15.8,12.1,11,19.1,58.233,68
10th,Czechia,11.8,7.8,4.8,11.9,19.375,12.5,55.675,56.375
11th,Austria,9.8,12.4,7.5,10.7,12.3,11.9,52.7,54.8
12th,Türkiye,5.9,8.2,8.4,12.3,13,8.3,47.8,50.2
13th,Croatia,6,8.125,11.125,10.75,10.1,7.1,46.1,47.2
14th,Bulgaria,9.25,8,9.6,10.3,8.5,8.2,45.65,44.6
15th,Greece,10.9,6.7,6.9,9.8,6.7,7.3,41,37.4
16th,Denmark,10.7,9.2,6.2,6,8,8.25,40.1,37.65
17th,Switzerland,7.75,5.625,8,7.5,6.625,5.625,35.5,33.375
18th,Serbia,7,9.75,6.75,7.75,4,12,35.25,40.25
19th,Israel,8.9,4.75,5.875,9,4.5,3.375,33.025,27.5
20th,Ukraine,9.25,6.375,6.875,3.75,6.7,9.375,32.95,33.075
21st,Republic of Ireland,10.75,2.875,4.75,8.125,6.25,8.625,32.75,30.625
22nd,Romania,5.5,10,4.125,5.5,6.625,7.25,31.75,33.5
23rd,Norway,6.75,4.75,3.5,4.375,8.5,3.125,27.875,24.25
24th,Northern Ireland,5,6.125,7.75,4.875,3.25,6.125,27,28.125
25th,Slovenia,1.5,5.5,4,5.75,7.125,3.5,23.875,25.875
26th,Sweden,6.375,3.625,8.125,2.5,3.125,8.125,23.75,25.5
27th,Poland,4.625,6,5.625,2.375,4,4.5,22.625,22.5
28th,Georgia,3,5,2.125,5.375,6.25,2.25,21.75,21
29th,Gibraltar,4.625,3.625,3,4.5,4.25,4,20,19.375
30th,Finland,3.75,2.875,5.875,3.625,3.625,6.25,19.75,22.25
31st,Hungary,4.5,4.125,3.375,2.75,4.75,1.625,19.5,16.625
32nd,Bosnia and Herzegovina,2.875,1.625,5.25,3,3.25,5,16,18.125
33rd,Slovakia,4.125,3,3,2.5,3.125,2.875,15.75,14.5
34th,Latvia,1.5,1.625,3,5.25,4.25,2.625,15.625,16.75
35th,Wales,3.75,2.375,2.875,4.75,1.625,2.75,15.375,14.375
36th,Cyprus,2.25,1.5,4.25,3.25,3.875,3.5,15.125,16.375
37th,Kazakhstan,4,2.875,1.5,1.25,2.75,3.125,12.375,11.5
38th,Moldova,1.375,3,3.75,1.75,2.5,1.875,12.375,12.875
39th,Liechtenstein,2.5,2,2.5,2.5,2.5,1,12,10.5
40th,Iceland,1.5,1.75,2.75,2.125,3.625,2.125,11.75,12.375
41st,Azerbaijan,3.75,2.625,2.75,1,1.5,2.625,11.625,10.5
42nd,North Macedonia,1.25,2.75,1.875,2.25,1.625,1.875,9.75,10.375
43rd,Belarus,1.25,1.25,2.125,2.375,2,5,9,12.75
44th,Albania,1.75,1.25,3.25,1.375,1.125,2,8.75,9
45th,Armenia,2.25,2.75,1.25,1.125,1,1.75,8.375,7.875
46th,Faroe Islands,1.75,1.75,0.75,1.75,2.25,0.75,8.25,7.25
47th,Luxembourg,1.5,1.875,1.5,1.625,1.625,1.75,8.125,8.375
48th,Montenegro,0.625,1.25,0.75,1.625,1.375,1.125,5.625,6.125
49th,Lithuania,2,0.5,0.75,1.25,0.75,0.375,5.25,3.625
50th,Estonia,0.167,0.167,1.167,1,1.5,0.167,4,4
51st,Kosovo,0.667,0.667,0.333,0.167,1,0.333,2.833,2.5
52nd,Malta,0,0,0,0,0,0.167,0,0.167
53rd,Andorra,0,0,0,0,0,0,0,0
54th,San Marino,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
