Pos,Nation,38/39,39/40,40/41,41/42,42/43,43/44,Coef. 43/44,Coef. 44/45
1st,England,25.444,24.111,25.444,23.556,25.625,27.812,124.181,126.549
2nd,Italy,21.889,21.25,24.429,18.625,22.143,20.429,108.335,106.875
3rd,Germany,21.714,24.429,19.5,18.857,23.714,21.312,108.214,107.812
4th,Spain,19.714,18,18.214,21.571,20.125,20.429,97.625,98.339
5th,France,19,17.857,21,18.571,19.357,19.357,95.786,96.143
6th,Portugal,12.917,11.583,17,14.583,13,12,69.083,68.167
7th,Scotland,16.7,10.6,9.7,15.9,9.6,10.5,62.5,56.3
8th,Belgium,14.2,11.4,12.2,7.5,12.4,11.7,57.7,55.2
9th,Austria,7.7,12.2,8.8,15.5,10.6,9.5,54.8,56.6
10th,Netherlands,9,7.4,10.4,14.9,12.9,15.7,54.6,61.3
11th,Türkiye,11.7,14.9,6,14.6,7,11.2,54.2,53.7
12th,Greece,9.3,8.5,14.4,10,8.3,7.8,50.5,49
13th,Denmark,5.1,11.1,10.7,8.9,11.1,10.5,46.9,52.3
14th,Bulgaria,7,5.7,13.5,7.25,10.75,6.3,44.2,43.5
15th,Switzerland,8,10.25,6.75,6.375,10.25,6,41.625,39.625
16th,Croatia,5.8,10.125,10.75,6.625,7.625,7.5,40.925,42.625
17th,Serbia,5.5,8.7,8,6.8,10.1,9.25,39.1,42.85
18th,Ukraine,6.75,7.25,5.5,9.625,6.875,9.75,36,39
19th,Czechia,6.875,9.625,4.625,7.4,5.7,5.75,34.225,33.1
20th,Israel,7.5,4.875,4.5,8.25,7,4.375,32.125,29
21st,Norway,10,7.25,5.5,5.125,4.125,7.25,32,29.25
22nd,Poland,6.375,7.875,4,5.875,7.625,2.25,31.75,27.625
23rd,Hungary,5,3.25,4.25,7,7,5.625,26.5,27.125
24th,Slovenia,4.75,8.75,3.75,5.125,3.875,8,26.25,29.5
25th,Romania,5,8.125,5.6,2.25,3.125,4.625,24.1,23.725
26th,Sweden,7.25,4.75,3.25,4.875,3.375,8.5,23.5,24.75
27th,Republic of Ireland,4.875,2.625,4.25,3.875,7,8.875,22.625,26.625
28th,Azerbaijan,3,3.625,4.125,5.25,4.75,3.25,20.75,21
29th,Finland,2.875,4.125,4,4.375,4.75,2.5,20.125,19.75
30th,Kazakhstan,5.875,2.375,4.25,3.75,3.5,2.625,19.75,16.5
31st,Cyprus,4.75,3.5,4.875,3.125,3.25,4.75,19.5,19.5
32nd,Wales,4.125,3.5,3.375,3.875,2.875,3.75,17.75,17.375
33rd,Bosnia and Herzegovina,2.375,4,3.25,4.375,2.875,2.75,16.875,17.25
34th,Northern Ireland,1.875,3.875,4,2.25,4.625,3.25,16.625,18
35th,Iceland,3.125,2.125,3.625,2.75,4.625,1.875,16.25,15
36th,Slovakia,4.375,3.625,2,3.875,2.375,4,16.25,15.875
37th,Georgia,3.25,1.375,3,2.875,2.375,3.75,12.875,13.375
38th,Belarus,1.875,1.875,3.75,2.75,1.875,2.75,12.125,13
39th,Gibraltar,2.375,3.125,3.625,1.75,1.25,4.25,12.125,14
40th,Moldova,2.5,2.125,1.25,2.25,2.625,1.375,10.75,9.625
41st,North Macedonia,1.875,1.625,1.25,2.5,3.25,1.75,10.5,10.375
42nd,Latvia,1.25,2.75,1.75,1.5,3,2.625,10.25,11.625
43rd,Albania,1.75,1.75,2.5,1.375,2.75,1.5,10.125,9.875
44th,Faroe Islands,1.375,1.625,2.25,1.25,1.25,1.625,7.75,8
45th,Luxembourg,0.75,2.25,1.75,1.125,1.375,2,7.25,8.5
46th,Lithuania,0.625,1.375,1.25,2.5,0.833,1,6.583,6.958
47th,Armenia,1.25,1.875,0.875,0.75,1.625,1.125,6.375,6.25
48th,Montenegro,1.125,0.375,0.875,0.875,0.75,0.25,4,3.125
49th,Estonia,0.667,0.5,1.833,0.667,0.125,0.167,3.792,3.292
50th,Liechtenstein,1.5,0.5,0.5,0,0.5,0,3,1.5
51st,Kosovo,0.167,0,0.833,0.5,0,1.5,1.5,2.833
52nd,Malta,0.667,0.167,0,0,0,0.333,0.833,0.5
53rd,San Marino,0.667,0,0,0,0,0.5,0.667,0.5
54th,Andorra,0,0,0.333,0,0,0.167,0.333,0.5
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
