Pos,Nation,37/38,38/39,39/40,40/41,41/42,42/43,Coef. 42/43,Coef. 43/44
1st,England,27.5,25.444,24.111,25.444,23.556,25.625,126.056,124.181
2nd,Italy,21.571,21.889,21.25,24.429,18.625,22,107.764,108.192
3rd,Germany,20.944,21.714,24.429,19.5,18.857,23.714,105.444,108.214
4th,Spain,17.714,19.714,18,18.214,21.571,19.75,95.214,97.25
5th,France,17.714,19,17.857,21,18.571,19.357,94.143,95.786
6th,Portugal,13.667,12.917,11.583,17,14.583,13,69.75,69.083
7th,Scotland,10.1,16.7,10.6,9.7,15.9,9.6,63,62.5
8th,Türkiye,12.8,11.7,14.9,6,14.6,7,60,54.2
9th,Belgium,13.1,14.2,11.4,12.2,7.5,12.4,58.4,57.7
10th,Austria,10.9,7.7,12.2,8.8,15.5,10.6,55.1,54.8
11th,Netherlands,9.2,9,7.4,10.4,14.9,12.9,50.9,54.6
12th,Greece,5.9,9.3,8.5,14.4,10,8.3,48.1,50.5
13th,Denmark,6,5.1,11.1,10.7,8.9,11.1,41.8,46.9
14th,Croatia,6.8,5.8,10.125,10.75,6.625,7.625,40.1,40.925
15th,Bulgaria,6.6,7,5.7,13.5,7.25,10.75,40.05,44.2
16th,Czechia,11.125,6.875,9.625,4.625,7.4,5.7,39.65,34.225
17th,Serbia,9.75,5.5,8.7,8,6.8,10.1,38.75,39.1
18th,Switzerland,6.5,8,10.25,6.75,6.375,10.25,37.875,41.625
19th,Ukraine,7.25,6.75,7.25,5.5,9.625,6.875,36.375,36
20th,Norway,7.5,10,7.25,5.5,5.125,4.125,35.375,32
21st,Romania,12.25,5,8.125,5.6,2.25,3.125,33.225,24.1
22nd,Israel,4.875,7.5,4.875,4.5,8.25,7,30,32.125
23rd,Poland,4.875,6.375,7.875,4,5.875,7.625,29,31.75
24th,Hungary,7.625,5,3.25,4.25,7,7,27.125,26.5
25th,Slovenia,3.125,4.75,8.75,3.75,5.125,3.875,25.5,26.25
26th,Sweden,5,7.25,4.75,3.25,4.875,3.375,25.125,23.5
27th,Azerbaijan,4.5,3,3.625,4.125,5.25,4.75,20.5,20.75
28th,Slovakia,6.25,4.375,3.625,2,3.875,2.375,20.125,16.25
29th,Kazakhstan,3.375,5.875,2.375,4.25,3.75,3.5,19.625,19.75
30th,Finland,4,2.875,4.125,4,4.375,4.75,19.375,20.125
31st,Republic of Ireland,3,4.875,2.625,4.25,3.875,7,18.625,22.625
32nd,Bosnia and Herzegovina,4.5,2.375,4,3.25,4.375,2.875,18.5,16.875
33rd,Cyprus,2.25,4.75,3.5,4.875,3.125,3.25,18.5,19.5
34th,Wales,3.25,4.125,3.5,3.375,3.875,2.875,18.125,17.75
35th,Northern Ireland,4,1.875,3.875,4,2.25,4.625,16,16.625
36th,Iceland,3.625,3.125,2.125,3.625,2.75,4.625,15.25,16.25
37th,Georgia,3,3.25,1.375,3,2.875,2.375,13.5,12.875
38th,Belarus,2.375,1.875,1.875,3.75,2.75,1.875,12.625,12.125
39th,Gibraltar,1.125,2.375,3.125,3.625,1.75,1.25,12,12.125
40th,Moldova,1.875,2.5,2.125,1.25,2.25,2.625,10,10.75
41st,Latvia,2.625,1.25,2.75,1.75,1.5,3,9.875,10.25
42nd,North Macedonia,1.375,1.875,1.625,1.25,2.5,3.25,8.625,10.5
43rd,Faroe Islands,2,1.375,1.625,2.25,1.25,1.25,8.5,7.75
44th,Albania,0.75,1.75,1.75,2.5,1.375,2.75,8.125,10.125
45th,Luxembourg,1.125,0.75,2.25,1.75,1.125,1.375,7,7.25
46th,Armenia,1.875,1.25,1.875,0.875,0.75,1.625,6.625,6.375
47th,Lithuania,0.75,0.625,1.375,1.25,2.5,0.833,6.5,6.583
48th,Montenegro,1.625,1.125,0.375,0.875,0.875,0.75,4.875,4
49th,Estonia,0.667,0.667,0.5,1.833,0.667,0.125,4.333,3.792
50th,Liechtenstein,1,1.5,0.5,0.5,0,0.5,3.5,3
51st,Kosovo,1.5,0.167,0,0.833,0.5,0,3,1.5
52nd,Malta,0,0.667,0.167,0,0,0,0.833,0.833
53rd,San Marino,0,0.667,0,0,0,0,0.667,0.667
54th,Andorra,0,0,0,0.333,0,0,0.333,0.333
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
