Pos,Nation,45/46,46/47,47/48,48/49,49/50,50/51,Coef. 50/51,Coef. 51/52
1st,England,23.312,22.714,25,23.25,22.625,23.062,116.902,116.652
2nd,Germany,24.5,22.5,20,24.143,24.188,22.562,115.33,113.393
3rd,Spain,24.429,22.125,23.857,20.062,20,23.429,110.473,109.473
4th,Italy,23.714,20.429,18.357,22.143,17.214,22.357,101.857,100.5
5th,France,18.214,20.714,18.75,19.571,16.188,19.312,93.438,94.536
6th,Portugal,14.5,11,14.75,14.667,18.583,16.167,73.5,75.167
7th,Greece,11.8,13.9,13.6,10.3,9.7,7.7,59.3,55.2
8th,Austria,9.1,12.5,12.6,13.5,10.7,11.9,58.4,61.2
9th,Netherlands,9.3,11.6,14.9,11.4,10.5,12.5,57.7,60.9
10th,Scotland,8.6,11.7,8.8,15.6,11.917,10.3,56.617,58.317
11th,Türkiye,11.4,11.2,15,9.1,9.5,13,56.2,57.8
12th,Belgium,12,16.9,10.1,8.5,8.2,6.1,55.7,49.8
13th,Denmark,6.8,4.8,10.5,13,11.4,14.5,46.5,54.2
14th,Croatia,8,11.625,10,6.6,9.1,4.7,45.325,42.025
15th,Bulgaria,9.3,5.5,6.6,9.875,9,11.5,40.275,42.475
16th,Serbia,3.9,3.375,9,10.25,13.25,7.375,39.775,43.25
17th,Norway,10.375,5.5,6.5,8.125,8.375,4,38.875,32.5
18th,Ukraine,6.125,8,6.9,4.7,12,7.5,37.725,39.1
19th,Republic of Ireland,5.75,7,5,7.125,8,4.5,32.875,31.625
20th,Poland,7.625,7.125,6.25,6.25,5.625,4.625,32.875,29.875
21st,Switzerland,8,4.5,7.125,6,5.25,8.25,30.875,31.125
22nd,Czechia,5.25,4.75,3.25,7.875,8.5,5.875,29.625,30.25
23rd,Romania,7.125,3.875,6.625,6.625,5,3.5,29.25,25.625
24th,Sweden,3.375,10.375,4.625,4.5,4,8,26.875,31.5
25th,Israel,8.25,6,3.5,4.625,3.125,6.25,25.5,23.5
26th,Slovakia,4.5,7.75,2.875,3.75,3.875,5.375,22.75,23.625
27th,Finland,3.5,3.5,2.875,4.625,5,5.25,19.5,21.25
28th,Northern Ireland,4,4,5.25,2.75,3.25,4.875,19.25,20.125
29th,Belarus,5.125,6.375,2.5,2,2.75,3,18.75,16.625
30th,Bosnia and Herzegovina,3.25,3.375,4.25,2.25,4.375,2.625,17.5,16.875
31st,Hungary,5,3,2.375,3.125,3.5,3.875,17,15.875
32nd,Cyprus,2.25,2,3.625,2.75,5.625,3.25,16.25,17.25
33rd,Iceland,4.375,3.125,3,2.25,2.875,1.25,15.625,12.5
34th,Georgia,3.875,2.5,3.5,3.25,2.375,2.875,15.5,14.5
35th,Slovenia,1.875,3.125,3.625,3.125,3.625,3.875,15.375,17.375
36th,Azerbaijan,3.25,4.625,1.875,2.75,2.75,2.625,15.25,14.625
37th,Kazakhstan,2.375,2.5,4.25,3.125,2.75,3.5,15,16.125
38th,Gibraltar,1.875,2.125,3,3.375,3.5,2.625,13.875,14.625
39th,Wales,0.875,4.5,2.625,2.625,2.375,3.75,13,15.875
40th,Moldova,2.625,2.75,2.875,2.125,2.375,2.375,12.75,12.5
41st,North Macedonia,3.125,2,2.25,2.875,1.625,1.375,11.875,10.125
42nd,Latvia,2.375,2.75,3,2.125,1.25,2.25,11.5,11.375
43rd,Albania,2,1.75,1.5,1.625,1.75,1.125,8.625,7.75
44th,Luxembourg,1.875,2.25,1,1.25,1.625,0.75,8,6.875
45th,Armenia,1.75,0.375,1.75,1.75,1.75,1.375,7.375,7
46th,Faroe Islands,0.875,0.25,1.375,2.375,1.5,2.375,6.375,7.875
47th,Montenegro,1,1.667,0.625,0.875,1.25,0.75,5.417,5.167
48th,Lithuania,1.5,1,1.125,0.375,0.75,0.375,4.75,3.625
49th,Kosovo,1.167,0.667,0.167,0.5,0.667,0.5,3.167,2.5
50th,Estonia,0,1,0.667,0.5,0.667,0.833,2.833,3.667
51st,Liechtenstein,0,1,0,1,0,0.5,2,2.5
52nd,Malta,0,0.167,0.167,1.167,0.167,0,1.667,1.667
53rd,San Marino,0,0,0,0,0,0,0,0
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
