Pos,Nation,51/52,52/53,53/54,54/55,55/56,56/57,Coef. 56/57,Coef. 57/58
1st,England,21.722,26.571,29.125,24.125,27.125,24.188,128.669,131.134
2nd,Germany,22.429,23.438,23.143,19.312,17.571,21.929,105.893,105.393
3rd,Spain,23.5,19.222,18.214,20.857,22.429,23,104.222,103.722
4th,Italy,16.5,25.857,20.375,21.571,19.5,22.5,103.804,109.804
5th,France,17.357,15.714,15.214,14.286,22.786,18.286,85.357,86.286
6th,Portugal,11.417,15.667,16.75,13.5,17.25,16.333,74.583,79.5
7th,Netherlands,14,10.5,12.9,15.8,14.7,10.5,67.9,64.4
8th,Greece,11.2,15.5,12.8,13.3,7.9,9.7,60.7,59.2
9th,Türkiye,12.1,6.7,10.6,18.2,8.1,9.3,55.7,52.9
10th,Croatia,7.7,9.5,12.375,15.25,8.7,8.5,53.525,54.325
11th,Scotland,8.8,10.1,13,7.2,13.6,9,52.7,52.9
12th,Belgium,14.6,9.8,10.3,9.5,7.8,10.1,52,47.5
13th,Austria,9.2,8.9,10.3,11.3,7.7,11.9,47.4,50.1
14th,Israel,3.625,11.25,10.5,7.875,13.125,12.375,46.375,55.125
15th,Denmark,8.1,7.4,11.8,8.1,9.8,7.6,45.2,44.7
16th,Czechia,13.125,8,3.625,4.125,11.625,7.875,40.5,35.25
17th,Bulgaria,8.9,6.4,8.9,4.8,7.6,11.5,36.6,39.2
18th,Norway,6.75,11.5,5.375,7.375,4.875,4.5,35.875,33.625
19th,Republic of Ireland,5.25,7.75,5.75,9.5,6.625,7.625,34.875,37.25
20th,Switzerland,10.875,8.375,3.75,5.625,5.5,4.75,34.125,28
21st,Sweden,5.625,3.25,7.625,9.875,6.75,6.625,33.125,34.125
22nd,Ukraine,6.375,5.875,10.5,3.625,6.625,8.125,33,34.75
23rd,Serbia,6.625,6.4,5.6,7.6,6.25,4.375,32.475,30.225
24th,Romania,6.625,5.375,3.125,6,6.75,7.125,27.875,28.375
25th,Poland,9.375,3.5,5.125,5.375,3.25,4.625,26.625,21.875
26th,Northern Ireland,3.25,4.75,3.375,9.125,3.375,3.125,23.875,23.75
27th,Hungary,5.75,4.5,3.75,4.5,4.25,8.375,22.75,25.375
28th,Slovakia,5.5,3.5,4.625,5.625,2.875,3.75,22.125,20.375
29th,Slovenia,5.5,3.5,6,3.375,3.625,4.75,22,21.25
30th,Gibraltar,4.125,2.25,2.75,5.25,4.625,4.875,19,19.75
31st,Georgia,3,4.5,3.875,3.125,4,2.875,18.5,18.375
32nd,Bosnia and Herzegovina,3.5,2.5,3.375,2.625,4.375,4,16.375,16.875
33rd,Kazakhstan,2.625,3.375,3.625,2.5,3.75,2.875,15.875,16.125
34th,Finland,2.625,3.375,2,4.75,3.125,2.875,15.875,16.125
35th,Wales,3.375,3.375,1.875,3.375,2.75,4.375,14.75,15.75
36th,Cyprus,4.625,2.625,1.875,3.375,1.75,3.625,14.25,13.25
37th,Azerbaijan,2.375,2.625,2.875,2.375,3.125,1.875,13.375,12.875
38th,Belarus,2.75,1.75,2.75,1.375,4.25,3.125,12.875,13.25
39th,Latvia,3.75,3,1.75,1.75,2.25,1.5,12.5,10.25
40th,Iceland,1.75,3.375,2.75,3.25,1,1.375,12.125,11.75
41st,Moldova,1,1.625,0.875,3.375,2.375,2,9.25,10.25
42nd,Armenia,1,1.625,2.25,2.5,1.5,2.5,8.875,10.375
43rd,North Macedonia,2,1.875,1.625,1.375,1.5,1.625,8.375,8
44th,Montenegro,2,1.75,1,1.125,1,1.75,6.875,6.625
45th,Faroe Islands,1.25,1.375,0.75,1.875,1.125,0.875,6.375,6
46th,Luxembourg,1.25,1.75,0.875,1.5,1,2.125,6.375,7.25
47th,Albania,0.875,1,1.75,0.875,1.75,1.875,6.25,7.25
48th,Lithuania,1.625,0.833,1.375,0.375,2,0.875,6.208,5.458
49th,Estonia,0.5,0.75,0.5,0.667,1,0,3.417,2.917
50th,Liechtenstein,1,0,0.5,1,0,0.5,2.5,2
51st,Kosovo,1.167,0.167,0.167,0.167,0,0.333,1.667,0.833
52nd,Malta,0,0.167,0.5,0,0.833,0.167,1.5,1.667
53rd,San Marino,0,0,0.167,0,0,0,0.167,0.167
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
