Pos,Nation,46/47,47/48,48/49,49/50,50/51,51/52,Coef. 51/52,Coef. 52/53
1st,England,22.714,25,23.25,22.625,23.062,21.722,116.652,115.66
2nd,Germany,22.5,20,24.143,24.188,22.562,21.857,113.393,112.75
3rd,Spain,22.125,23.857,20.062,20,23.429,23.5,109.473,110.848
4th,Italy,20.429,18.357,22.143,17.214,22.357,16.5,100.5,96.571
5th,France,20.714,18.75,19.571,16.188,19.312,17.357,94.536,91.179
6th,Portugal,11,14.75,14.667,18.583,16.167,11.417,75.167,75.583
7th,Austria,12.5,12.6,13.5,10.7,11.9,9.2,61.2,57.9
8th,Netherlands,11.6,14.9,11.4,10.5,12.5,14,60.9,63.3
9th,Scotland,11.7,8.8,15.6,11.917,10.3,8.8,58.317,55.417
10th,Türkiye,11.2,15,9.1,9.5,13,12.1,57.8,58.7
11th,Greece,13.9,13.6,10.3,9.7,7.7,11.2,55.2,52.5
12th,Denmark,4.8,10.5,13,11.4,14.5,8.1,54.2,57.5
13th,Belgium,16.9,10.1,8.5,8.2,6.1,14.6,49.8,47.5
14th,Serbia,3.375,9,10.25,13.25,7.375,6.625,43.25,46.5
15th,Bulgaria,5.5,6.6,9.875,9,11.5,8.9,42.475,45.875
16th,Croatia,11.625,10,6.6,9.1,4.7,7.7,42.025,38.1
17th,Ukraine,8,6.9,4.7,12,7.5,6.375,39.1,37.475
18th,Norway,5.5,6.5,8.125,8.375,4,6.75,32.5,33.75
19th,Republic of Ireland,7,5,7.125,8,4.5,5.25,31.625,29.875
20th,Sweden,10.375,4.625,4.5,4,8,5.625,31.5,26.75
21st,Switzerland,4.5,7.125,6,5.25,8.25,10.875,31.125,37.5
22nd,Czechia,4.75,3.25,7.875,8.5,5.875,13.125,30.25,38.625
23rd,Poland,7.125,6.25,6.25,5.625,4.625,9.375,29.875,32.125
24th,Romania,3.875,6.625,6.625,5,3.5,6.625,25.625,28.375
25th,Slovakia,7.75,2.875,3.75,3.875,5.375,5.5,23.625,21.375
26th,Israel,6,3.5,4.625,3.125,6.25,3.625,23.5,21.125
27th,Finland,3.5,2.875,4.625,5,5.25,2.625,21.25,20.375
28th,Northern Ireland,4,5.25,2.75,3.25,4.875,3.25,20.125,19.375
29th,Slovenia,3.125,3.625,3.125,3.625,3.875,5.5,17.375,19.75
30th,Cyprus,2,3.625,2.75,5.625,3.25,4.625,17.25,19.875
31st,Bosnia and Herzegovina,3.375,4.25,2.25,4.375,2.625,3.5,16.875,17
32nd,Belarus,6.375,2.5,2,2.75,3,2.75,16.625,13
33rd,Kazakhstan,2.5,4.25,3.125,2.75,3.5,2.625,16.125,16.25
34th,Hungary,3,2.375,3.125,3.5,3.875,5.75,15.875,18.625
35th,Wales,4.5,2.625,2.625,2.375,3.75,3.375,15.875,14.75
36th,Gibraltar,2.125,3,3.375,3.5,2.625,4.125,14.625,16.625
37th,Azerbaijan,4.625,1.875,2.75,2.75,2.625,2.375,14.625,12.375
38th,Georgia,2.5,3.5,3.25,2.375,2.875,3,14.5,15
39th,Moldova,2.75,2.875,2.125,2.375,2.375,1,12.5,10.75
40th,Iceland,3.125,3,2.25,2.875,1.25,1.75,12.5,11.125
41st,Latvia,2.75,3,2.125,1.25,2.25,3.75,11.375,12.375
42nd,North Macedonia,2,2.25,2.875,1.625,1.375,2,10.125,10.125
43rd,Faroe Islands,0.25,1.375,2.375,1.5,2.375,1.25,7.875,8.875
44th,Albania,1.75,1.5,1.625,1.75,1.125,0.875,7.75,6.875
45th,Armenia,0.375,1.75,1.75,1.75,1.375,1,7,7.625
46th,Luxembourg,2.25,1,1.25,1.625,0.75,1.25,6.875,5.875
47th,Montenegro,1.667,0.625,0.875,1.25,0.75,2,5.167,5.5
48th,Estonia,1,0.667,0.5,0.667,0.833,0.5,3.667,3.167
49th,Lithuania,1,1.125,0.375,0.75,0.375,1.625,3.625,4.25
50th,Kosovo,0.667,0.167,0.5,0.667,0.5,1.167,2.5,3
51st,Liechtenstein,1,0,1,0,0.5,1,2.5,2.5
52nd,Malta,0.167,0.167,1.167,0.167,0,0,1.667,1.5
53rd,San Marino,0,0,0,0,0,0,0,0
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
