Pos,Nation,32/33,33/34,34/35,35/36,36/37,37/38,Coef. 37/38,Coef. 38/39
1st,England,28.5,24.5,27.125,27.875,25.25,27.5,133.25,132.25
2nd,Germany,21.143,18.5,22.571,21.5,24.5,20.944,108.214,108.016
3rd,Italy,22.286,19.812,21.5,21.643,20.438,21.571,105.679,104.964
4th,Spain,20,21.143,21.429,16.571,21.714,17.714,100.857,98.571
5th,France,16.643,21.286,19.286,18.929,19.429,17.714,95.571,96.643
6th,Portugal,10.5,12.5,16.167,12.667,15.083,13.667,66.917,70.083
7th,Scotland,11.2,14.9,8.3,12.3,13.4,10.1,60.1,59
8th,Belgium,9.6,15.8,12.2,11.5,10.5,13.1,59.6,63.1
9th,Netherlands,11.4,16.1,10.3,11.5,9.7,9.2,59,56.8
10th,Denmark,7.2,12.5,8,13.3,15.5,6,56.5,55.3
11th,Türkiye,13.2,9.7,11,12.1,8.4,12.8,54.4,54
12th,Greece,9.6,11,11.3,13.5,8.4,5.9,53.8,50.1
13th,Croatia,16.375,10.5,8,6.5,4.6,6.8,45.975,36.4
14th,Austria,5.9,7.3,12.875,11.2,7.2,10.9,44.475,49.475
15th,Bulgaria,10.25,9.875,9.125,7.625,4.875,6.6,41.75,38.1
16th,Serbia,10.2,4.8,5.9,10.25,9.625,9.75,40.775,40.325
17th,Israel,5.125,11,6.375,6.875,8.75,4.875,38.125,37.875
18th,Switzerland,11.125,5.6,5.7,5.3,7.2,6.5,34.925,30.3
19th,Romania,6.5,3.75,7,7.25,7.375,12.25,31.875,37.625
20th,Ukraine,6.625,3.625,6.75,5.5,7.375,7.25,29.875,30.5
21st,Cyprus,4.375,3.75,6.125,5.125,9.625,2.25,29,26.875
22nd,Norway,7.5,3.125,5,7.125,6,7.5,28.75,28.75
23rd,Sweden,10.625,3.875,2.375,5.125,6.625,5,28.625,23
24th,Poland,5,8.75,6.375,5,3.5,4.875,28.625,28.5
25th,Czechia,3,3.5,5.875,5.75,7.5,11.125,25.625,33.75
26th,Republic of Ireland,6.125,3.125,5,3,4.25,3,21.5,18.375
27th,Kazakhstan,3.5,3.25,5.125,5.125,4,3.375,21,20.875
28th,Hungary,4.25,2.875,3.875,5,4.375,7.625,20.375,23.75
29th,Slovenia,6.125,4,4.875,1.75,3.5,3.125,20.25,17.25
30th,Azerbaijan,2.25,3.125,5.125,4.375,5.25,4.5,20.125,22.375
31st,Slovakia,2.5,4.875,6.875,2.875,2.625,6.25,19.75,23.5
32nd,Northern Ireland,3,4.25,2.75,4.125,4.5,4,18.625,19.625
33rd,Belarus,2.125,4,4.375,5.125,2.625,2.375,18.25,18.5
34th,Iceland,3.75,4,2.5,2.75,3.75,3.625,16.75,16.625
35th,Bosnia and Herzegovina,4.375,3.5,2.25,2.25,3.875,4.5,16.25,16.375
36th,Latvia,4.625,2.25,4.875,2.25,2.25,2.625,16.25,14.25
37th,Georgia,2.625,4,2.5,3.875,2.875,3,15.875,16.25
38th,Moldova,2.875,4.125,2.25,3.375,2.25,1.875,14.875,13.875
39th,Finland,2.625,3.375,3,2.5,1.875,4,13.375,14.75
40th,Faroe Islands,4,2.125,2,1,1.875,2,11,9
41st,Wales,2,2,3.25,2.25,1.25,3.25,10.75,12
42nd,North Macedonia,2.125,2,1.125,2.625,2.125,1.375,10,9.25
43rd,Gibraltar,1.5,2,1.5,2,2.75,1.125,9.75,9.375
44th,Luxembourg,2,2.25,1.5,2.125,1.25,1.125,9.125,8.25
45th,Armenia,1.375,1,2.5,2.75,1.125,1.875,8.75,9.25
46th,Montenegro,1.5,1,2.125,0.625,2,1.625,7.25,7.375
47th,Albania,0.75,1.375,1.125,1.875,1.75,0.75,6.875,6.875
48th,Liechtenstein,0,2.5,0.5,0,1,1,4,5
49th,Lithuania,0.75,1,0.625,0.875,0.5,0.75,3.75,3.75
50th,Estonia,0.167,0.667,1.167,0,0.833,0.667,2.833,3.333
51st,Kosovo,0.5,0.333,0.5,0.333,0.167,1.5,1.833,2.833
52nd,San Marino,0,0,0.333,0,0.167,0,0.5,0.5
53rd,Malta,0,0.167,0.167,0.167,0,0,0.5,0.5
54th,Andorra,0,0,0,0.333,0,0,0.333,0.333
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
