Pos,Nation,24/25,25/26,26/27,27/28,28/29,29/30,Coef. 29/30,Coef. 30/31
1st,England,26.125,27.5,22.444,25.286,24.611,26.222,125.966,126.063
2nd,Spain,25.857,20.778,25.714,21.778,23.214,22.375,117.341,113.859
3rd,Italy,21.625,22.286,22.667,22,20.5,21.857,109.077,109.31
4th,Germany,19.714,20.286,17.714,17.5,21.929,19.214,97.143,96.643
5th,France,16.786,15.286,17.857,20.286,15.214,18.5,85.429,87.143
6th,Portugal,16.6,17.4,15.2,12.667,14.833,16.25,76.7,76.35
7th,Netherlands,13,13.5,11.417,16.8,16.1,9.1,70.817,66.917
8th,Denmark,12.75,12.875,11.1,11.5,13,11.3,61.225,59.775
9th,Greece,12,13.75,10.4,9.4,13.4,7.9,58.95,54.85
10th,Türkiye,14.2,5.4,14.9,11.5,9.9,4.7,55.9,46.4
11th,Scotland,9.9,7,11,14.5,10.1,13.7,52.5,56.3
12th,Croatia,5.625,12.625,12.5,7.5,10.5,6.6,48.75,49.725
13th,Serbia,5.9,8.6,7.625,9.25,11.125,10.25,42.5,46.85
14th,Czechia,7.4,10.75,9,9,5.7,8.1,41.85,42.55
15th,Austria,7.8,10.4,8,6.6,9,10.625,41.8,44.625
16th,Ukraine,5.6,8.2,10.625,7,6.6,8.1,38.025,40.525
17th,Belgium,6.7,7.9,8.3,6.3,7.9,11.2,37.1,41.6
18th,Switzerland,9.1,8.3,4.4,8.8,6.25,8.25,36.85,36
19th,Israel,9.875,8.375,5.1,6.25,6.75,5.25,36.35,31.725
20th,Norway,7.75,8,8.125,4.875,6.875,10.875,35.625,38.75
21st,Romania,6.5,5,3.375,11.75,4.75,5.875,31.375,30.75
22nd,Bulgaria,4,4.75,4,8.25,8.375,4.625,29.375,30
23rd,Sweden,8.625,2.875,6.125,3.25,7.625,3,28.5,22.875
24th,Poland,2.625,7,8.75,3,4.375,9.25,25.75,32.375
25th,Hungary,6.375,5.5,3.625,3.625,4.375,5,23.5,22.125
26th,Cyprus,5.625,5.25,3.5,3.75,3.5,3.125,21.625,19.125
27th,Kazakhstan,3.75,4.125,3.875,4.75,4.25,3.25,20.75,20.25
28th,Azerbaijan,3.625,4.25,4,5.5,3.125,3,20.5,19.875
29th,Slovenia,4.25,5,2.375,5,3.75,3.5,20.375,19.625
30th,Bosnia and Herzegovina,4.5,3.75,5.875,4.125,2,2.75,20.25,18.5
31st,Slovakia,1.875,3,5.125,3.5,4.875,4.125,18.375,20.625
32nd,Georgia,4.75,3.625,2.375,2.375,4.5,3.25,17.625,16.125
33rd,Finland,3.375,3.5,3.625,2.5,3.125,4.5,16.125,17.25
34th,Latvia,5.75,2.75,2.375,1.75,1.125,5.75,13.75,13.75
35th,Iceland,3.375,2.375,2.625,1.625,3.625,4.25,13.625,14.5
36th,Moldova,2.5,2.5,3.375,2.375,2.125,1.75,12.875,12.125
37th,Albania,2.25,3.125,1.25,3.375,2.5,0.75,12.5,11
38th,Belarus,2,2,3,2,3.375,2.125,12.375,12.5
39th,Northern Ireland,2.75,2.125,2.75,2.875,1.5,2.25,12,11.5
40th,Republic of Ireland,1.375,1.125,1,4.875,3.5,5.125,11.875,15.625
41st,Faroe Islands,2.75,1.5,1.75,2.625,1.875,1,10.5,8.75
42nd,North Macedonia,1.333,2.25,2.875,1.5,2.375,2.625,10.333,11.625
43rd,Armenia,1.25,1.375,3,3,1,0.875,9.625,9.25
44th,Wales,1.75,1.5,1,2.5,2.25,1.5,9,8.75
45th,Lithuania,1.75,2.25,1.5,2,1.25,1.375,8.75,8.375
46th,Gibraltar,1.167,0.833,2.167,1.667,1.125,1,6.958,6.792
47th,Luxembourg,1.5,2.125,1,1.25,0.75,2.5,6.625,7.625
48th,Estonia,1,1.5,0.75,0.625,1.333,0.875,5.208,5.083
49th,Montenegro,0,1,0.667,1,0.333,1.833,3,4.833
50th,Malta,0.875,0.75,0,0,1,0,2.625,1.75
51st,Kosovo,0.5,0,0.875,0,1.167,0.667,2.542,2.708
52nd,Liechtenstein,0.5,0,0.5,0,0,1.5,1,2
53rd,Andorra,0.333,0,0,0,0.167,0.333,0.5,0.5
54th,San Marino,0.5,0,0,0,0,0,0.5,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
