Pos,Nation,20/21,21/22,22/23,23/24,24/25,25/26,Coef. 25/26,Coef. 26/27
1st,England,24.357,21,23,24.5,26.125,27.5,118.982,122.125
2nd,Spain,19.5,18.428,16.571,16.25,25.857,20.778,96.606,97.884
3rd,Italy,16.285,15.714,22.357,17.571,21.625,22.286,93.552,99.553
4th,Germany,15.214,16.214,17.125,14.357,19.714,20.286,82.624,87.696
5th,France,7.916,18.416,12.583,17.167,16.786,15.286,72.867,80.237
6th,Netherlands,9.2,19.2,13.5,10.8,13,13.5,65.7,70
7th,Portugal,9.6,12.916,12.5,13.833,16.6,17.4,65.449,73.249
8th,Türkiye,3.1,6.7,11.8,14.25,14.2,5.4,50.05,52.35
9th,Belgium,6,6.6,14.2,11.9,6.7,7.9,45.4,47.3
10th,Scotland,8.5,7.9,3.5,9.8,9.9,7,39.6,38.1
11th,Switzerland,5.125,7.75,8.5,6.8,9.1,8.3,37.275,40.45
12th,Greece,5.1,8,2.125,8.7,12,13.75,35.925,44.575
13th,Denmark,4.125,7.8,5.9,5.25,12.75,12.875,35.825,44.575
14th,Israel,7,6.75,6.25,3.75,9.875,8.375,33.625,35
15th,Austria,6.7,10.4,4.9,3.5,7.8,10.4,33.3,37
16th,Norway,6.5,7.625,5.75,5.625,7.75,8,33.25,34.75
17th,Czechia,6.6,6.7,6.75,5.25,7.4,10.75,32.7,36.85
18th,Serbia,5.5,9.5,5.375,5.4,5.9,8.6,31.675,34.775
19th,Ukraine,6.8,4.2,5.7,8,5.6,8.2,30.3,31.7
20th,Sweden,2.5,5.125,6.25,4.75,8.625,2.875,27.25,27.625
21st,Croatia,5.9,6,3.375,3.375,5.625,12.625,24.275,31
22nd,Hungary,4.25,2.75,5.875,4.25,6.375,5.5,23.5,24.75
23rd,Poland,4,4.625,7.75,4.5,2.625,7,23.5,26.5
24th,Cyprus,4,4.125,5.1,4.375,5.625,5.25,23.225,24.475
25th,Bulgaria,4,3.375,4.5,5.25,4,4.75,21.125,21.875
26th,Romania,3.75,2.25,6.25,1.75,6.5,5,20.5,21.75
27th,Slovakia,1.5,4.125,6,6,1.875,3,19.5,21
28th,Azerbaijan,2.5,4.375,4,3,3.625,4.25,17.5,19.25
29th,Slovenia,2.25,3,2.125,4.375,4.25,5,16,18.75
30th,Moldova,1.375,5.25,3.75,2.75,2.5,2.5,15.625,16.75
31st,Latvia,1.375,2.625,2.75,1.5,5.75,2.75,14,15.375
32nd,Republic of Ireland,1.875,2.875,3.375,4.375,1.375,1.125,13.875,13.125
33rd,Finland,1.375,3.75,2.625,2.375,3.375,3.5,13.5,15.625
34th,Georgia,1.75,1.25,1.125,4.5,4.75,3.625,13.375,15.25
35th,Kazakhstan,1,2.875,1.125,4.625,3.75,4.125,13.375,16.5
36th,Bosnia and Herzegovina,2.625,1.625,2,1.375,4.5,3.75,12.125,13.25
37th,Faroe Islands,2.75,1.5,2.25,2.25,2.75,1.5,11.5,10.25
38th,Iceland,0.625,1.5,3,2.667,3.375,2.375,11.167,12.917
39th,Northern Ireland,2.833,1.625,1.25,1.125,2.75,2.125,9.583,8.875
40th,Lithuania,1.625,1.75,2.375,1.5,1.75,2.25,9,9.625
41st,Armenia,1.375,1.875,2.375,1.625,1.25,1.375,8.5,8.5
42nd,Liechtenstein,0.5,0,6.5,1,0.5,0,8.5,8
43rd,Malta,1.5,1.875,2.625,1.125,0.875,0.75,8,7.25
44th,Albania,2,1.625,0.875,1.125,2.25,3.125,7.875,9
45th,North Macedonia,1.75,0.625,1.625,2.5,1.333,2.25,7.833,8.333
46th,Estonia,1.375,3.666,1.166,0.5,1,1.5,7.707,7.832
47th,Kosovo,1.833,2.333,2.875,0,0.5,0,7.541,5.708
48th,Belarus,1.5,0.25,0.625,2.375,2,2,6.75,7.25
49th,Wales,1.5,1.5,1.166,0.25,1.75,1.5,6.166,6.166
50th,Luxembourg,1,1.25,1.125,1.25,1.5,2.125,6.125,7.25
51st,Gibraltar,1.666,1.25,0.875,0.5,1.167,0.833,5.458,4.625
52nd,Montenegro,1.625,0.75,1,1.5,0,1,4.875,4.25
53rd,Andorra,0.666,1.5,0.666,0.167,0.333,0,3.332,2.666
54th,San Marino,0.5,0.166,0.833,0,0.5,0,1.999,1.499
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
