Pos,Nation,67/68,68/69,69/70,70/71,71/72,72/73,Coef. 72/73,Coef. 73/74
1st,England,23.625,23.062,27.125,25.667,25.438,23.333,124.917,124.625
2nd,Germany,24.562,20.722,25,25.75,24.8,23.812,120.835,120.085
3rd,Italy,22,20.857,22.357,20,20.143,19.643,105.357,103
4th,Spain,23.571,18.5,20.857,18.429,18.143,15.571,99.5,91.5
5th,France,12.5,22.071,15.143,15.714,16.357,14.357,81.786,83.643
6th,Portugal,12.583,18.25,12.5,14.25,9,18.5,66.583,72.5
7th,Scotland,19.1,10.6,8.75,14.5,12.6,15.4,65.55,61.85
8th,Netherlands,10,13.1,10.5,13.5,16,18.7,63.1,71.8
9th,Austria,11.9,11.1,10.7,14,11.6,7.8,59.3,55.2
10th,Belgium,9.8,11.4,13.6,10.5,10.9,9.2,56.2,55.6
11th,Liechtenstein,1,2.5,21,3,18,13.5,45.5,58
12th,Republic of Ireland,8.625,7.75,14.75,6,7.4,4.5,44.525,40.4
13th,Czechia,12.5,8.9,9.8,6.6,6,7.5,43.8,38.8
14th,Bulgaria,8.2,5.8,9.9,10.6,9.2,10.1,43.7,45.6
15th,Ukraine,9.375,5.75,13.875,9.25,4.375,4.7,42.625,37.95
16th,Türkiye,8.3,7.3,7.8,9,7.3,9.9,39.7,41.3
17th,Denmark,8.25,7.625,5.75,8.375,8.5,9.25,38.5,39.5
18th,Israel,3.375,7.25,7.25,5.875,13.375,8.25,37.125,42
19th,Serbia,12,7.125,6.3,2.75,8,7,36.175,31.175
20th,Croatia,7.1,8.3,6.5,6.8,6.2,11.75,34.9,39.55
21st,Greece,7.3,8.3,4.5,5.7,8.25,7.25,34.05,34
22nd,Norway,3.125,8.25,3.625,8.125,9.25,7,32.375,36.25
23rd,Switzerland,5.625,4.75,8.375,7.25,5.375,6.375,31.375,32.125
24th,Sweden,8.125,7.25,3.875,5.625,6.25,5.75,31.125,28.75
25th,Romania,7.25,5.75,4.75,7.5,5,3.5,30.25,26.5
26th,Slovenia,3.5,7.25,3.75,4.875,10.125,4.875,29.5,30.875
27th,Northern Ireland,6.125,3.875,7.625,3.625,5.5,6.375,26.75,27
28th,Finland,6.25,6.625,4.125,4,2.875,11.5,23.875,29.125
29th,Poland,4.5,4.375,3.125,6,3.125,4.625,21.125,21.25
30th,Hungary,1.625,5.25,6,4.375,3.625,4.125,20.875,23.375
31st,Bosnia and Herzegovina,5,2,5.25,5.625,2.125,2.25,20,17.25
32nd,Gibraltar,4,3,2.75,4.75,4.25,5,18.75,19.75
33rd,Kazakhstan,3.125,2.25,3.75,2.25,5.375,2.875,16.75,16.5
34th,Belarus,5,3.25,4,1.75,2.75,2.875,16.75,14.625
35th,Cyprus,3.5,4.5,3.375,3.75,1.625,2.5,16.75,15.75
36th,Slovakia,2.875,4.375,3.5,3.125,1.75,3.625,15.625,16.375
37th,Wales,2.75,2.875,3,4.125,2.75,1.875,15.5,14.625
38th,Georgia,2.25,3,2.375,3.125,2.625,4.125,13.375,15.25
39th,Iceland,2.125,4.125,3.375,2.125,0.875,1.875,12.625,12.375
40th,Latvia,2.625,1.625,2,1.625,3.5,2.875,11.375,11.625
41st,Moldova,1.875,2.5,1.25,3.125,2.5,3.625,11.25,13
42nd,Albania,2,1.375,3.375,2.125,1.75,1.375,10.625,10
43rd,North Macedonia,1.875,1.375,2.625,1.25,2.875,2.125,10,10.25
44th,Armenia,1.75,3.125,0.625,1.375,2,0.875,8.875,8
45th,Azerbaijan,2.625,2.5,2.125,1.125,0.375,0.75,8.75,6.875
46th,Faroe Islands,0.75,1.625,1.625,1.625,0.75,1.25,6.375,6.875
47th,Luxembourg,1.75,0.625,1.5,1.125,1.125,2,6.125,6.375
48th,Lithuania,0.375,1.5,0.667,1.125,1.5,1,5.167,5.792
49th,Montenegro,1.125,1.125,0.75,1,0.625,2,4.625,5.5
50th,Estonia,0.167,0.5,1.125,0.667,1,0.333,3.458,3.625
51st,San Marino,0,0.667,0,0.833,0.667,0.667,2.167,2.833
52nd,Kosovo,0.333,0.333,0.333,0,0,0,1,0.667
53rd,Malta,0.167,0,0,0,0,0,0.167,0
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
