Pos,Nation,43/44,44/45,45/46,46/47,47/48,48/49,Coef. 48/49,Coef. 49/50
1st,England,27.812,27.778,23.312,22.714,25,23.25,126.617,122.055
2nd,Spain,20.429,20.643,24.429,22.125,23.857,20.062,111.482,111.116
3rd,Germany,21.312,21.438,24.5,22.5,20,24.143,109.75,112.58
4th,Italy,20.429,16.786,23.714,20.429,18.357,22.143,99.714,101.429
5th,France,19.357,18.357,18.214,20.714,18.75,19.571,95.393,95.607
6th,Portugal,12,17,14.5,11,14.75,14.667,69.25,71.917
7th,Netherlands,15.7,13,9.3,11.6,14.9,11.4,64.5,60.2
8th,Türkiye,11.2,13.6,11.4,11.2,15,9.1,62.4,60.3
9th,Greece,7.8,13.4,11.8,13.9,13.6,10.3,60.5,63
10th,Belgium,11.7,9.4,12,16.9,10.1,8.5,60.1,56.9
11th,Austria,9.5,10.8,9.1,12.5,12.6,13.5,54.5,58.5
12th,Scotland,10.5,11.9,8.6,11.7,8.8,15.6,51.5,56.6
13th,Denmark,10.5,11.1,6.8,4.8,10.5,13,43.7,46.2
14th,Ukraine,9.75,11.75,6.125,8,6.9,4.7,42.525,37.475
15th,Croatia,7.5,4.625,8,11.625,10,6.6,41.75,40.85
16th,Sweden,8.5,8.625,3.375,10.375,4.625,4.5,35.5,31.5
17th,Republic of Ireland,8.875,8.625,5.75,7,5,7.125,35.25,33.5
18th,Norway,7.25,4.75,10.375,5.5,6.5,8.125,34.375,35.25
19th,Switzerland,6,7.3,8,4.5,7.125,6,32.925,32.925
20th,Serbia,9.25,6.75,3.9,3.375,9,10.25,32.275,33.275
21st,Bulgaria,6.3,4.5,9.3,5.5,6.6,9.875,32.2,35.775
22nd,Poland,2.25,3.25,7.625,7.125,6.25,6.25,26.5,30.5
23rd,Slovakia,4,6.625,4.5,7.75,2.875,3.75,25.75,25.5
24th,Romania,4.625,3.375,7.125,3.875,6.625,6.625,25.625,27.625
25th,Israel,4.375,3.125,8.25,6,3.5,4.625,25.25,25.5
26th,Czechia,5.75,5.5,5.25,4.75,3.25,7.875,24.5,26.625
27th,Hungary,5.625,5.5,5,3,2.375,3.125,21.5,19
28th,Belarus,2.75,2.625,5.125,6.375,2.5,2,19.375,18.625
29th,Slovenia,8,2.25,1.875,3.125,3.625,3.125,18.875,14
30th,Northern Ireland,3.25,2.125,4,4,5.25,2.75,18.625,18.125
31st,Azerbaijan,3.25,5.375,3.25,4.625,1.875,2.75,18.375,17.875
32nd,Cyprus,4.75,4.375,2.25,2,3.625,2.75,17,15
33rd,Bosnia and Herzegovina,2.75,3.25,3.25,3.375,4.25,2.25,16.875,16.375
34th,Georgia,3.75,2.625,3.875,2.5,3.5,3.25,16.25,15.75
35th,Finland,2.5,3.625,3.5,3.5,2.875,4.625,16,18.125
36th,Kazakhstan,2.625,3,2.375,2.5,4.25,3.125,14.75,15.25
37th,Gibraltar,4.25,3.25,1.875,2.125,3,3.375,14.5,13.625
38th,Iceland,1.875,2,4.375,3.125,3,2.25,14.375,14.75
39th,Wales,3.75,2.375,0.875,4.5,2.625,2.625,14.125,13
40th,Latvia,2.625,2.5,2.375,2.75,3,2.125,13.25,12.75
41st,Moldova,1.375,2.25,2.625,2.75,2.875,2.125,11.875,12.625
42nd,North Macedonia,1.75,2.125,3.125,2,2.25,2.875,11.25,12.375
43rd,Luxembourg,2,1.375,1.875,2.25,1,1.25,8.5,7.75
44th,Albania,1.5,1.125,2,1.75,1.5,1.625,7.875,8
45th,Lithuania,1,1.25,1.5,1,1.125,0.375,5.875,5.25
46th,Faroe Islands,1.625,1.5,0.875,0.25,1.375,2.375,5.625,6.375
47th,Armenia,1.125,0.375,1.75,0.375,1.75,1.75,5.375,6
48th,Montenegro,0.25,0.875,1,1.667,0.625,0.875,4.417,5.042
49th,Kosovo,1.5,0.333,1.167,0.667,0.167,0.5,3.833,2.833
50th,Estonia,0.167,1,0,1,0.667,0.5,2.833,3.167
51st,Liechtenstein,0,0,0,1,0,1,1,2
52nd,Malta,0.333,0,0,0.167,0.167,1.167,0.667,1.5
53rd,San Marino,0.5,0,0,0,0,0,0.5,0
54th,Andorra,0.167,0,0,0,0,0,0.167,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
