Pos,Nation,23/24,24/25,25/26,26/27,27/28,28/29,Coef. 28/29,Coef. 29/30
1st,England,24.5,26.125,27.5,22.444,25.286,24.611,125.855,125.966
2nd,Spain,16.25,25.857,20.778,25.714,21.778,23.214,110.377,117.341
3rd,Italy,17.571,21.625,22.286,22.667,22,20.5,106.149,109.077
4th,Germany,14.357,19.714,20.286,17.714,17.5,21.929,89.571,97.143
5th,France,17.167,16.786,15.286,17.857,20.286,15.214,87.381,85.429
6th,Portugal,13.833,16.6,17.4,15.2,12.667,14.833,75.7,76.7
7th,Netherlands,10.8,13,13.5,11.417,16.8,16.1,65.517,70.817
8th,Türkiye,14.25,14.2,5.4,14.9,11.5,9.9,60.25,55.9
9th,Greece,8.7,12,13.75,10.4,9.4,13.4,54.25,58.95
10th,Denmark,5.25,12.75,12.875,11.1,11.5,13,53.475,61.225
11th,Scotland,9.8,9.9,7,11,14.5,10.1,52.2,52.5
12th,Croatia,3.375,5.625,12.625,12.5,7.5,10.5,41.625,48.75
13th,Czechia,5.25,7.4,10.75,9,9,5.7,41.4,41.85
14th,Belgium,11.9,6.7,7.9,8.3,6.3,7.9,41.1,37.1
15th,Ukraine,8,5.6,8.2,10.625,7,6.6,39.425,38.025
16th,Switzerland,6.8,9.1,8.3,4.4,8.8,6.25,37.4,36.85
17th,Serbia,5.4,5.9,8.6,7.625,9.25,11.125,36.775,42.5
18th,Austria,3.5,7.8,10.4,8,6.6,9,36.3,41.8
19th,Norway,5.625,7.75,8,8.125,4.875,6.875,34.375,35.625
20th,Israel,3.75,9.875,8.375,5.1,6.25,6.75,33.35,36.35
21st,Romania,1.75,6.5,5,3.375,11.75,4.75,28.375,31.375
22nd,Bulgaria,5.25,4,4.75,4,8.25,8.375,26.25,29.375
23rd,Poland,4.5,2.625,7,8.75,3,4.375,25.875,25.75
24th,Sweden,4.75,8.625,2.875,6.125,3.25,7.625,25.625,28.5
25th,Hungary,4.25,6.375,5.5,3.625,3.625,4.375,23.375,23.5
26th,Cyprus,4.375,5.625,5.25,3.5,3.75,3.5,22.5,21.625
27th,Kazakhstan,4.625,3.75,4.125,3.875,4.75,4.25,21.125,20.75
28th,Slovenia,4.375,4.25,5,2.375,5,3.75,21,20.375
29th,Azerbaijan,3,3.625,4.25,4,5.5,3.125,20.375,20.5
30th,Bosnia and Herzegovina,1.375,4.5,3.75,5.875,4.125,2,19.625,20.25
31st,Slovakia,6,1.875,3,5.125,3.5,4.875,19.5,18.375
32nd,Georgia,4.5,4.75,3.625,2.375,2.375,4.5,17.625,17.625
33rd,Finland,2.375,3.375,3.5,3.625,2.5,3.125,15.375,16.125
34th,Latvia,1.5,5.75,2.75,2.375,1.75,1.125,14.125,13.75
35th,Moldova,2.75,2.5,2.5,3.375,2.375,2.125,13.5,12.875
36th,Republic of Ireland,4.375,1.375,1.125,1,4.875,3.5,12.75,11.875
37th,Iceland,2.667,3.375,2.375,2.625,1.625,3.625,12.667,13.625
38th,Northern Ireland,1.125,2.75,2.125,2.75,2.875,1.5,11.625,12
39th,Belarus,2.375,2,2,3,2,3.375,11.375,12.375
40th,Albania,1.125,2.25,3.125,1.25,3.375,2.5,11.125,12.5
41st,Faroe Islands,2.25,2.75,1.5,1.75,2.625,1.875,10.875,10.5
42nd,North Macedonia,2.5,1.333,2.25,2.875,1.5,2.375,10.458,10.333
43rd,Armenia,1.625,1.25,1.375,3,3,1,10.25,9.625
44th,Lithuania,1.5,1.75,2.25,1.5,2,1.25,9,8.75
45th,Luxembourg,1.25,1.5,2.125,1,1.25,0.75,7.125,6.625
46th,Wales,0.25,1.75,1.5,1,2.5,2.25,7,9
47th,Gibraltar,0.5,1.167,0.833,2.167,1.667,1.125,6.333,6.958
48th,Estonia,0.5,1,1.5,0.75,0.625,1.333,4.375,5.208
49th,Montenegro,1.5,0,1,0.667,1,0.333,4.167,3
50th,Malta,1.125,0.875,0.75,0,0,1,2.75,2.625
51st,Liechtenstein,1,0.5,0,0.5,0,0,2,1
52nd,Kosovo,0,0.5,0,0.875,0,1.167,1.375,2.542
53rd,San Marino,0,0.5,0,0,0,0,0.5,0.5
54th,Andorra,0.167,0.333,0,0,0,0.167,0.5,0.5
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
