Pos,Nation,60/61,61/62,62/63,63/64,64/65,65/66,Coef. 65/66,Coef. 66/67
1st,England,27.625,26.625,30.625,26.5,24.722,27.562,136.097,136.035
2nd,Germany,20.125,21,23.786,21.25,25.429,20.438,111.589,111.902
3rd,Italy,20.857,24.714,18.062,22.214,19.812,19.429,105.661,104.232
4th,Spain,21.286,20.625,20.857,18.286,22.286,23,103.339,105.054
5th,France,17.5,17.571,15.071,17.786,16.5,16.429,84.429,83.357
6th,Portugal,17.333,13.917,16.167,13.083,13.167,14,73.667,70.333
7th,Belgium,13,13.375,10.1,16.3,12.5,11,65.275,63.275
8th,Netherlands,12.9,7.9,9.1,15.1,16,13.3,61,61.4
9th,Scotland,10.3,11.5,9.333,10,15.8,12.1,56.933,58.733
10th,Austria,9.6,12.2,9.8,12.4,7.5,10.7,51.5,52.6
11th,Türkiye,12,13.4,5.9,8.2,8.4,12.3,47.9,48.2
12th,Croatia,6.6,14,6,8.125,11.125,10.75,45.85,50
13th,Bulgaria,6.625,11.3,9.25,8,9.6,10.3,44.775,48.45
14th,Ukraine,11,9.75,9.25,6.375,6.875,3.75,43.25,36
15th,Greece,9.7,7.9,10.9,6.7,6.9,9.8,42.1,42.2
16th,Denmark,9.6,5.9,10.7,9.2,6.2,6,41.6,38
17th,Czechia,8,7.6,11.8,7.8,4.8,11.9,40,43.9
18th,Romania,3.625,12.25,5.5,10,4.125,5.5,35.5,37.375
19th,Israel,9,6.7,8.9,4.75,5.875,9,35.225,35.225
20th,Switzerland,4,5.5,7.75,5.625,8,7.5,30.875,34.375
21st,Republic of Ireland,7.875,4.625,10.75,2.875,4.75,8.125,30.875,31.125
22nd,Northern Ireland,7,4.875,5,6.125,7.75,4.875,30.75,28.625
23rd,Serbia,3.875,2.5,7,9.75,6.75,7.75,29.875,33.75
24th,Poland,5,7.875,4.625,6,5.625,2.375,29.125,26.5
25th,Sweden,4.5,4,6.375,3.625,8.125,2.5,26.625,24.625
26th,Norway,5.75,3.5,6.75,4.75,3.5,4.375,24.25,22.875
27th,Finland,6.75,2.75,3.75,2.875,5.875,3.625,22,18.875
28th,Slovenia,6.375,4.25,1.5,5.5,4,5.75,21.625,21
29th,Hungary,4.25,4.5,4.5,4.125,3.375,2.75,20.75,19.25
30th,Slovakia,3.875,4.5,4.125,3,3,2.5,18.5,17.125
31st,Gibraltar,3.375,3.125,4.625,3.625,3,4.5,17.75,18.875
32nd,Cyprus,4.75,3.625,2.25,1.5,4.25,3.25,16.375,14.875
33rd,Georgia,1.875,3,3,5,2.125,5.375,15,18.5
34th,Wales,4.25,1.125,3.75,2.375,2.875,4.75,14.375,14.875
35th,Azerbaijan,2.25,3,3.75,2.625,2.75,1,14.375,13.125
36th,Moldova,2.75,3,1.375,3,3.75,1.75,13.875,12.875
37th,Bosnia and Herzegovina,1,2.125,2.875,1.625,5.25,3,12.875,14.875
38th,Kazakhstan,1.125,3.375,4,2.875,1.5,1.25,12.875,13
39th,Latvia,3.875,1.375,1.5,1.625,3,5.25,11.375,12.75
40th,Iceland,2.25,3.125,1.5,1.75,2.75,2.125,11.375,11.25
41st,Albania,1.625,2.75,1.75,1.25,3.25,1.375,10.625,10.375
42nd,Belarus,2.5,2.625,1.25,1.25,2.125,2.375,9.75,9.625
43rd,North Macedonia,2.125,1.5,1.25,2.75,1.875,2.25,9.5,9.625
44th,Armenia,1.875,1.125,2.25,2.75,1.25,1.125,9.25,8.5
45th,Liechtenstein,2,0,2.5,2,2.5,2.5,9,9.5
46th,Luxembourg,1,1.875,1.5,1.875,1.5,1.625,7.75,8.375
47th,Faroe Islands,1.375,0.875,1.75,1.75,0.75,1.75,6.5,6.875
48th,Lithuania,1,0.875,2,0.5,0.75,1.25,5.125,5.375
49th,Montenegro,0.875,1.125,0.625,1.25,0.75,1.625,4.625,5.375
50th,Estonia,1,0.5,0.167,0.167,1.167,1,3,3
51st,Kosovo,0.333,0.167,0.667,0.667,0.333,0.167,2.167,2
52nd,Malta,0.167,0,0,0,0,0,0.167,0
53rd,Andorra,0,0,0,0,0,0,0,0
54th,San Marino,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
