Pos,Nation,26/27,27/28,28/29,29/30,30/31,31/32,Coef. 31/32,Coef. 32/33
1st,England,22.444,25.286,24.611,26.222,25.778,28.625,124.341,130.522
2nd,Spain,25.714,21.778,23.214,22.5,19.75,23.5,112.956,110.742
3rd,Italy,22.667,22,20.5,21.857,21.857,21.625,108.881,107.839
4th,Germany,17.714,17.5,21.929,19.643,20.786,18.071,97.571,97.929
5th,France,17.857,20.286,15.214,18.5,19.429,15.786,91.286,89.214
6th,Portugal,15.2,12.667,14.833,16.25,14.667,16.25,73.617,74.667
7th,Netherlands,11.417,16.8,16.1,9.1,11.8,14.8,65.217,68.6
8th,Scotland,11,14.5,10.1,13.7,9,13.1,58.3,60.4
9th,Denmark,11.1,11.5,13,11.3,5.9,10.3,52.8,52
10th,Türkiye,14.9,11.5,9.9,4.7,11,6.9,52,44
11th,Greece,10.4,9.4,13.4,7.9,8.6,12.8,49.7,52.1
12th,Belgium,8.3,6.3,7.9,11.2,13.5,13.75,47.2,52.65
13th,Serbia,7.625,9.25,11.125,10.25,8.8,7.2,47.05,46.625
14th,Czechia,9,9,5.7,8.1,13.8,4.3,45.6,40.9
15th,Austria,8,6.6,9,10.625,10.7,6.9,44.925,43.825
16th,Croatia,12.5,7.5,10.5,6.6,5.5,4.9,42.6,35
17th,Ukraine,10.625,7,6.6,8.1,8.375,10.75,40.7,40.825
18th,Norway,8.125,4.875,6.875,10.875,7,5.625,37.75,35.25
19th,Switzerland,4.4,8.8,6.25,8.25,8.5,9.5,36.2,41.3
20th,Romania,3.375,11.75,4.75,5.875,7.25,5,33,34.625
21st,Poland,8.75,3,4.375,9.25,4.375,8.25,29.75,29.25
22nd,Israel,5.1,6.25,6.75,5.25,6,7.125,29.35,31.375
23rd,Bulgaria,4,8.25,8.375,4.625,3.875,5.75,29.125,30.875
24th,Sweden,6.125,3.25,7.625,3,4.875,4.875,24.875,23.625
25th,Slovakia,5.125,3.5,4.875,4.125,6.625,4.125,24.25,23.25
26th,Hungary,3.625,3.625,4.375,5,4.75,5.5,21.375,23.25
27th,Azerbaijan,4,5.5,3.125,3,4.75,2.625,20.375,19
28th,Bosnia and Herzegovina,5.875,4.125,2,2.75,5.125,3.625,19.875,17.625
29th,Republic of Ireland,1,4.875,3.5,5.125,5.25,7.75,19.75,26.5
30th,Slovenia,2.375,5,3.75,3.5,4.75,4.375,19.375,21.375
31st,Kazakhstan,3.875,4.75,4.25,3.25,2.75,2.75,18.875,17.75
32nd,Cyprus,3.5,3.75,3.5,3.125,4.25,1.75,18.125,16.375
33rd,Finland,3.625,2.5,3.125,4.5,4.125,5.125,17.875,19.375
34th,Belarus,3,2,3.375,2.125,5.125,2.625,15.625,15.25
35th,Georgia,2.375,2.375,4.5,3.25,1.75,3.25,14.25,15.125
36th,Iceland,2.625,1.625,3.625,4.25,1.875,3.125,14,14.5
37th,Latvia,2.375,1.75,1.125,5.75,2.625,2.25,13.625,13.5
38th,Northern Ireland,2.75,2.875,1.5,2.25,3,1.875,12.375,11.5
39th,North Macedonia,2.875,1.5,2.375,2.625,1.75,2.375,11.125,10.625
40th,Moldova,3.375,2.375,2.125,1.75,1.5,2.875,11.125,10.625
41st,Wales,1,2.5,2.25,1.5,3.25,3.25,10.5,12.75
42nd,Armenia,3,3,1,0.875,1.5,2.125,9.375,8.5
43rd,Albania,1.25,3.375,2.5,0.75,1.375,2.25,9.25,10.25
44th,Faroe Islands,1.75,2.625,1.875,1,1.125,1.75,8.375,8.375
45th,Gibraltar,2.167,1.667,1.125,1,1.125,1.5,7.083,6.417
46th,Luxembourg,1,1.25,0.75,2.5,1.25,1.125,6.75,6.875
47th,Lithuania,1.5,2,1.25,1.375,0.5,2.375,6.625,7.5
48th,Kosovo,0.875,0,1.167,0.667,1.667,0.5,4.375,4
49th,Estonia,0.75,0.625,1.333,0.875,0.75,0.25,4.333,3.833
50th,Montenegro,0.667,1,0.333,1.833,0.5,1.5,4.333,5.167
51st,Liechtenstein,0.5,0,0,1.5,0,2,2,3.5
52nd,Malta,0,0,1,0,0.333,0,1.333,1.333
53rd,Andorra,0,0,0.167,0.333,0,0,0.5,0.5
54th,San Marino,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
