Pos,Nation,63/64,64/65,65/66,66/67,67/68,68/69,Coef. 68/69,Coef. 69/70
1st,England,26.5,24.722,27.562,29,23.625,23.062,131.41,127.972
2nd,Germany,21.25,25.429,20.438,22.786,24.562,20.389,114.464,113.603
3rd,Spain,18.286,22.286,23,21.438,23.571,18.5,108.58,108.795
4th,Italy,22.214,19.812,19.429,17.143,22,20.714,100.598,99.098
5th,France,17.786,16.5,16.429,17.643,12.5,22.071,80.857,85.143
6th,Scotland,10,15.8,12.1,11,19.1,10.6,68,68.6
7th,Netherlands,15.1,16,13.3,11.3,10,13.1,65.7,63.7
8th,Portugal,13.083,13.167,14,10.667,12.583,18.25,63.5,68.667
9th,Belgium,16.3,12.5,11,9.5,9.8,11.4,59.1,54.2
10th,Czechia,7.8,4.8,11.9,19.375,12.5,8.9,56.375,57.475
11th,Austria,12.4,7.5,10.7,12.3,11.9,11.1,54.8,53.5
12th,Türkiye,8.2,8.4,12.3,13,8.3,7.3,50.2,49.3
13th,Croatia,8.125,11.125,10.75,10.1,7.1,8.3,47.2,47.375
14th,Bulgaria,8,9.6,10.3,8.5,8.2,5.8,44.6,42.4
15th,Serbia,9.75,6.75,7.75,4,12,7.125,40.25,37.625
16th,Denmark,9.2,6.2,6,8,8.25,7.625,37.65,36.075
17th,Greece,6.7,6.9,9.8,6.7,7.3,8.3,37.4,39
18th,Romania,10,4.125,5.5,6.625,7.25,5.75,33.5,29.25
19th,Switzerland,5.625,8,7.5,6.625,5.625,4.75,33.375,32.5
20th,Ukraine,6.375,6.875,3.75,6.7,9.375,5.75,33.075,32.45
21st,Republic of Ireland,2.875,4.75,8.125,6.25,8.625,7.75,30.625,35.5
22nd,Northern Ireland,6.125,7.75,4.875,3.25,6.125,3.875,28.125,25.875
23rd,Israel,4.75,5.875,9,4.5,3.375,7.25,27.5,30
24th,Slovenia,5.5,4,5.75,7.125,3.5,7.25,25.875,27.625
25th,Sweden,3.625,8.125,2.5,3.125,8.125,7.25,25.5,29.125
26th,Norway,4.75,3.5,4.375,8.5,3.125,8.25,24.25,27.75
27th,Poland,6,5.625,2.375,4,4.5,4.375,22.5,20.875
28th,Finland,2.875,5.875,3.625,3.625,6.25,6.625,22.25,26
29th,Georgia,5,2.125,5.375,6.25,2.25,3,21,19
30th,Gibraltar,3.625,3,4.5,4.25,4,3,19.375,18.75
31st,Bosnia and Herzegovina,1.625,5.25,3,3.25,5,2,18.125,18.5
32nd,Latvia,1.625,3,5.25,4.25,2.625,1.625,16.75,16.75
33rd,Hungary,4.125,3.375,2.75,4.75,1.625,5.25,16.625,17.75
34th,Cyprus,1.5,4.25,3.25,3.875,3.5,4.5,16.375,19.375
35th,Slovakia,3,3,2.5,3.125,2.875,4.375,14.5,15.875
36th,Wales,2.375,2.875,4.75,1.625,2.75,2.875,14.375,14.875
37th,Moldova,3,3.75,1.75,2.5,1.875,2.5,12.875,12.375
38th,Belarus,1.25,2.125,2.375,2,5,3.25,12.75,14.75
39th,Iceland,1.75,2.75,2.125,3.625,2.125,4.125,12.375,14.75
40th,Kazakhstan,2.875,1.5,1.25,2.75,3.125,2.25,11.5,10.875
41st,Azerbaijan,2.625,2.75,1,1.5,2.625,2.5,10.5,10.375
42nd,Liechtenstein,2,2.5,2.5,2.5,1,2.5,10.5,11
43rd,North Macedonia,2.75,1.875,2.25,1.625,1.875,1.375,10.375,9
44th,Albania,1.25,3.25,1.375,1.125,2,1.375,9,9.125
45th,Luxembourg,1.875,1.5,1.625,1.625,1.75,0.625,8.375,7.125
46th,Armenia,2.75,1.25,1.125,1,1.75,3.125,7.875,8.25
47th,Faroe Islands,1.75,0.75,1.75,2.25,0.75,1.625,7.25,7.125
48th,Montenegro,1.25,0.75,1.625,1.375,1.125,1.125,6.125,6
49th,Estonia,0.167,1.167,1,1.5,0.167,0.5,4,4.333
50th,Lithuania,0.5,0.75,1.25,0.75,0.375,1.5,3.625,4.625
51st,Kosovo,0.667,0.333,0.167,1,0.333,0.333,2.5,2.167
52nd,Malta,0,0,0,0,0.167,0,0.167,0.167
53rd,Andorra,0,0,0,0,0,0,0,0
54th,San Marino,0,0,0,0,0,0.667,0,0.667
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
