Pos,Nation,69/70,70/71,71/72,72/73,73/74,74/75,Coef. 74/75,Coef. 75/76
1st,England,27.125,25.667,25.438,23.333,22,26.714,123.562,123.152
2nd,Germany,25,25.75,24.8,23.812,24,24.688,123.363,123.05
3rd,Italy,22.357,20,20.143,19.643,16.429,19.357,98.571,95.571
4th,Spain,20.857,18.429,18.143,15.571,20.643,19.786,93.643,92.571
5th,Liechtenstein,21,3,18,13.5,26.5,2.5,82,63.5
6th,France,15.143,15.714,16.357,14.357,18.143,15.929,79.714,80.5
7th,Portugal,12.5,14.25,9,18.5,13.667,18.667,67.917,74.083
8th,Scotland,8.75,14.5,12.6,15.4,13.9,16.4,65.15,72.8
9th,Netherlands,10.5,13.5,16,18.7,6,12.9,64.7,67.1
10th,Austria,10.7,14,11.6,7.8,10.7,8.4,54.8,52.5
11th,Belgium,13.6,10.5,10.9,9.2,8.6,9.5,52.8,48.7
12th,Bulgaria,9.9,10.6,9.2,10.1,9.7,12,49.5,51.6
13th,Israel,7.25,5.875,13.375,8.25,10.5,6.8,45.25,44.8
14th,Türkiye,7.8,9,7.3,9.9,10.3,6.4,44.3,42.9
15th,Denmark,5.75,8.375,8.5,9.25,8.375,3.875,40.25,38.375
16th,Republic of Ireland,14.75,6,7.4,4.5,7.5,7.7,40.15,33.1
17th,Czechia,9.8,6.6,6,7.5,9.8,4,39.7,33.9
18th,Switzerland,8.375,7.25,5.375,6.375,12.25,4.625,39.625,35.875
19th,Ukraine,13.875,9.25,4.375,4.7,7.3,11.25,39.5,36.875
20th,Croatia,6.5,6.8,6.2,11.75,5.75,7.9,37,38.4
21st,Norway,3.625,8.125,9.25,7,7.5,8.5,35.5,40.375
22nd,Greece,4.5,5.7,8.25,7.25,7.875,9.75,33.575,38.825
23rd,Serbia,6.3,2.75,8,7,9.375,8.5,33.425,35.625
24th,Northern Ireland,7.625,3.625,5.5,6.375,7.375,5.5,30.5,28.375
25th,Slovenia,3.75,4.875,10.125,4.875,6.625,6.25,30.25,32.75
26th,Sweden,3.875,5.625,6.25,5.75,6.125,8,27.625,31.75
27th,Romania,4.75,7.5,5,3.5,4.25,5.375,25,25.625
28th,Finland,4.125,4,2.875,11.5,2.125,3.625,24.625,24.125
29th,Hungary,6,4.375,3.625,4.125,4.25,4.375,22.375,20.75
30th,Gibraltar,2.75,4.75,4.25,5,4,4.75,20.75,22.75
31st,Bosnia and Herzegovina,5.25,5.625,2.125,2.25,4.75,3.75,20,18.5
32nd,Poland,3.125,6,3.125,4.625,3,5.25,19.875,22
33rd,Kazakhstan,3.75,2.25,5.375,2.875,2.25,0.5,16.5,13.25
34th,Georgia,2.375,3.125,2.625,4.125,4,2.25,16.25,16.125
35th,Belarus,4,1.75,2.75,2.875,4.125,1.5,15.5,13
36th,Slovakia,3.5,3.125,1.75,3.625,3.5,5.375,15.5,17.375
37th,Wales,3,4.125,2.75,1.875,3.375,3,15.125,15.125
38th,Cyprus,3.375,3.75,1.625,2.5,3.25,1.75,14.5,12.875
39th,Latvia,2,1.625,3.5,2.875,4.375,4.5,14.375,16.875
40th,Moldova,1.25,3.125,2.5,3.625,1.5,2.125,12,12.875
41st,North Macedonia,2.625,1.25,2.875,2.125,2.25,3.25,11.125,11.75
42nd,Iceland,3.375,2.125,0.875,1.875,1.625,4.125,9.875,10.625
43rd,Albania,3.375,2.125,1.75,1.375,1.25,2.5,9.875,9
44th,Luxembourg,1.5,1.125,1.125,2,1.125,1.125,6.875,6.5
45th,Lithuania,0.667,1.125,1.5,1,2,1.75,6.292,7.375
46th,Armenia,0.625,1.375,2,0.875,1.125,1.375,6,6.75
47th,Azerbaijan,2.125,1.125,0.375,0.75,1.375,0.625,5.75,4.25
48th,Faroe Islands,1.625,1.625,0.75,1.25,0.25,2.125,5.5,6
49th,Estonia,1.125,0.667,1,0.333,2.167,1.167,5.292,5.333
50th,Montenegro,0.75,1,0.625,2,0.875,0.875,5.25,5.375
51st,San Marino,0,0.833,0.667,0.667,0,0,2.167,2.167
52nd,Kosovo,0.333,0,0,0,0.667,0.333,1,1
53rd,Malta,0,0,0,0,0,0,0,0
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
