Pos,Nation,50/51,51/52,52/53,53/54,54/55,55/56,Coef. 55/56,Coef. 56/57
1st,England,23.062,21.722,26.571,29.125,24.125,27.125,124.606,128.669
2nd,Germany,22.562,22.429,23.438,23.143,19.312,17.571,110.884,105.893
3rd,Italy,22.357,16.5,25.857,20.375,21.571,19.5,106.661,103.804
4th,Spain,23.429,23.5,19.222,18.214,20.857,22.429,105.222,104.222
5th,France,19.312,17.357,15.714,15.214,14.286,22.786,81.884,85.357
6th,Portugal,16.167,11.417,15.667,16.75,13.5,17.25,73.5,74.583
7th,Netherlands,12.5,14,10.5,12.9,15.8,14.7,65.7,67.9
8th,Türkiye,13,12.1,6.7,10.6,18.2,8.1,60.6,55.7
9th,Greece,7.7,11.2,15.5,12.8,13.3,7.9,60.5,60.7
10th,Austria,11.9,9.2,8.9,10.3,11.3,7.7,51.6,47.4
11th,Belgium,6.1,14.6,9.8,10.3,9.5,7.8,50.3,52
12th,Denmark,14.5,8.1,7.4,11.8,8.1,9.8,49.9,45.2
13th,Croatia,4.7,7.7,9.5,12.375,15.25,8.7,49.525,53.525
14th,Scotland,10.3,8.8,10.1,13,7.2,13.6,49.4,52.7
15th,Bulgaria,11.5,8.9,6.4,8.9,4.8,7.6,40.5,36.6
16th,Israel,6.25,3.625,11.25,10.5,7.875,13.125,39.5,46.375
17th,Switzerland,8.25,10.875,8.375,3.75,5.625,5.5,36.875,34.125
18th,Norway,4,6.75,11.5,5.375,7.375,4.875,35,35.875
19th,Czechia,5.875,13.125,8,3.625,4.125,11.625,34.75,40.5
20th,Sweden,8,5.625,3.25,7.625,9.875,6.75,34.375,33.125
21st,Ukraine,7.5,6.375,5.875,10.5,3.625,6.625,33.875,33
22nd,Serbia,7.375,6.625,6.4,5.6,7.6,6.25,33.6,32.475
23rd,Republic of Ireland,4.5,5.25,7.75,5.75,9.5,6.625,32.75,34.875
24th,Poland,4.625,9.375,3.5,5.125,5.375,3.25,28,26.625
25th,Northern Ireland,4.875,3.25,4.75,3.375,9.125,3.375,25.375,23.875
26th,Romania,3.5,6.625,5.375,3.125,6,6.75,24.625,27.875
27th,Slovakia,5.375,5.5,3.5,4.625,5.625,2.875,24.625,22.125
28th,Hungary,3.875,5.75,4.5,3.75,4.5,4.25,22.375,22.75
29th,Slovenia,3.875,5.5,3.5,6,3.375,3.625,22.25,22
30th,Finland,5.25,2.625,3.375,2,4.75,3.125,18,15.875
31st,Georgia,2.875,3,4.5,3.875,3.125,4,17.375,18.5
32nd,Gibraltar,2.625,4.125,2.25,2.75,5.25,4.625,17,19
33rd,Wales,3.75,3.375,3.375,1.875,3.375,2.75,15.75,14.75
34th,Cyprus,3.25,4.625,2.625,1.875,3.375,1.75,15.75,14.25
35th,Kazakhstan,3.5,2.625,3.375,3.625,2.5,3.75,15.625,15.875
36th,Bosnia and Herzegovina,2.625,3.5,2.5,3.375,2.625,4.375,14.625,16.375
37th,Azerbaijan,2.625,2.375,2.625,2.875,2.375,3.125,12.875,13.375
38th,Latvia,2.25,3.75,3,1.75,1.75,2.25,12.5,12.5
39th,Iceland,1.25,1.75,3.375,2.75,3.25,1,12.375,12.125
40th,Belarus,3,2.75,1.75,2.75,1.375,4.25,11.625,12.875
41st,Moldova,2.375,1,1.625,0.875,3.375,2.375,9.25,9.25
42nd,Armenia,1.375,1,1.625,2.25,2.5,1.5,8.75,8.875
43rd,North Macedonia,1.375,2,1.875,1.625,1.375,1.5,8.25,8.375
44th,Faroe Islands,2.375,1.25,1.375,0.75,1.875,1.125,7.625,6.375
45th,Montenegro,0.75,2,1.75,1,1.125,1,6.625,6.875
46th,Luxembourg,0.75,1.25,1.75,0.875,1.5,1,6.125,6.375
47th,Albania,1.125,0.875,1,1.75,0.875,1.75,5.625,6.25
48th,Lithuania,0.375,1.625,0.833,1.375,0.375,2,4.583,6.208
49th,Estonia,0.833,0.5,0.75,0.5,0.667,1,3.25,3.417
50th,Liechtenstein,0.5,1,0,0.5,1,0,3,2.5
51st,Kosovo,0.5,1.167,0.167,0.167,0.167,0,2.167,1.667
52nd,Malta,0,0,0.167,0.5,0,0.833,0.667,1.5
53rd,San Marino,0,0,0,0.167,0,0,0.167,0.167
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
