Pos,Nation,42/43,43/44,44/45,45/46,46/47,47/48,Coef. 47/48,Coef. 48/49
1st,England,25.625,27.812,27.778,23.312,22.714,25,127.242,126.617
2nd,Germany,23.714,21.312,21.438,24.5,22.5,20,113.464,109.75
3rd,Spain,20.125,20.429,20.643,24.429,22.125,23.857,107.75,111.482
4th,Italy,22.143,20.429,16.786,23.714,20.429,18.357,103.5,99.714
5th,France,19.357,19.357,18.357,18.214,20.714,18.75,96,95.393
6th,Portugal,13,12,17,14.5,11,14.75,67.5,69.25
7th,Netherlands,12.9,15.7,13,9.3,11.6,14.9,62.5,64.5
8th,Belgium,12.4,11.7,9.4,12,16.9,10.1,62.4,60.1
9th,Greece,8.3,7.8,13.4,11.8,13.9,13.6,55.2,60.5
10th,Türkiye,7,11.2,13.6,11.4,11.2,15,54.4,62.4
11th,Austria,10.6,9.5,10.8,9.1,12.5,12.6,52.5,54.5
12th,Scotland,9.6,10.5,11.9,8.6,11.7,8.8,52.3,51.5
13th,Denmark,11.1,10.5,11.1,6.8,4.8,10.5,44.3,43.7
14th,Ukraine,6.875,9.75,11.75,6.125,8,6.9,42.5,42.525
15th,Croatia,7.625,7.5,4.625,8,11.625,10,39.375,41.75
16th,Republic of Ireland,7,8.875,8.625,5.75,7,5,37.25,35.25
17th,Bulgaria,10.75,6.3,4.5,9.3,5.5,6.6,36.35,32.2
18th,Switzerland,10.25,6,7.3,8,4.5,7.125,36.05,32.925
19th,Sweden,3.375,8.5,8.625,3.375,10.375,4.625,34.25,35.5
20th,Serbia,10.1,9.25,6.75,3.9,3.375,9,33.375,32.275
21st,Norway,4.125,7.25,4.75,10.375,5.5,6.5,32,34.375
22nd,Israel,7,4.375,3.125,8.25,6,3.5,28.75,25.25
23rd,Poland,7.625,2.25,3.25,7.625,7.125,6.25,27.875,26.5
24th,Czechia,5.7,5.75,5.5,5.25,4.75,3.25,26.95,24.5
25th,Hungary,7,5.625,5.5,5,3,2.375,26.125,21.5
26th,Slovakia,2.375,4,6.625,4.5,7.75,2.875,25.25,25.75
27th,Romania,3.125,4.625,3.375,7.125,3.875,6.625,22.125,25.625
28th,Azerbaijan,4.75,3.25,5.375,3.25,4.625,1.875,21.25,18.375
29th,Slovenia,3.875,8,2.25,1.875,3.125,3.625,19.125,18.875
30th,Belarus,1.875,2.75,2.625,5.125,6.375,2.5,18.75,19.375
31st,Northern Ireland,4.625,3.25,2.125,4,4,5.25,18,18.625
32nd,Finland,4.75,2.5,3.625,3.5,3.5,2.875,17.875,16
33rd,Cyprus,3.25,4.75,4.375,2.25,2,3.625,16.625,17
34th,Iceland,4.625,1.875,2,4.375,3.125,3,16,14.375
35th,Bosnia and Herzegovina,2.875,2.75,3.25,3.25,3.375,4.25,15.5,16.875
36th,Georgia,2.375,3.75,2.625,3.875,2.5,3.5,15.125,16.25
37th,Wales,2.875,3.75,2.375,0.875,4.5,2.625,14.375,14.125
38th,Kazakhstan,3.5,2.625,3,2.375,2.5,4.25,14,14.75
39th,Latvia,3,2.625,2.5,2.375,2.75,3,13.25,13.25
40th,Gibraltar,1.25,4.25,3.25,1.875,2.125,3,12.75,14.5
41st,North Macedonia,3.25,1.75,2.125,3.125,2,2.25,12.25,11.25
42nd,Moldova,2.625,1.375,2.25,2.625,2.75,2.875,11.625,11.875
43rd,Albania,2.75,1.5,1.125,2,1.75,1.5,9.125,7.875
44th,Luxembourg,1.375,2,1.375,1.875,2.25,1,8.875,8.5
45th,Lithuania,0.833,1,1.25,1.5,1,1.125,5.583,5.875
46th,Faroe Islands,1.25,1.625,1.5,0.875,0.25,1.375,5.5,5.625
47th,Armenia,1.625,1.125,0.375,1.75,0.375,1.75,5.25,5.375
48th,Montenegro,0.75,0.25,0.875,1,1.667,0.625,4.542,4.417
49th,Kosovo,0,1.5,0.333,1.167,0.667,0.167,3.667,3.833
50th,Estonia,0.125,0.167,1,0,1,0.667,2.292,2.833
51st,Liechtenstein,0.5,0,0,0,1,0,1.5,1
52nd,Malta,0,0.333,0,0,0.167,0.167,0.5,0.667
53rd,San Marino,0,0.5,0,0,0,0,0.5,0.5
54th,Andorra,0,0.167,0,0,0,0,0.167,0.167
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
