Pos,Nation,59/60,60/61,61/62,62/63,63/64,64/65,Coef. 64/65,Coef. 65/66
1st,England,26.75,27.625,26.625,30.625,26.5,24.722,138.125,136.097
2nd,Germany,22.438,20.125,21,23.786,21.25,25.429,108.598,111.589
3rd,Italy,18.071,20.857,24.714,18.062,22.214,19.812,103.92,105.661
4th,Spain,22,21.286,20.625,20.857,18.286,22.286,103.054,103.339
5th,France,16.929,17.5,17.571,15.071,17.786,16.5,84.857,84.429
6th,Portugal,18.167,17.333,13.917,16.167,13.083,13.167,78.667,73.667
7th,Belgium,10,13,13.375,10.1,16.3,12.5,62.775,65.275
8th,Austria,14.6,9.6,12.2,9.8,12.4,7.5,58.6,51.5
9th,Netherlands,12.9,12.9,7.9,9.1,15.1,16,57.9,61
10th,Scotland,10.9,10.3,11.5,9.333,10,15.8,52.033,56.933
11th,Türkiye,10.6,12,13.4,5.9,8.2,8.4,50.1,47.9
12th,Czechia,14.625,8,7.6,11.8,7.8,4.8,49.825,40
13th,Greece,11.6,9.7,7.9,10.9,6.7,6.9,46.8,42.1
14th,Denmark,11,9.6,5.9,10.7,9.2,6.2,46.4,41.6
15th,Bulgaria,8.625,6.625,11.3,9.25,8,9.6,43.8,44.775
16th,Ukraine,5.375,11,9.75,9.25,6.375,6.875,41.75,43.25
17th,Croatia,5,6.6,14,6,8.125,11.125,39.725,45.85
18th,Israel,8.2,9,6.7,8.9,4.75,5.875,37.55,35.225
19th,Romania,4.125,3.625,12.25,5.5,10,4.125,35.5,35.5
20th,Republic of Ireland,4,7.875,4.625,10.75,2.875,4.75,30.125,30.875
21st,Serbia,6.875,3.875,2.5,7,9.75,6.75,30,29.875
22nd,Switzerland,5.625,4,5.5,7.75,5.625,8,28.5,30.875
23rd,Northern Ireland,3.625,7,4.875,5,6.125,7.75,26.625,30.75
24th,Norway,5.375,5.75,3.5,6.75,4.75,3.5,26.125,24.25
25th,Poland,2.375,5,7.875,4.625,6,5.625,25.875,29.125
26th,Slovenia,5,6.375,4.25,1.5,5.5,4,22.625,21.625
27th,Sweden,2.875,4.5,4,6.375,3.625,8.125,21.375,26.625
28th,Hungary,3.5,4.25,4.5,4.5,4.125,3.375,20.875,20.75
29th,Gibraltar,5.375,3.375,3.125,4.625,3.625,3,20.125,17.75
30th,Finland,3.625,6.75,2.75,3.75,2.875,5.875,19.75,22
31st,Slovakia,3.5,3.875,4.5,4.125,3,3,19,18.5
32nd,Cyprus,5.625,4.75,3.625,2.25,1.5,4.25,17.75,16.375
33rd,Georgia,2.375,1.875,3,3,5,2.125,15.25,15
34th,Wales,3.375,4.25,1.125,3.75,2.375,2.875,14.875,14.375
35th,Kazakhstan,2.875,1.125,3.375,4,2.875,1.5,14.25,12.875
36th,Azerbaijan,1.25,2.25,3,3.75,2.625,2.75,12.875,14.375
37th,Latvia,4.375,3.875,1.375,1.5,1.625,3,12.75,11.375
38th,Bosnia and Herzegovina,5,1,2.125,2.875,1.625,5.25,12.625,12.875
39th,Moldova,2.375,2.75,3,1.375,3,3.75,12.5,13.875
40th,Iceland,3.875,2.25,3.125,1.5,1.75,2.75,12.5,11.375
41st,Armenia,1.625,1.875,1.125,2.25,2.75,1.25,9.625,9.25
42nd,Albania,1.75,1.625,2.75,1.75,1.25,3.25,9.125,10.625
43rd,Belarus,1.25,2.5,2.625,1.25,1.25,2.125,8.875,9.75
44th,North Macedonia,0.875,2.125,1.5,1.25,2.75,1.875,8.5,9.5
45th,Luxembourg,1.625,1,1.875,1.5,1.875,1.5,7.875,7.75
46th,Faroe Islands,1.375,1.375,0.875,1.75,1.75,0.75,7.125,6.5
47th,Liechtenstein,0,2,0,2.5,2,2.5,6.5,9
48th,Lithuania,0.25,1,0.875,2,0.5,0.75,4.625,5.125
49th,Montenegro,0.375,0.875,1.125,0.625,1.25,0.75,4.25,4.625
50th,Kosovo,0.667,0.333,0.167,0.667,0.667,0.333,2.5,2.167
51st,Estonia,0.167,1,0.5,0.167,0.167,1.167,2,3
52nd,Malta,0.833,0.167,0,0,0,0,1,0.167
53rd,Andorra,0.167,0,0,0,0,0,0.167,0
54th,San Marino,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
