Pos,Nation,53/54,54/55,55/56,56/57,57/58,58/59,Coef. 58/59,Coef. 59/60
1st,England,29.125,24.125,27.125,24.188,27.5,23.938,132.062,126.875
2nd,Germany,23.143,19.312,17.571,21.929,24.786,24.25,106.741,107.848
3rd,Italy,20.375,21.571,19.5,22.5,22.429,22.357,106.375,108.357
4th,Spain,18.214,20.857,22.429,23,21.375,21.786,105.875,109.446
5th,France,15.214,14.286,22.786,18.286,13.786,19.214,84.357,88.357
6th,Portugal,16.75,13.5,17.25,16.333,15.5,9.5,79.333,72.083
7th,Netherlands,12.9,15.8,14.7,10.5,11.1,12.3,65,64.4
8th,Türkiye,10.6,18.2,8.1,9.3,11,12.7,57.2,59.3
9th,Croatia,12.375,15.25,8.7,8.5,10.4,7.2,55.225,50.05
10th,Scotland,13,7.2,13.6,9,9.1,8.9,51.9,47.8
11th,Israel,10.5,7.875,13.125,12.375,5.9,8.5,49.775,47.775
12th,Greece,12.8,13.3,7.9,9.7,5.8,8.3,49.5,45
13th,Austria,10.3,11.3,7.7,11.9,5.9,10.9,47.1,47.7
14th,Denmark,11.8,8.1,9.8,7.6,9.3,9,46.6,43.8
15th,Belgium,10.3,9.5,7.8,10.1,7.3,6.6,45,41.3
16th,Republic of Ireland,5.75,9.5,6.625,7.625,12.125,3.875,41.625,39.75
17th,Bulgaria,8.9,4.8,7.6,11.5,8.625,8.125,41.425,40.65
18th,Sweden,7.625,9.875,6.75,6.625,6.875,5.875,37.75,36
19th,Ukraine,10.5,3.625,6.625,8.125,8.125,7.125,37,33.625
20th,Czechia,3.625,4.125,11.625,7.875,8.75,15.625,36,48
21st,Serbia,5.6,7.6,6.25,4.375,8.875,4.75,32.7,31.85
22nd,Switzerland,3.75,5.625,5.5,4.75,10.75,9.375,30.375,36
23rd,Hungary,3.75,4.5,4.25,8.375,7.5,2.625,28.375,27.25
24th,Norway,5.375,7.375,4.875,4.5,6,4.375,28.125,27.125
25th,Romania,3.125,6,6.75,7.125,4.625,8.375,27.625,32.875
26th,Slovenia,6,3.375,3.625,4.75,5.25,5,23,22
27th,Northern Ireland,3.375,9.125,3.375,3.125,3.75,6.625,22.75,26
28th,Poland,5.125,5.375,3.25,4.625,3,5.625,21.375,21.875
29th,Gibraltar,2.75,5.25,4.625,4.875,3.125,3,20.625,20.875
30th,Slovakia,4.625,5.625,2.875,3.75,2.5,4.75,19.375,19.5
31st,Finland,2,4.75,3.125,2.875,4.25,5.125,17,20.125
32nd,Bosnia and Herzegovina,3.375,2.625,4.375,4,2.5,3.375,16.875,16.875
33rd,Kazakhstan,3.625,2.5,3.75,2.875,3.625,3.375,16.375,16.125
34th,Belarus,2.75,1.375,4.25,3.125,4.625,2.125,16.125,15.5
35th,Georgia,3.875,3.125,4,2.875,1.875,3.125,15.75,15
36th,Azerbaijan,2.875,2.375,3.125,1.875,5.125,1.5,15.375,14
37th,Wales,1.875,3.375,2.75,4.375,1.875,7,14.25,19.375
38th,Cyprus,1.875,3.375,1.75,3.625,3.25,2.25,13.875,14.25
39th,Iceland,2.75,3.25,1,1.375,4.25,0.875,12.625,10.75
40th,Armenia,2.25,2.5,1.5,2.5,2.25,1.375,11,10.125
41st,Moldova,0.875,3.375,2.375,2,1.25,1.875,9.875,10.875
42nd,North Macedonia,1.625,1.375,1.5,1.625,2.875,2.25,9,9.625
43rd,Latvia,1.75,1.75,2.25,1.5,1.125,4,8.375,10.625
44th,Albania,1.75,0.875,1.75,1.875,1.125,2.375,7.375,8
45th,Montenegro,1,1.125,1,1.75,2.375,1.5,7.25,7.75
46th,Luxembourg,0.875,1.5,1,2.125,1.625,1.875,7.125,8.125
47th,Lithuania,1.375,0.375,2,0.875,1.125,1,5.75,5.375
48th,Faroe Islands,0.75,1.875,1.125,0.875,1.125,1.375,5.75,6.375
49th,Liechtenstein,0.5,1,0,0.5,1,0,3,2.5
50th,Estonia,0.5,0.667,1,0,0.167,0.667,2.333,2.5
51st,Malta,0.5,0,0.833,0.167,0,0,1.5,1
52nd,Kosovo,0.167,0.167,0,0.333,0.667,0,1.333,1.167
53rd,San Marino,0.167,0,0,0,0.667,0,0.833,0.667
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
