Pos,Nation,49/50,50/51,51/52,52/53,53/54,54/55,Coef. 54/55,Coef. 55/56
1st,England,22.625,23.062,21.722,26.571,29.125,24.125,123.106,124.606
2nd,Germany,24.188,22.562,22.429,23.438,23.143,19.312,115.759,110.884
3rd,Spain,20,23.429,23.5,19.222,18.214,20.857,104.365,105.222
4th,Italy,17.214,22.357,16.5,25.857,20.375,21.571,102.304,106.661
5th,France,16.188,19.312,17.357,15.714,15.214,14.286,83.786,81.884
6th,Portugal,18.583,16.167,11.417,15.667,16.75,13.5,78.583,73.5
7th,Netherlands,10.5,12.5,14,10.5,12.9,15.8,60.4,65.7
8th,Greece,9.7,7.7,11.2,15.5,12.8,13.3,56.9,60.5
9th,Scotland,11.917,10.3,8.8,10.1,13,7.2,54.117,49.4
10th,Denmark,11.4,14.5,8.1,7.4,11.8,8.1,53.2,49.9
11th,Türkiye,9.5,13,12.1,6.7,10.6,18.2,51.9,60.6
12th,Austria,10.7,11.9,9.2,8.9,10.3,11.3,51,51.6
13th,Belgium,8.2,6.1,14.6,9.8,10.3,9.5,49,50.3
14th,Bulgaria,9,11.5,8.9,6.4,8.9,4.8,44.7,40.5
15th,Croatia,9.1,4.7,7.7,9.5,12.375,15.25,43.375,49.525
16th,Ukraine,12,7.5,6.375,5.875,10.5,3.625,42.25,33.875
17th,Serbia,13.25,7.375,6.625,6.4,5.6,7.6,39.25,33.6
18th,Czechia,8.5,5.875,13.125,8,3.625,4.125,39.125,34.75
19th,Switzerland,5.25,8.25,10.875,8.375,3.75,5.625,36.5,36.875
20th,Norway,8.375,4,6.75,11.5,5.375,7.375,36,35
21st,Israel,3.125,6.25,3.625,11.25,10.5,7.875,34.75,39.5
22nd,Republic of Ireland,8,4.5,5.25,7.75,5.75,9.5,31.25,32.75
23rd,Sweden,4,8,5.625,3.25,7.625,9.875,28.5,34.375
24th,Poland,5.625,4.625,9.375,3.5,5.125,5.375,28.25,28
25th,Romania,5,3.5,6.625,5.375,3.125,6,23.625,24.625
26th,Slovakia,3.875,5.375,5.5,3.5,4.625,5.625,22.875,24.625
27th,Slovenia,3.625,3.875,5.5,3.5,6,3.375,22.5,22.25
28th,Hungary,3.5,3.875,5.75,4.5,3.75,4.5,21.375,22.375
29th,Northern Ireland,3.25,4.875,3.25,4.75,3.375,9.125,19.5,25.375
30th,Finland,5,5.25,2.625,3.375,2,4.75,18.25,18
31st,Cyprus,5.625,3.25,4.625,2.625,1.875,3.375,18,15.75
32nd,Georgia,2.375,2.875,3,4.5,3.875,3.125,16.625,17.375
33rd,Bosnia and Herzegovina,4.375,2.625,3.5,2.5,3.375,2.625,16.375,14.625
34th,Kazakhstan,2.75,3.5,2.625,3.375,3.625,2.5,15.875,15.625
35th,Gibraltar,3.5,2.625,4.125,2.25,2.75,5.25,15.25,17
36th,Wales,2.375,3.75,3.375,3.375,1.875,3.375,14.75,15.75
37th,Azerbaijan,2.75,2.625,2.375,2.625,2.875,2.375,13.25,12.875
38th,Belarus,2.75,3,2.75,1.75,2.75,1.375,13,11.625
39th,Iceland,2.875,1.25,1.75,3.375,2.75,3.25,12,12.375
40th,Latvia,1.25,2.25,3.75,3,1.75,1.75,12,12.5
41st,North Macedonia,1.625,1.375,2,1.875,1.625,1.375,8.5,8.25
42nd,Moldova,2.375,2.375,1,1.625,0.875,3.375,8.25,9.25
43rd,Armenia,1.75,1.375,1,1.625,2.25,2.5,8,8.75
44th,Faroe Islands,1.5,2.375,1.25,1.375,0.75,1.875,7.25,7.625
45th,Montenegro,1.25,0.75,2,1.75,1,1.125,6.75,6.625
46th,Albania,1.75,1.125,0.875,1,1.75,0.875,6.5,5.625
47th,Luxembourg,1.625,0.75,1.25,1.75,0.875,1.5,6.25,6.125
48th,Lithuania,0.75,0.375,1.625,0.833,1.375,0.375,4.958,4.583
49th,Estonia,0.667,0.833,0.5,0.75,0.5,0.667,3.25,3.25
50th,Kosovo,0.667,0.5,1.167,0.167,0.167,0.167,2.667,2.167
51st,Liechtenstein,0,0.5,1,0,0.5,1,2,3
52nd,Malta,0.167,0,0,0.167,0.5,0,0.833,0.667
53rd,San Marino,0,0,0,0,0.167,0,0.167,0.167
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
