Pos,Nation,40/41,41/42,42/43,43/44,44/45,45/46,Coef. 45/46,Coef. 46/47
1st,England,25.444,23.556,25.625,27.812,27.778,23.312,130.215,128.083
2nd,Germany,19.5,18.857,23.714,21.312,21.438,24.5,104.821,109.821
3rd,Italy,24.429,18.625,22.143,20.429,16.786,23.714,102.411,101.696
4th,Spain,18.214,21.571,20.125,20.429,20.643,24.429,100.982,107.196
5th,France,21,18.571,19.357,19.357,18.357,18.214,96.643,93.857
6th,Portugal,17,14.583,13,12,17,14.5,73.583,71.083
7th,Netherlands,10.4,14.9,12.9,15.7,13,9.3,66.9,65.8
8th,Scotland,9.7,15.9,9.6,10.5,11.9,8.6,57.6,56.5
9th,Austria,8.8,15.5,10.6,9.5,10.8,9.1,55.2,55.5
10th,Greece,14.4,10,8.3,7.8,13.4,11.8,53.9,51.3
11th,Belgium,12.2,7.5,12.4,11.7,9.4,12,53.2,53
12th,Türkiye,6,14.6,7,11.2,13.6,11.4,52.4,57.8
13th,Denmark,10.7,8.9,11.1,10.5,11.1,6.8,52.3,48.4
14th,Ukraine,5.5,9.625,6.875,9.75,11.75,6.125,43.5,44.125
15th,Bulgaria,13.5,7.25,10.75,6.3,4.5,9.3,42.3,38.1
16th,Serbia,8,6.8,10.1,9.25,6.75,3.9,40.9,36.8
17th,Croatia,10.75,6.625,7.625,7.5,4.625,8,37.125,34.375
18th,Switzerland,6.75,6.375,10.25,6,7.3,8,36.675,37.925
19th,Republic of Ireland,4.25,3.875,7,8.875,8.625,5.75,32.625,34.125
20th,Hungary,4.25,7,7,5.625,5.5,5,29.375,30.125
21st,Czechia,4.625,7.4,5.7,5.75,5.5,5.25,28.975,29.6
22nd,Sweden,3.25,4.875,3.375,8.5,8.625,3.375,28.625,28.75
23rd,Israel,4.5,8.25,7,4.375,3.125,8.25,27.25,31
24th,Norway,5.5,5.125,4.125,7.25,4.75,10.375,26.75,31.625
25th,Poland,4,5.875,7.625,2.25,3.25,7.625,23,26.625
26th,Slovenia,3.75,5.125,3.875,8,2.25,1.875,23,21.125
27th,Azerbaijan,4.125,5.25,4.75,3.25,5.375,3.25,22.75,21.875
28th,Cyprus,4.875,3.125,3.25,4.75,4.375,2.25,20.375,17.75
29th,Finland,4,4.375,4.75,2.5,3.625,3.5,19.25,18.75
30th,Romania,5.6,2.25,3.125,4.625,3.375,7.125,18.975,20.5
31st,Slovakia,2,3.875,2.375,4,6.625,4.5,18.875,21.375
32nd,Kazakhstan,4.25,3.75,3.5,2.625,3,2.375,17.125,15.25
33rd,Bosnia and Herzegovina,3.25,4.375,2.875,2.75,3.25,3.25,16.5,16.5
34th,Wales,3.375,3.875,2.875,3.75,2.375,0.875,16.25,13.75
35th,Northern Ireland,4,2.25,4.625,3.25,2.125,4,16.25,16.25
36th,Iceland,3.625,2.75,4.625,1.875,2,4.375,14.875,15.625
37th,Georgia,3,2.875,2.375,3.75,2.625,3.875,14.625,15.5
38th,Gibraltar,3.625,1.75,1.25,4.25,3.25,1.875,14.125,12.375
39th,Belarus,3.75,2.75,1.875,2.75,2.625,5.125,13.75,15.125
40th,Latvia,1.75,1.5,3,2.625,2.5,2.375,11.375,12
41st,North Macedonia,1.25,2.5,3.25,1.75,2.125,3.125,10.875,12.75
42nd,Moldova,1.25,2.25,2.625,1.375,2.25,2.625,9.75,11.125
43rd,Albania,2.5,1.375,2.75,1.5,1.125,2,9.25,8.75
44th,Faroe Islands,2.25,1.25,1.25,1.625,1.5,0.875,7.875,6.5
45th,Luxembourg,1.75,1.125,1.375,2,1.375,1.875,7.625,7.75
46th,Lithuania,1.25,2.5,0.833,1,1.25,1.5,6.833,7.083
47th,Armenia,0.875,0.75,1.625,1.125,0.375,1.75,4.75,5.625
48th,Estonia,1.833,0.667,0.125,0.167,1,0,3.792,1.958
49th,Montenegro,0.875,0.875,0.75,0.25,0.875,1,3.625,3.75
50th,Kosovo,0.833,0.5,0,1.5,0.333,1.167,3.167,3.5
51st,Liechtenstein,0.5,0,0.5,0,0,0,1,0.5
52nd,San Marino,0,0,0,0.5,0,0,0.5,0.5
53rd,Andorra,0.333,0,0,0.167,0,0,0.5,0.167
54th,Malta,0,0,0,0.333,0,0,0.333,0.333
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
