Pos,Nation,54/55,55/56,56/57,57/58,58/59,59/60,Coef. 59/60,Coef. 60/61
1st,England,24.125,27.125,24.188,27.5,24.312,26.375,127.25,129.5
2nd,Spain,20.857,22.429,23,21.375,21.786,22,109.446,110.589
3rd,Italy,21.571,19.5,22.5,22.429,22.5,18.071,108.5,105
4th,Germany,19.312,17.571,21.929,24.786,24.25,22.312,107.848,110.848
5th,France,14.286,22.786,18.286,13.786,19.214,16.929,88.357,91
6th,Portugal,13.5,17.25,16.333,15.5,9.5,18.167,72.083,76.75
7th,Netherlands,15.8,14.7,10.5,11.1,12.3,12.9,64.4,61.5
8th,Türkiye,18.2,8.1,9.3,11,12.7,10.6,59.3,51.7
9th,Croatia,15.25,8.7,8.5,10.4,7.2,5,50.05,39.8
10th,Czechia,4.125,11.625,7.875,8.75,15.625,14.625,48,58.5
11th,Scotland,7.2,13.6,9,9.1,8.9,10.9,47.8,51.5
12th,Israel,7.875,13.125,12.375,5.9,8.5,8.2,47.775,48.1
13th,Austria,11.3,7.7,11.9,5.9,10.9,14.6,47.7,51
14th,Greece,13.3,7.9,9.7,5.8,8.3,11.6,45,43.3
15th,Denmark,8.1,9.8,7.6,9.3,9,11,43.8,46.7
16th,Belgium,9.5,7.8,10.1,7.3,6.6,10,41.3,41.8
17th,Bulgaria,4.8,7.6,11.5,8.625,8.125,8.625,40.65,44.475
18th,Republic of Ireland,9.5,6.625,7.625,12.125,3.875,4,39.75,34.25
19th,Switzerland,5.625,5.5,4.75,10.75,9.375,5.625,36,36
20th,Sweden,9.875,6.75,6.625,6.875,5.875,2.875,36,29
21st,Ukraine,3.625,6.625,8.125,8.125,7.125,5.375,33.625,35.375
22nd,Romania,6,6.75,7.125,4.625,8.375,4.125,32.875,31
23rd,Serbia,7.6,6.25,4.375,8.875,4.75,6.875,31.85,31.125
24th,Hungary,4.5,4.25,8.375,7.5,2.625,3.5,27.25,26.25
25th,Norway,7.375,4.875,4.5,6,4.375,5.375,27.125,25.125
26th,Northern Ireland,9.125,3.375,3.125,3.75,6.625,3.625,26,20.5
27th,Slovenia,3.375,3.625,4.75,5.25,5,5,22,23.625
28th,Poland,5.375,3.25,4.625,3,5.625,2.375,21.875,18.875
29th,Gibraltar,5.25,4.625,4.875,3.125,3,5.375,20.875,21
30th,Finland,4.75,3.125,2.875,4.25,5.125,3.625,20.125,19
31st,Slovakia,5.625,2.875,3.75,2.5,4.75,3.5,19.5,17.375
32nd,Wales,3.375,2.75,4.375,1.875,7,3.375,19.375,19.375
33rd,Bosnia and Herzegovina,2.625,4.375,4,2.5,3.375,5,16.875,19.25
34th,Kazakhstan,2.5,3.75,2.875,3.625,3.375,2.875,16.125,16.5
35th,Belarus,1.375,4.25,3.125,4.625,2.125,1.25,15.5,15.375
36th,Georgia,3.125,4,2.875,1.875,3.125,2.375,15,14.25
37th,Cyprus,3.375,1.75,3.625,3.25,2.25,5.625,14.25,16.5
38th,Azerbaijan,2.375,3.125,1.875,5.125,1.5,1.25,14,12.875
39th,Moldova,3.375,2.375,2,1.25,1.875,2.375,10.875,9.875
40th,Iceland,3.25,1,1.375,4.25,0.875,3.875,10.75,11.375
41st,Latvia,1.75,2.25,1.5,1.125,4,4.375,10.625,13.25
42nd,Armenia,2.5,1.5,2.5,2.25,1.375,1.625,10.125,9.25
43rd,North Macedonia,1.375,1.5,1.625,2.875,2.25,0.875,9.625,9.125
44th,Luxembourg,1.5,1,2.125,1.625,1.875,1.625,8.125,8.25
45th,Albania,0.875,1.75,1.875,1.125,2.375,1.75,8,8.875
46th,Montenegro,1.125,1,1.75,2.375,1.5,0.375,7.75,7
47th,Faroe Islands,1.875,1.125,0.875,1.125,1.375,1.375,6.375,5.875
48th,Lithuania,0.375,2,0.875,1.125,1,0.25,5.375,5.25
49th,Estonia,0.667,1,0,0.167,0.667,0.167,2.5,2
50th,Liechtenstein,1,0,0.5,1,0,0,2.5,1.5
51st,Kosovo,0.167,0,0.333,0.667,0,0.667,1.167,1.667
52nd,Malta,0,0.833,0.167,0,0,0.833,1,1.833
53rd,San Marino,0,0,0,0.667,0,0,0.667,0.667
54th,Andorra,0,0,0,0,0,0.167,0,0.167
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
