Pos,Nation,25/26,26/27,27/28,28/29,29/30,30/31,Coef. 30/31,Coef. 31/32
1st,England,27.5,22.444,25.286,24.611,26.222,25.778,126.063,124.341
2nd,Spain,20.778,25.714,21.778,23.214,22.5,19.75,113.984,112.956
3rd,Italy,22.286,22.667,22,20.5,21.857,21.857,109.31,108.881
4th,Germany,20.286,17.714,17.5,21.929,19.643,20.786,97.071,97.571
5th,France,15.286,17.857,20.286,15.214,18.5,19.429,87.143,91.286
6th,Portugal,17.4,15.2,12.667,14.833,16.25,14.667,76.35,73.617
7th,Netherlands,13.5,11.417,16.8,16.1,9.1,11.8,66.917,65.217
8th,Denmark,12.875,11.1,11.5,13,11.3,5.9,59.775,52.8
9th,Scotland,7,11,14.5,10.1,13.7,9,56.3,58.3
10th,Greece,13.75,10.4,9.4,13.4,7.9,8.6,54.85,49.7
11th,Croatia,12.625,12.5,7.5,10.5,6.6,5.5,49.725,42.6
12th,Serbia,8.6,7.625,9.25,11.125,10.25,8.8,46.85,47.05
13th,Türkiye,5.4,14.9,11.5,9.9,4.7,11,46.4,52
14th,Austria,10.4,8,6.6,9,10.625,10.7,44.625,44.925
15th,Czechia,10.75,9,9,5.7,8.1,13.8,42.55,45.6
16th,Belgium,7.9,8.3,6.3,7.9,11.2,13.5,41.6,47.2
17th,Ukraine,8.2,10.625,7,6.6,8.1,8.375,40.525,40.7
18th,Norway,8,8.125,4.875,6.875,10.875,7,38.75,37.75
19th,Switzerland,8.3,4.4,8.8,6.25,8.25,8.5,36,36.2
20th,Poland,7,8.75,3,4.375,9.25,4.375,32.375,29.75
21st,Israel,8.375,5.1,6.25,6.75,5.25,6,31.725,29.35
22nd,Romania,5,3.375,11.75,4.75,5.875,7.25,30.75,33
23rd,Bulgaria,4.75,4,8.25,8.375,4.625,3.875,30,29.125
24th,Sweden,2.875,6.125,3.25,7.625,3,4.875,22.875,24.875
25th,Hungary,5.5,3.625,3.625,4.375,5,4.75,22.125,21.375
26th,Slovakia,3,5.125,3.5,4.875,4.125,6.625,20.625,24.25
27th,Kazakhstan,4.125,3.875,4.75,4.25,3.25,2.75,20.25,18.875
28th,Azerbaijan,4.25,4,5.5,3.125,3,4.75,19.875,20.375
29th,Slovenia,5,2.375,5,3.75,3.5,4.75,19.625,19.375
30th,Cyprus,5.25,3.5,3.75,3.5,3.125,4.25,19.125,18.125
31st,Bosnia and Herzegovina,3.75,5.875,4.125,2,2.75,5.125,18.5,19.875
32nd,Finland,3.5,3.625,2.5,3.125,4.5,4.125,17.25,17.875
33rd,Georgia,3.625,2.375,2.375,4.5,3.25,1.75,16.125,14.25
34th,Republic of Ireland,1.125,1,4.875,3.5,5.125,5.25,15.625,19.75
35th,Iceland,2.375,2.625,1.625,3.625,4.25,1.875,14.5,14
36th,Latvia,2.75,2.375,1.75,1.125,5.75,2.625,13.75,13.625
37th,Belarus,2,3,2,3.375,2.125,5.125,12.5,15.625
38th,Moldova,2.5,3.375,2.375,2.125,1.75,1.5,12.125,11.125
39th,North Macedonia,2.25,2.875,1.5,2.375,2.625,1.75,11.625,11.125
40th,Northern Ireland,2.125,2.75,2.875,1.5,2.25,3,11.5,12.375
41st,Albania,3.125,1.25,3.375,2.5,0.75,1.375,11,9.25
42nd,Armenia,1.375,3,3,1,0.875,1.5,9.25,9.375
43rd,Wales,1.5,1,2.5,2.25,1.5,3.25,8.75,10.5
44th,Faroe Islands,1.5,1.75,2.625,1.875,1,1.125,8.75,8.375
45th,Lithuania,2.25,1.5,2,1.25,1.375,0.5,8.375,6.625
46th,Luxembourg,2.125,1,1.25,0.75,2.5,1.25,7.625,6.75
47th,Gibraltar,0.833,2.167,1.667,1.125,1,1.125,6.792,7.083
48th,Estonia,1.5,0.75,0.625,1.333,0.875,0.75,5.083,4.333
49th,Montenegro,1,0.667,1,0.333,1.833,0.5,4.833,4.333
50th,Kosovo,0,0.875,0,1.167,0.667,1.667,2.708,4.375
51st,Liechtenstein,0,0.5,0,0,1.5,0,2,2
52nd,Malta,0.75,0,0,1,0,0.333,1.75,1.333
53rd,Andorra,0,0,0,0.167,0.333,0,0.5,0.5
54th,San Marino,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
