Pos,Nation,39/40,40/41,41/42,42/43,43/44,44/45,Coef. 44/45,Coef. 45/46
1st,England,24.111,25.444,23.556,25.625,27.812,27.778,126.549,130.215
2nd,Germany,24.429,19.5,18.857,23.714,21.312,21.438,107.812,104.821
3rd,Italy,21.25,24.429,18.625,22.143,20.429,16.786,106.875,102.411
4th,Spain,18,18.214,21.571,20.125,20.429,20.643,98.339,100.982
5th,France,17.857,21,18.571,19.357,19.357,18.357,96.143,96.643
6th,Portugal,11.583,17,14.583,13,12,17,68.167,73.583
7th,Netherlands,7.4,10.4,14.9,12.9,15.7,13,61.3,66.9
8th,Austria,12.2,8.8,15.5,10.6,9.5,10.8,56.6,55.2
9th,Scotland,10.6,9.7,15.9,9.6,10.5,11.9,56.3,57.6
10th,Belgium,11.4,12.2,7.5,12.4,11.7,9.4,55.2,53.2
11th,Türkiye,14.9,6,14.6,7,11.2,13.6,53.7,52.4
12th,Denmark,11.1,10.7,8.9,11.1,10.5,11.1,52.3,52.3
13th,Greece,8.5,14.4,10,8.3,7.8,13.4,49,53.9
14th,Bulgaria,5.7,13.5,7.25,10.75,6.3,4.5,43.5,42.3
15th,Serbia,8.7,8,6.8,10.1,9.25,6.75,42.85,40.9
16th,Croatia,10.125,10.75,6.625,7.625,7.5,4.625,42.625,37.125
17th,Switzerland,10.25,6.75,6.375,10.25,6,7.3,39.625,36.675
18th,Ukraine,7.25,5.5,9.625,6.875,9.75,11.75,39,43.5
19th,Czechia,9.625,4.625,7.4,5.7,5.75,5.5,33.1,28.975
20th,Slovenia,8.75,3.75,5.125,3.875,8,2.25,29.5,23
21st,Norway,7.25,5.5,5.125,4.125,7.25,4.75,29.25,26.75
22nd,Israel,4.875,4.5,8.25,7,4.375,3.125,29,27.25
23rd,Poland,7.875,4,5.875,7.625,2.25,3.25,27.625,23
24th,Hungary,3.25,4.25,7,7,5.625,5.5,27.125,29.375
25th,Republic of Ireland,2.625,4.25,3.875,7,8.875,8.625,26.625,32.625
26th,Sweden,4.75,3.25,4.875,3.375,8.5,8.625,24.75,28.625
27th,Romania,8.125,5.6,2.25,3.125,4.625,3.375,23.725,18.975
28th,Azerbaijan,3.625,4.125,5.25,4.75,3.25,5.375,21,22.75
29th,Finland,4.125,4,4.375,4.75,2.5,3.625,19.75,19.25
30th,Cyprus,3.5,4.875,3.125,3.25,4.75,4.375,19.5,20.375
31st,Northern Ireland,3.875,4,2.25,4.625,3.25,2.125,18,16.25
32nd,Wales,3.5,3.375,3.875,2.875,3.75,2.375,17.375,16.25
33rd,Bosnia and Herzegovina,4,3.25,4.375,2.875,2.75,3.25,17.25,16.5
34th,Kazakhstan,2.375,4.25,3.75,3.5,2.625,3,16.5,17.125
35th,Slovakia,3.625,2,3.875,2.375,4,6.625,15.875,18.875
36th,Iceland,2.125,3.625,2.75,4.625,1.875,2,15,14.875
37th,Gibraltar,3.125,3.625,1.75,1.25,4.25,3.25,14,14.125
38th,Georgia,1.375,3,2.875,2.375,3.75,2.625,13.375,14.625
39th,Belarus,1.875,3.75,2.75,1.875,2.75,2.625,13,13.75
40th,Latvia,2.75,1.75,1.5,3,2.625,2.5,11.625,11.375
41st,North Macedonia,1.625,1.25,2.5,3.25,1.75,2.125,10.375,10.875
42nd,Albania,1.75,2.5,1.375,2.75,1.5,1.125,9.875,9.25
43rd,Moldova,2.125,1.25,2.25,2.625,1.375,2.25,9.625,9.75
44th,Luxembourg,2.25,1.75,1.125,1.375,2,1.375,8.5,7.625
45th,Faroe Islands,1.625,2.25,1.25,1.25,1.625,1.5,8,7.875
46th,Lithuania,1.375,1.25,2.5,0.833,1,1.25,6.958,6.833
47th,Armenia,1.875,0.875,0.75,1.625,1.125,0.375,6.25,4.75
48th,Estonia,0.5,1.833,0.667,0.125,0.167,1,3.292,3.792
49th,Montenegro,0.375,0.875,0.875,0.75,0.25,0.875,3.125,3.625
50th,Kosovo,0,0.833,0.5,0,1.5,0.333,2.833,3.167
51st,Liechtenstein,0.5,0.5,0,0.5,0,0,1.5,1
52nd,San Marino,0,0,0,0,0.5,0,0.5,0.5
53rd,Malta,0.167,0,0,0,0.333,0,0.5,0.333
54th,Andorra,0,0.333,0,0,0.167,0,0.5,0.5
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
