Pos,Nation,19/20,20/21,21/22,22/23,23/24,24/25,Coef. 24/25,Coef. 25/26
1st,England,18.571,24.357,21,23,24.5,25.75,111.428,118.607
2nd,Spain,18.928,19.5,18.428,16.571,16.25,25.714,89.677,96.463
3rd,Italy,14.928,16.285,15.714,22.357,17.571,21.625,86.855,93.552
4th,Germany,18.714,15.214,16.214,17.125,14.357,19.714,81.624,82.624
5th,France,11.666,7.916,18.416,12.583,17.167,16.786,67.748,72.867
6th,Netherlands,9.4,9.2,19.2,13.5,10.8,13,62.1,65.7
7th,Portugal,10.3,9.6,12.916,12.5,13.833,16.6,59.149,65.449
8th,Belgium,7.6,6,6.6,14.2,11.9,6.7,46.3,45.4
9th,Türkiye,5,3.1,6.7,11.8,14.25,14.2,40.85,50.05
10th,Scotland,9.75,8.5,7.9,3.5,9.8,9.9,39.45,39.6
11th,Switzerland,6.4,5.125,7.75,8.5,6.8,9.1,34.575,37.275
12th,Ukraine,7.2,6.8,4.2,5.7,8,5.6,31.9,30.3
13th,Serbia,6,5.5,9.5,5.375,5.4,5.9,31.775,31.675
14th,Austria,5.8,6.7,10.4,4.9,3.5,7.8,31.3,33.3
15th,Norway,3.75,6.5,7.625,5.75,5.625,7.75,29.25,33.25
16th,Greece,4.9,5.1,8,2.125,8.7,12,28.825,35.925
17th,Denmark,5.125,4.125,7.8,5.9,5.25,12.75,28.2,35.825
18th,Czechia,2.5,6.6,6.7,6.75,5.25,7.4,27.8,32.7
19th,Israel,2.375,7,6.75,6.25,3.75,9.875,26.125,33.625
20th,Sweden,5.75,2.5,5.125,6.25,4.75,8.625,24.375,27.25
21st,Croatia,4.375,5.9,6,3.375,3.375,5.625,23.025,24.275
22nd,Poland,2.125,4,4.625,7.75,4.5,2.625,23,23.5
23rd,Cyprus,5.125,4,4.125,5.1,4.375,5.625,22.725,23.225
24th,Hungary,4.5,4.25,2.75,5.875,4.25,6.375,21.625,23.5
25th,Bulgaria,4.125,4,3.375,4.5,5.25,4,21.25,21.125
26th,Slovakia,3,1.5,4.125,6,6,1.875,20.625,19.5
27th,Romania,5.875,3.75,2.25,6.25,1.75,6.5,19.875,20.5
28th,Azerbaijan,3.375,2.5,4.375,4,3,3.625,17.25,17.5
29th,Moldova,0.75,1.375,5.25,3.75,2.75,2.5,13.875,15.625
30th,Republic of Ireland,1.25,1.875,2.875,3.375,4.375,1.375,13.75,13.875
31st,Slovenia,2,2.25,3,2.125,4.375,4.25,13.75,16
32nd,Kazakhstan,3.375,1,2.875,1.125,4.625,3.75,13,13.375
33rd,Finland,1.625,1.375,3.75,2.625,2.375,3.375,11.75,13.5
34th,Georgia,2.25,1.75,1.25,1.125,4.5,4.75,10.875,13.375
35th,Latvia,2.25,1.375,2.625,2.75,1.5,5.75,10.5,14
36th,Liechtenstein,2.5,0.5,0,6.5,1,0.5,10.5,8.5
37th,Armenia,2.75,1.375,1.875,2.375,1.625,1.25,10,8.5
38th,Faroe Islands,1.125,2.75,1.5,2.25,2.25,2.75,9.875,11.5
39th,Northern Ireland,2.375,2.833,1.625,1.25,1.125,2.75,9.208,9.583
40th,Bosnia and Herzegovina,1.5,2.625,1.625,2,1.375,4.5,9.125,12.125
41st,Lithuania,1.625,1.625,1.75,2.375,1.5,1.75,8.875,9
42nd,Kosovo,1.5,1.833,2.333,2.875,0,0.5,8.541,7.541
43rd,Iceland,0.625,0.625,1.5,3,2.667,3.375,8.417,11.167
44th,Malta,0.75,1.5,1.875,2.625,1.125,0.875,7.875,8
45th,Luxembourg,3,1,1.25,1.125,1.25,1.5,7.625,6.125
46th,Estonia,0.875,1.375,3.666,1.166,0.5,1,7.582,7.707
47th,Belarus,2.5,1.5,0.25,0.625,2.375,2,7.25,6.75
48th,North Macedonia,0.5,1.75,0.625,1.625,2.5,1.333,7,7.833
49th,Albania,0.75,2,1.625,0.875,1.125,2.25,6.375,7.875
50th,Montenegro,1,1.625,0.75,1,1.5,0,5.875,4.875
51st,Wales,1,1.5,1.5,1.166,0.25,1.75,5.416,6.166
52nd,Gibraltar,1,1.666,1.25,0.875,0.5,1.167,5.291,5.458
53rd,Andorra,1.5,0.666,1.5,0.666,0.167,0.333,4.499,3.332
54th,San Marino,0,0.5,0.166,0.833,0,0.5,1.499,1.999
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
