Pos,Nation,48/49,49/50,50/51,51/52,52/53,53/54,Coef. 53/54,Coef. 54/55
1st,England,23.25,22.625,23.062,21.722,26.571,28.625,117.231,122.606
2nd,Germany,24.143,24.188,22.562,22.429,23.438,23.143,116.759,115.759
3rd,Spain,20.062,20,23.429,23.5,19.222,18.214,106.213,104.365
4th,Italy,22.143,17.214,22.357,16.5,25.857,20.375,104.071,102.304
5th,France,19.571,16.188,19.312,17.357,15.714,15.214,88.143,83.786
6th,Portugal,14.667,18.583,16.167,11.417,15.667,16.75,76.5,78.583
7th,Netherlands,11.4,10.5,12.5,14,10.5,12.9,58.9,60.4
8th,Scotland,15.6,11.917,10.3,8.8,10.1,13,56.717,54.117
9th,Greece,10.3,9.7,7.7,11.2,15.5,12.8,54.4,56.9
10th,Denmark,13,11.4,14.5,8.1,7.4,11.8,54.4,53.2
11th,Austria,13.5,10.7,11.9,9.2,8.9,10.3,54.2,51
12th,Türkiye,9.1,9.5,13,12.1,6.7,10.6,50.4,51.9
13th,Belgium,8.5,8.2,6.1,14.6,9.8,10.3,47.2,49
14th,Bulgaria,9.875,9,11.5,8.9,6.4,8.9,45.675,44.7
15th,Serbia,10.25,13.25,7.375,6.625,6.4,5.6,43.9,39.25
16th,Czechia,7.875,8.5,5.875,13.125,8,3.625,43.375,39.125
17th,Norway,8.125,8.375,4,6.75,11.5,5.375,38.75,36
18th,Switzerland,6,5.25,8.25,10.875,8.375,3.75,38.75,36.5
19th,Croatia,6.6,9.1,4.7,7.7,9.5,12.375,37.6,43.375
20th,Ukraine,4.7,12,7.5,6.375,5.875,10.5,36.45,42.25
21st,Republic of Ireland,7.125,8,4.5,5.25,7.75,5.75,32.625,31.25
22nd,Poland,6.25,5.625,4.625,9.375,3.5,5.125,29.375,28.25
23rd,Israel,4.625,3.125,6.25,3.625,11.25,10.5,28.875,34.75
24th,Romania,6.625,5,3.5,6.625,5.375,3.125,27.125,23.625
25th,Sweden,4.5,4,8,5.625,3.25,7.625,25.375,28.5
26th,Slovakia,3.75,3.875,5.375,5.5,3.5,4.625,22,22.875
27th,Finland,4.625,5,5.25,2.625,3.375,2,20.875,18.25
28th,Hungary,3.125,3.5,3.875,5.75,4.5,3.75,20.75,21.375
29th,Slovenia,3.125,3.625,3.875,5.5,3.5,6,19.625,22.5
30th,Northern Ireland,2.75,3.25,4.875,3.25,4.75,3.375,18.875,19.5
31st,Cyprus,2.75,5.625,3.25,4.625,2.625,1.875,18.875,18
32nd,Georgia,3.25,2.375,2.875,3,4.5,3.875,16,16.625
33rd,Gibraltar,3.375,3.5,2.625,4.125,2.25,2.75,15.875,15.25
34th,Wales,2.625,2.375,3.75,3.375,3.375,1.875,15.5,14.75
35th,Kazakhstan,3.125,2.75,3.5,2.625,3.375,3.625,15.375,15.875
36th,Bosnia and Herzegovina,2.25,4.375,2.625,3.5,2.5,3.375,15.25,16.375
37th,Azerbaijan,2.75,2.75,2.625,2.375,2.625,2.875,13.125,13.25
38th,Latvia,2.125,1.25,2.25,3.75,3,1.75,12.375,12
39th,Belarus,2,2.75,3,2.75,1.75,2.75,12.25,13
40th,Iceland,2.25,2.875,1.25,1.75,3.375,2.75,11.5,12
41st,North Macedonia,2.875,1.625,1.375,2,1.875,1.625,9.75,8.5
42nd,Moldova,2.125,2.375,2.375,1,1.625,0.875,9.5,8.25
43rd,Faroe Islands,2.375,1.5,2.375,1.25,1.375,0.75,8.875,7.25
44th,Armenia,1.75,1.75,1.375,1,1.625,2.25,7.5,8
45th,Montenegro,0.875,1.25,0.75,2,1.75,1,6.625,6.75
46th,Luxembourg,1.25,1.625,0.75,1.25,1.75,0.875,6.625,6.25
47th,Albania,1.625,1.75,1.125,0.875,1,1.75,6.375,6.5
48th,Lithuania,0.375,0.75,0.375,1.625,0.833,1.375,3.958,4.958
49th,Estonia,0.5,0.667,0.833,0.5,0.75,0.5,3.25,3.25
50th,Kosovo,0.5,0.667,0.5,1.167,0.167,0.167,3,2.667
51st,Liechtenstein,1,0,0.5,1,0,0.5,2.5,2
52nd,Malta,1.167,0.167,0,0,0.167,0.5,1.5,0.833
53rd,San Marino,0,0,0,0,0,0.167,0,0.167
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
