Pos,Nation,68/69,69/70,70/71,71/72,72/73,73/74,Coef. 73/74,Coef. 74/75
1st,England,23.062,27.125,25.667,25.438,23.333,22,124.625,123.562
2nd,Germany,20.722,25,25.75,24.8,23.812,24,120.085,123.363
3rd,Italy,20.857,22.357,20,20.143,19.643,16.429,103,98.571
4th,Spain,18.5,20.857,18.429,18.143,15.571,20.643,91.5,93.643
5th,France,22.071,15.143,15.714,16.357,14.357,18.143,83.643,79.714
6th,Portugal,18.25,12.5,14.25,9,18.5,13.667,72.5,67.917
7th,Netherlands,13.1,10.5,13.5,16,18.7,6,71.8,64.7
8th,Scotland,10.6,8.75,14.5,12.6,15.4,13.9,61.85,65.15
9th,Liechtenstein,2.5,21,3,18,13.5,26.5,58,82
10th,Belgium,11.4,13.6,10.5,10.9,9.2,8.6,55.6,52.8
11th,Austria,11.1,10.7,14,11.6,7.8,10.7,55.2,54.8
12th,Bulgaria,5.8,9.9,10.6,9.2,10.1,9.7,45.6,49.5
13th,Israel,7.25,7.25,5.875,13.375,8.25,10.5,42,45.25
14th,Türkiye,7.3,7.8,9,7.3,9.9,10.3,41.3,44.3
15th,Republic of Ireland,7.75,14.75,6,7.4,4.5,7.5,40.4,40.15
16th,Croatia,8.3,6.5,6.8,6.2,11.75,5.75,39.55,37
17th,Denmark,7.625,5.75,8.375,8.5,9.25,8.375,39.5,40.25
18th,Czechia,8.9,9.8,6.6,6,7.5,9.8,38.8,39.7
19th,Ukraine,5.75,13.875,9.25,4.375,4.7,7.3,37.95,39.5
20th,Norway,8.25,3.625,8.125,9.25,7,7.5,36.25,35.5
21st,Greece,8.3,4.5,5.7,8.25,7.25,7.875,34,33.575
22nd,Switzerland,4.75,8.375,7.25,5.375,6.375,12.25,32.125,39.625
23rd,Serbia,7.125,6.3,2.75,8,7,9.375,31.175,33.425
24th,Slovenia,7.25,3.75,4.875,10.125,4.875,6.625,30.875,30.25
25th,Finland,6.625,4.125,4,2.875,11.5,2.125,29.125,24.625
26th,Sweden,7.25,3.875,5.625,6.25,5.75,6.125,28.75,27.625
27th,Northern Ireland,3.875,7.625,3.625,5.5,6.375,7.375,27,30.5
28th,Romania,5.75,4.75,7.5,5,3.5,4.25,26.5,25
29th,Hungary,5.25,6,4.375,3.625,4.125,4.25,23.375,22.375
30th,Poland,4.375,3.125,6,3.125,4.625,3,21.25,19.875
31st,Gibraltar,3,2.75,4.75,4.25,5,4,19.75,20.75
32nd,Bosnia and Herzegovina,2,5.25,5.625,2.125,2.25,4.75,17.25,20
33rd,Kazakhstan,2.25,3.75,2.25,5.375,2.875,2.25,16.5,16.5
34th,Slovakia,4.375,3.5,3.125,1.75,3.625,3.5,16.375,15.5
35th,Cyprus,4.5,3.375,3.75,1.625,2.5,3.25,15.75,14.5
36th,Georgia,3,2.375,3.125,2.625,4.125,4,15.25,16.25
37th,Belarus,3.25,4,1.75,2.75,2.875,4.125,14.625,15.5
38th,Wales,2.875,3,4.125,2.75,1.875,3.375,14.625,15.125
39th,Moldova,2.5,1.25,3.125,2.5,3.625,1.5,13,12
40th,Iceland,4.125,3.375,2.125,0.875,1.875,1.625,12.375,9.875
41st,Latvia,1.625,2,1.625,3.5,2.875,4.375,11.625,14.375
42nd,North Macedonia,1.375,2.625,1.25,2.875,2.125,2.25,10.25,11.125
43rd,Albania,1.375,3.375,2.125,1.75,1.375,1.25,10,9.875
44th,Armenia,3.125,0.625,1.375,2,0.875,1.125,8,6
45th,Faroe Islands,1.625,1.625,1.625,0.75,1.25,0.25,6.875,5.5
46th,Azerbaijan,2.5,2.125,1.125,0.375,0.75,1.375,6.875,5.75
47th,Luxembourg,0.625,1.5,1.125,1.125,2,1.125,6.375,6.875
48th,Lithuania,1.5,0.667,1.125,1.5,1,2,5.792,6.292
49th,Montenegro,1.125,0.75,1,0.625,2,0.875,5.5,5.25
50th,Estonia,0.5,1.125,0.667,1,0.333,2.167,3.625,5.292
51st,San Marino,0.667,0,0.833,0.667,0.667,0,2.833,2.167
52nd,Kosovo,0.333,0.333,0,0,0,0.667,0.667,1
53rd,Malta,0,0,0,0,0,0,0,0
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
