Pos,Nation,35/36,36/37,37/38,38/39,39/40,40/41,Coef. 40/41,Coef. 41/42
1st,England,27.875,25.25,27.5,25.444,24.111,25,130.181,127.306
2nd,Germany,21.5,24.5,20.944,21.714,24.429,19.125,113.087,110.712
3rd,Italy,21.643,20.438,21.571,21.889,21.25,24.429,106.791,109.576
4th,Spain,16.571,21.714,17.714,19.714,18,18.214,93.714,95.357
5th,France,18.929,19.429,17.714,19,17.857,21,92.929,95
6th,Portugal,12.667,15.083,13.667,12.917,11.583,17,65.917,70.25
7th,Scotland,12.3,13.4,10.1,16.7,10.6,9.7,63.1,60.5
8th,Belgium,11.5,10.5,13.1,14.2,11.4,12.2,60.7,61.4
9th,Türkiye,12.1,8.4,12.8,11.7,14.9,6,59.9,53.8
10th,Denmark,13.3,15.5,6,5.1,11.1,10.7,51,48.4
11th,Austria,11.2,7.2,10.9,7.7,12.2,8.8,49.2,46.8
12th,Netherlands,11.5,9.7,9.2,9,7.4,10.4,46.8,45.7
13th,Greece,13.5,8.4,5.9,9.3,8.5,14.2,45.6,46.3
14th,Serbia,10.25,9.625,9.75,5.5,8.7,8,43.825,41.575
15th,Czechia,5.75,7.5,11.125,6.875,9.625,4.625,40.875,39.75
16th,Romania,7.25,7.375,12.25,5,8.125,5.6,40,38.35
17th,Norway,7.125,6,7.5,10,7.25,5.5,37.875,36.25
18th,Switzerland,5.3,7.2,6.5,8,10.25,6.75,37.25,38.7
19th,Ukraine,5.5,7.375,7.25,6.75,7.25,5.5,34.125,34.125
20th,Croatia,6.5,4.6,6.8,5.8,10.125,10.75,33.825,38.075
21st,Israel,6.875,8.75,4.875,7.5,4.875,4.5,32.875,30.5
22nd,Bulgaria,7.625,4.875,6.6,7,5.7,13.5,31.8,37.675
23rd,Sweden,5.125,6.625,5,7.25,4.75,3.25,28.75,26.875
24th,Poland,5,3.5,4.875,6.375,7.875,4,27.625,26.625
25th,Cyprus,5.125,9.625,2.25,4.75,3.5,4.875,25.25,25
26th,Hungary,5,4.375,7.625,5,3.25,4.25,25.25,24.5
27th,Slovenia,1.75,3.5,3.125,4.75,8.75,3.75,21.875,23.875
28th,Azerbaijan,4.375,5.25,4.5,3,3.625,4.125,20.75,20.5
29th,Kazakhstan,5.125,4,3.375,5.875,2.375,4.25,20.75,19.875
30th,Slovakia,2.875,2.625,6.25,4.375,3.625,2,19.75,18.875
31st,Northern Ireland,4.125,4.5,4,1.875,3.875,4,18.375,18.25
32nd,Republic of Ireland,3,4.25,3,4.875,2.625,4.25,17.75,19
33rd,Bosnia and Herzegovina,2.25,3.875,4.5,2.375,4,3.25,17,18
34th,Finland,2.5,1.875,4,2.875,4.125,4,15.375,16.875
35th,Iceland,2.75,3.75,3.625,3.125,2.125,3.625,15.375,16.25
36th,Wales,2.25,1.25,3.25,4.125,3.5,3.375,14.375,15.5
37th,Georgia,3.875,2.875,3,3.25,1.375,3,14.375,13.5
38th,Belarus,5.125,2.625,2.375,1.875,1.875,3.75,13.875,12.5
39th,Moldova,3.375,2.25,1.875,2.5,2.125,1.25,12.125,10
40th,Gibraltar,2,2.75,1.125,2.375,3.125,3.625,11.375,13
41st,Latvia,2.25,2.25,2.625,1.25,2.75,1.75,11.125,10.625
42nd,North Macedonia,2.625,2.125,1.375,1.875,1.625,1.25,9.625,8.25
43rd,Armenia,2.75,1.125,1.875,1.25,1.875,0.875,8.875,7
44th,Albania,1.875,1.75,0.75,1.75,1.75,2.5,7.875,8.5
45th,Faroe Islands,1,1.875,2,1.375,1.625,2.25,7.875,9.125
46th,Luxembourg,2.125,1.25,1.125,0.75,2.25,1.75,7.5,7.125
47th,Montenegro,0.625,2,1.625,1.125,0.375,0.875,5.75,6
48th,Lithuania,0.875,0.5,0.75,0.625,1.375,1.25,4.125,4.5
49th,Liechtenstein,0,1,1,1.5,0.5,0.5,4,4.5
50th,Estonia,0,0.833,0.667,0.667,0.5,1.833,2.667,4.5
51st,Kosovo,0.333,0.167,1.5,0.167,0,0.833,2.167,2.667
52nd,Malta,0.167,0,0,0.667,0.167,0,1,0.833
53rd,San Marino,0,0.167,0,0.667,0,0,0.833,0.833
54th,Andorra,0.333,0,0,0,0,0.333,0.333,0.333
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
