Pos,Nation,44/45,45/46,46/47,47/48,48/49,49/50,Coef. 49/50,Coef. 50/51
1st,England,27.778,23.312,22.714,25,23.25,22.625,122.055,116.902
2nd,Germany,21.438,24.5,22.5,20,24.143,24.188,112.58,115.33
3rd,Spain,20.643,24.429,22.125,23.857,20.062,20,111.116,110.473
4th,Italy,16.786,23.714,20.429,18.357,22.143,17.214,101.429,101.857
5th,France,18.357,18.214,20.714,18.75,19.571,16.188,95.607,93.438
6th,Portugal,17,14.5,11,14.75,14.667,18.583,71.917,73.5
7th,Greece,13.4,11.8,13.9,13.6,10.3,9.7,63,59.3
8th,Türkiye,13.6,11.4,11.2,15,9.1,9.5,60.3,56.2
9th,Netherlands,13,9.3,11.6,14.9,11.4,10.5,60.2,57.7
10th,Austria,10.8,9.1,12.5,12.6,13.5,10.7,58.5,58.4
11th,Belgium,9.4,12,16.9,10.1,8.5,8.2,56.9,55.7
12th,Scotland,11.9,8.6,11.7,8.8,15.6,11.917,56.6,56.617
13th,Denmark,11.1,6.8,4.8,10.5,13,11.4,46.2,46.5
14th,Croatia,4.625,8,11.625,10,6.6,9.1,40.85,45.325
15th,Ukraine,11.75,6.125,8,6.9,4.7,12,37.475,37.725
16th,Bulgaria,4.5,9.3,5.5,6.6,9.875,9,35.775,40.275
17th,Norway,4.75,10.375,5.5,6.5,8.125,8.375,35.25,38.875
18th,Republic of Ireland,8.625,5.75,7,5,7.125,8,33.5,32.875
19th,Serbia,6.75,3.9,3.375,9,10.25,13.25,33.275,39.775
20th,Switzerland,7.3,8,4.5,7.125,6,5.25,32.925,30.875
21st,Sweden,8.625,3.375,10.375,4.625,4.5,4,31.5,26.875
22nd,Poland,3.25,7.625,7.125,6.25,6.25,5.625,30.5,32.875
23rd,Romania,3.375,7.125,3.875,6.625,6.625,5,27.625,29.25
24th,Czechia,5.5,5.25,4.75,3.25,7.875,8.5,26.625,29.625
25th,Israel,3.125,8.25,6,3.5,4.625,3.125,25.5,25.5
26th,Slovakia,6.625,4.5,7.75,2.875,3.75,3.875,25.5,22.75
27th,Hungary,5.5,5,3,2.375,3.125,3.5,19,17
28th,Belarus,2.625,5.125,6.375,2.5,2,2.75,18.625,18.75
29th,Finland,3.625,3.5,3.5,2.875,4.625,5,18.125,19.5
30th,Northern Ireland,2.125,4,4,5.25,2.75,3.25,18.125,19.25
31st,Azerbaijan,5.375,3.25,4.625,1.875,2.75,2.75,17.875,15.25
32nd,Bosnia and Herzegovina,3.25,3.25,3.375,4.25,2.25,4.375,16.375,17.5
33rd,Georgia,2.625,3.875,2.5,3.5,3.25,2.375,15.75,15.5
34th,Kazakhstan,3,2.375,2.5,4.25,3.125,2.75,15.25,15
35th,Cyprus,4.375,2.25,2,3.625,2.75,5.625,15,16.25
36th,Iceland,2,4.375,3.125,3,2.25,2.875,14.75,15.625
37th,Slovenia,2.25,1.875,3.125,3.625,3.125,3.625,14,15.375
38th,Gibraltar,3.25,1.875,2.125,3,3.375,3.5,13.625,13.875
39th,Wales,2.375,0.875,4.5,2.625,2.625,2.375,13,13
40th,Latvia,2.5,2.375,2.75,3,2.125,1.25,12.75,11.5
41st,Moldova,2.25,2.625,2.75,2.875,2.125,2.375,12.625,12.75
42nd,North Macedonia,2.125,3.125,2,2.25,2.875,1.625,12.375,11.875
43rd,Albania,1.125,2,1.75,1.5,1.625,1.75,8,8.625
44th,Luxembourg,1.375,1.875,2.25,1,1.25,1.625,7.75,8
45th,Faroe Islands,1.5,0.875,0.25,1.375,2.375,1.5,6.375,6.375
46th,Armenia,0.375,1.75,0.375,1.75,1.75,1.75,6,7.375
47th,Lithuania,1.25,1.5,1,1.125,0.375,0.75,5.25,4.75
48th,Montenegro,0.875,1,1.667,0.625,0.875,1.25,5.042,5.417
49th,Estonia,1,0,1,0.667,0.5,0.667,3.167,2.833
50th,Kosovo,0.333,1.167,0.667,0.167,0.5,0.667,2.833,3.167
51st,Liechtenstein,0,0,1,0,1,0,2,2
52nd,Malta,0,0,0.167,0.167,1.167,0.167,1.5,1.667
53rd,San Marino,0,0,0,0,0,0,0,0
54th,Andorra,0,0,0,0,0,0,0,0
,,,,,,,,,
https://www.sigames.com/,,,,,,,,,
